row_label_raw,row_label_full,Bên liên quan khác,Mối quan hệ,numeric__Mối quan hệ
Tổng Công ty Đầu tư và Phát triển Công nghiệp - TNHH MTV,Tổng Công ty Đầu tư và Phát triển Công nghiệp - TNHH MTV,Tổng Công ty Đầu tư và Phát triển Công nghiệp - TNHH MTV,Công ty mẹ,
Công ty Cổ phần Bê tông Becamex,Công ty Cổ phần Bê tông Becamex,Công ty Cổ phần Bê tông Becamex,Công ty cùng Tập đoàn,
Công ty Cổ phần Vật liệu xây dựng Becamex,Công ty Cổ phần Vật liệu xây dựng Becamex,Công ty Cổ phần Vật liệu xây dựng Becamex,Công ty cùng Tập đoàn,
Công ty Cổ phần Phát triển Đô thị,Công ty Cổ phần Phát triển Đô thị,Công ty Cổ phần Phát triển Đô thị,Công ty cùng Tập đoàn,
Công ty Cổ phần Kinh doanh và Phát triển Bình Dương,Công ty Cổ phần Kinh doanh và Phát triển Bình Dương,Công ty Cổ phần Kinh doanh và Phát triển Bình Dương,Công ty cùng Tập đoàn,
Công ty Cổ phần Xây dựng và Giao thông Bình Dương,Công ty Cổ phần Xây dựng và Giao thông Bình Dương,Công ty Cổ phần Xây dựng và Giao thông Bình Dương,Công ty cùng Tập đoàn,
Công ty Cổ phần Setia Becamex,Công ty Cổ phần Setia Becamex,Công ty Cổ phần Setia Becamex,Công ty cùng Tập đoàn,
Trường Đại học Quốc tế Miền Đông,Trường Đại học Quốc tế Miền Đông,Trường Đại học Quốc tế Miền Đông,Công ty cùng Tập đoàn,
Công ty Liên doanh TNHH Khu công nghiệp Việt Nam – Singapore,Công ty Liên doanh TNHH Khu công nghiệp Việt Nam – Singapore,Công ty Liên doanh TNHH Khu công nghiệp Việt Nam – Singapore,Công ty liên kết với Công ty mẹ,
Công ty TNHH Recamex Tokyu,Công ty TNHH Recamex Tokyu,Công ty TNHH Recamex Tokyu,Công ty liên kết với Công ty mẹ,
Công ty Cổ phần Công nghệ & Truyền thông Việt Nam,Công ty Cổ phần Công nghệ & Truyền thông Việt Nam,Công ty Cổ phần Công nghệ & Truyền thông Việt Nam,Công ty liên kết với Công ty mẹ,
Công ty Cổ phần Nước - Môi trường Bình Dương,Công ty Cổ phần Nước - Môi trường Bình Dương,Công ty Cổ phần Nước - Môi trường Bình Dương,Công ty liên kết với Công ty mẹ,
