row_label_raw,row_label_full,col_0,Theo Giấy chứng nhận Đăng ký Doanh nghiệp sửa đổi,Theo Giấy chứng nhận Đăng ký Doanh nghiệp sửa đổi_1,Vốn đã góp,Vốn đã góp_1,Vốn đã góp_2,Vốn đã góp_3,numeric__Theo Giấy chứng nhận Đăng ký Doanh nghiệp sửa đổi,numeric__Theo Giấy chứng nhận Đăng ký Doanh nghiệp sửa đổi_1,numeric__Vốn đã góp,numeric__Vốn đã góp_1,numeric__Vốn đã góp_2,numeric__Vốn đã góp_3
,,,Theo Giấy chứng nhận Đăng ký Doanh nghiệp sửa đổi,Theo Giấy chứng nhận Đăng ký Doanh nghiệp sửa đổi,Số cuối năm,Số cuối năm,Số đầu năm,Số đầu năm,,,,,,
,,,VND,%,VND,%,VND,%,,,,,,
Ông Trần Đình Long,Ông Trần Đình Long,Ông Trần Đình Long,19.800.000.000.000,"25,80",19.800.000.000.000,"25,80",16.500.000.000.000,"25,80",19800000000000.0,25.8,19800000000000.0,25.8,16500000000000.0,25.8
Bà Vũ Thị Hiền,Bà Vũ Thị Hiền,Bà Vũ Thị Hiền,5.280.000.000.000,"6,88",5.280.000.000.000,"6,88",4.400.000.000.000,"6,88",5280000000000.0,6.88,5280000000000.0,6.88,4400000000000.0,6.88
Các cổ đông khác,Các cổ đông khác,Các cổ đông khác,51.674.658.550.000,"67,32",51.674.658.550.000,"67,32",43.062.502.000.000,"67,32",51674658550000.0,67.32,51674658550000.0,67.32,43062502000000.0,67.32
,,,76.754.658.550.000,100,76.754.658.550.000,100,63.962.502.000.000,100,76754658550000.0,100.0,76754658550000.0,100.0,63962502000000.0,100.0
Cổ phiếu,Cổ phiếu,Cổ phiếu,Cổ phiếu,Cổ phiếu,Cổ phiếu,Cổ phiếu,Cổ phiếu,Cổ phiếu,,,,,,
,,,,,Số cuối năm,Số cuối năm,Số đầu năm,Số đầu năm,,,,,,
Số lượng cổ phiếu đã bán ra công chúng,Cổ phiếu > Số lượng cổ phiếu đã bán ra công chúng,Số lượng cổ phiếu đã bán ra công chúng,,,7.675.465.855,7.675.465.855,6.396.250.200,6.396.250.200,,,7675465855.0,7675465855.0,6396250200.0,6396250200.0
Cổ phiếu phổ thông,Cổ phiếu > Cổ phiếu phổ thông,Cổ phiếu phổ thông,,,7.675.465.855,7.675.465.855,6.396.250.200,6.396.250.200,,,7675465855.0,7675465855.0,6396250200.0,6396250200.0
Số lượng cổ phiếu đang lưu hành,Cổ phiếu > Số lượng cổ phiếu đang lưu hành,Số lượng cổ phiếu đang lưu hành,,,7.675.465.855,7.675.465.855,6.396.250.200,6.396.250.200,,,7675465855.0,7675465855.0,6396250200.0,6396250200.0
Cổ phiếu phổ thông,Cổ phiếu > Cổ phiếu phổ thông,Cổ phiếu phổ thông,,,7.675.465.855,7.675.465.855,6.396.250.200,6.396.250.200,,,7675465855.0,7675465855.0,6396250200.0,6396250200.0
Cổ phiếu phổ thông có mệnh giá 10.000 VND/cổ phiếu.,Cổ phiếu phổ thông có mệnh giá 10.000 VND/cổ phiếu.,Cổ phiếu phổ thông có mệnh giá 10.000 VND/cổ phiếu.,Cổ phiếu phổ thông có mệnh giá 10.000 VND/cổ phiếu.,Cổ phiếu phổ thông có mệnh giá 10.000 VND/cổ phiếu.,Cổ phiếu phổ thông có mệnh giá 10.000 VND/cổ phiếu.,Cổ phiếu phổ thông có mệnh giá 10.000 VND/cổ phiếu.,Cổ phiếu phổ thông có mệnh giá 10.000 VND/cổ phiếu.,Cổ phiếu phổ thông có mệnh giá 10.000 VND/cổ phiếu.,,,,,,
Cổ tức,Cổ tức,Cổ tức,Cổ tức,Cổ tức,Cổ tức,Cổ tức,Cổ tức,Cổ tức,,,,,,
