row_label_raw,row_label_full,Tên công ty liên kết,Nơi thành lập và hoạt động,Tỷ lệ phần sở hữu và biểu quyết nằm giữ,Hoạt động chính,numeric__Nơi thành lập và hoạt động,numeric__Tỷ lệ phần sở hữu và biểu quyết nằm giữ,numeric__Hoạt động chính
Công ty Cổ phần Bán lẻ Kỹ thuật số FPT,Công ty Cổ phần Bán lẻ Kỹ thuật số FPT,Công ty Cổ phần Bán lẻ Kỹ thuật số FPT,"Số 261 - 263 Khánh Hội, phường 5, quận 4, thành phố Hồ Chí Minh",47%,"Bán lẻ máy vi tính, thiết bị ngoại vi, phần mềm và thiết bị viễn thông; đại lý dịch vụ viễn thông",,0.47,
Công ty Cổ phần Synnex FPT,Công ty Cổ phần Synnex FPT,Công ty Cổ phần Synnex FPT,"Tòa nhà FPT Cầu Giấy, Phạm Hùng, Cầu Giấy, Hà Nội",48%,"Sản xuất các sản phẩm công nghệ và phân phối các linh kiện CNTT và điện thoại di động, chế tạo máy tính",,0.48,
Công ty Cổ phần Chứng khoán FPT,Công ty Cổ phần Chứng khoán FPT,Công ty Cổ phần Chứng khoán FPT,"Số 52 đường Lạc Long Quân, phường Bưới, quận Tây Hồ, thành phố Hà Nội",20%,"Các hoạt động môi giới chứng khoán, tự doanh chứng khoán, tư vấn đầu tư chứng khoán và dịch vụ lưu ký chứng khoán",,0.2,
Công ty Cổ phần Quản lý Quỹ Đầu tư FPT,Công ty Cổ phần Quản lý Quỹ Đầu tư FPT,Công ty Cổ phần Quản lý Quỹ Đầu tư FPT,"Tăng 9, Tòa nhà TTC Lô B1A phường Dịch Vọng Hậu, Phạm Hùng, Cầu Giấy, Hà Nội",25%,"Quản lý quỹ đầu tư, quản lý danh mục đầu tư và các dịch vụ khác",,0.25,
