row_label_raw,row_label_full,col_0,31/12/2021,31/12/2020,numeric__31/12/2021,numeric__31/12/2020
,,,Triệu VND,Triệu VND,,
Dự phòng cụ thể,Dự phòng cụ thể,Dự phòng cụ thể,(445.096),(263.099),-445096.0,-263099.0
Dự phòng chung,Dự phòng chung,Dự phòng chung,(615.016),(558.684),-615016.0,-558684.0
,,,(1.060.112),(821.783),-1060112.0,-821783.0
Chi tiết tăng/giảm dự phòng rủi ro tín dụng:,Chi tiết tăng/giảm dự phòng rủi ro tín dụng:,Chi tiết tăng/giảm dự phòng rủi ro tín dụng:,Chi tiết tăng/giảm dự phòng rủi ro tín dụng:,Chi tiết tăng/giảm dự phòng rủi ro tín dụng:,,
,,,Dự phòng chung,Dự phòng cụ thể,,
,,,Triệu VND,Triệu VND,,
Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,,
Số dư đầu năm,Năm nay > Số dư đầu năm,Số dư đầu năm,(558.684),(263.099),-558684.0,-263099.0
Dự phòng rủi ro trích lập trong năm,Năm nay > Dự phòng rủi ro trích lập trong năm,Dự phòng rủi ro trích lập trong năm,(63.953),(189.089),-63953.0,-189089.0
Hoàn nhập dự phòng trong năm,Năm nay > Hoàn nhập dự phòng trong năm,Hoàn nhập dự phòng trong năm,7.621,1.832,7621.0,1832.0
Sử dụng dự phòng rủi ro tín dụng trong năm,Năm nay > Sử dụng dự phòng rủi ro tín dụng trong năm,Sử dụng dự phòng rủi ro tín dụng trong năm,-,5.260,,5260.0
Số dư cuối năm,Năm nay > Số dư cuối năm,Số dư cuối năm,(615.016),(445.096),-615016.0,-445096.0
,,,Dự phòng chung,Dự phòng cụ thể,,
,,,Triệu VND,Triệu VND,,
Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,,
Số dư đầu năm,Năm trước > Số dư đầu năm,Số dư đầu năm,(533.243),(121.502),-533243.0,-121502.0
Dự phòng rủi ro trích lập trong năm,Năm trước > Dự phòng rủi ro trích lập trong năm,Dự phòng rủi ro trích lập trong năm,(30.962),(144.942),-30962.0,-144942.0
Hoàn nhập dự phòng trong năm,Năm trước > Hoàn nhập dự phòng trong năm,Hoàn nhập dự phòng trong năm,5.521,14,5521.0,14.0
Sử dụng dự phòng rủi ro tín dụng trong năm,Năm trước > Sử dụng dự phòng rủi ro tín dụng trong năm,Sử dụng dự phòng rủi ro tín dụng trong năm,-,3.331,,3331.0
Số dư cuối năm,Năm trước > Số dư cuối năm,Số dư cuối năm,(558.684),(263.099),-558684.0,-263099.0
