row_label_raw,row_label_full,STT,Tên đơn vị phụ thuộc,Nơi thành lập và hoạt động,Hoạt động chính,numeric__Tên đơn vị phụ thuộc,numeric__Nơi thành lập và hoạt động,numeric__Hoạt động chính
1.,1.,1.,Công ty Đầu tư Phát triển Hạ tầng Viglacera - Chi nhánh Tổng Công ty Viglacera,Hà Nội,Xây dựng và kinh doanh bất động sản,,,
2.,2.,2.,Công ty Đầu tư Hạ tầng và Đô thị Viglacera - Chi nhánh Tổng Công ty Viglacera - CTCP,Hưng Yên,Xây dựng và kinh doanh bất động sản,,,
3.,3.,3.,Công ty Kinh doanh Bất động sản Viglacera,Bắc Ninh,Kinh doanh bất động sản,,,
4.,4.,4.,Công ty Xây dựng Viglacera,Bắc Ninh,Xây dựng và kinh doanh bất động sản,,,
5.,5.,5.,Công ty Thi công Cơ giới Viglacera,Lào Cai,Xây dựng và kinh doanh bất động sản,,,
6.,6.,6.,Ban quản lý các dự án Đầu tư Xây dựng - Chi nhánh Tổng Công ty Viglacera - CTCP,Hà Nội,"Đầu tư xây dựng các công trình, dự án bất động sản",,,
7.,7.,7.,Công ty Kính nối Viglacera - Chi nhánh Tổng Công ty Viglacera - CTCP,TP. Hồ Chí Minh,Sản xuất và kinh doanh kính,,,
8.,8.,8.,Công ty Sử Viglacera Bình Dương - Chi nhánh Tổng Công ty Viglacera - CTCP,TP. Hồ Chí Minh,"Sản xuất, kinh doanh sử vệ sinh và phụ kiện",,,
9.,9.,9.,Ban quản lý dự án Đầu tư Nhà máy Sử Viglacera Mỹ Xuân - Chi nhánh Tổng Công ty Viglacera - CTCP,TP. Hồ Chí Minh,Đầu tư xây dựng Nhà máy Sử Viglacera Mỹ Xuân,,,
10.,10.,10.,Viện Nghiên cứu và Phát triển Viglacera - Chi nhánh Tổng Công ty Viglacera - CTCP,Hà Nội,Nghiên cứu và phát triển công nghệ,,,
11.,11.,11.,Trường Cao đẳng Viglacera,Bắc Ninh,Đào tạo,,,
