row_label_raw,row_label_full,col_0,Vốn góp của chủ sở hữu,Thặng dư vốn cổ phần,Quỹ đầu tư phát triển,Lợi nhuận sau thuế chưa phân phối,Tổng cộng,numeric__Vốn góp của chủ sở hữu,numeric__Thặng dư vốn cổ phần,numeric__Quỹ đầu tư phát triển,numeric__Lợi nhuận sau thuế chưa phân phối,numeric__Tổng cộng
,,,VND,VND,VND,VND,VND,,,,,
Số dư đầu năm trước,Số dư đầu năm trước,Số dư đầu năm trước,4.483.500.000.000,931.212.247.586,848.323.442.774,1.129.633.118.297,7.392.668.808.657,4483500000000.0,931212247586.0,848323442774.0,1129633118297.0,7392668808657.0
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,-,1.192.879.090.875,1.192.879.090.875,,,,1192879090875.0,1192879090875.0
Trích Quỹ Đầu tư phát triển,Trích Quỹ Đầu tư phát triển,Trích Quỹ Đầu tư phát triển,-,-,472.169.353.298,(472.169.353.298),-,,,472169353298.0,-472169353298.0,
Trích Quỹ khen thưởng phúc lợi và Quỹ thường người quản lý hoàn thành kế hoạch,Trích Quỹ khen thưởng phúc lợi và Quỹ thường người quản lý hoàn thành kế hoạch,Trích Quỹ khen thưởng phúc lợi và Quỹ thường người quản lý hoàn thành kế hoạch,-,-,-,(97.026.264.999),(97.026.264.999),,,,-97026264999.0,-97026264999.0
Trả cổ tức,Trả cổ tức,Trả cổ tức,-,-,-,(560.437.500.000),(560.437.500.000),,,,-560437500000.0,-560437500000.0
Số dư đầu năm nay,Số dư đầu năm nay,Số dư đầu năm nay,4.483.500.000.000,931.212.247.586,1.320.492.796.072,1.192.879.090.875,7.928.084.134.533,4483500000000.0,931212247586.0,1320492796072.0,1192879090875.0,7928084134533.0
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,-,1.237.696.654.063,1.237.696.654.063,,,,1237696654063.0,1237696654063.0
Trích Quỹ Đầu tư phát triển (i),Trích Quỹ Đầu tư phát triển (i),Trích Quỹ Đầu tư phát triển (i),-,-,154.498.542.999,(154.498.542.999),-,,,154498542999.0,-154498542999.0,
Trích Quỹ khen thưởng phúc lợi và Quỹ thường người quản lý hoàn thành kế hoạch (i),Trích Quỹ khen thưởng phúc lợi và Quỹ thường người quản lý hoàn thành kế hoạch (i),Trích Quỹ khen thưởng phúc lợi và Quỹ thường người quản lý hoàn thành kế hoạch (i),-,-,-,(52.010.547.876),(52.010.547.876),,,,-52010547876.0,-52010547876.0
Trả cổ tức (i),Trả cổ tức (i),Trả cổ tức (i),-,-,-,(986.370.000.000),(986.370.000.000),,,,-986370000000.0,-986370000000.0
Số dư cuối năm nay,Số dư cuối năm nay,Số dư cuối năm nay,4.483.500.000.000,931.212.247.586,1.474.991.339.071,1.237.696.654.063,8.127.400.240.720,4483500000000.0,931212247586.0,1474991339071.0,1237696654063.0,8127400240720.0
