row_label_raw,row_label_full,Tên công ty con,Nơi thành lập và hoạt động,Tỷ lệ lợi ích,Tỷ lệ biểu quyết,Hoạt động kinh doanh chính,numeric__Nơi thành lập và hoạt động,numeric__Tỷ lệ lợi ích,numeric__Tỷ lệ biểu quyết,numeric__Hoạt động kinh doanh chính
- Công ty TNHH MTV Xây lắp điện 1 - Đại Mỗ,- Công ty TNHH MTV Xây lắp điện 1 - Đại Mỗ,- Công ty TNHH MTV Xây lắp điện 1 - Đại Mỗ,Hà Nội,100%,100%,Xây lắp điện,,1.0,1.0,
- Công ty TNHH MTV Xây lắp điện 1 - Hà Nội,- Công ty TNHH MTV Xây lắp điện 1 - Hà Nội,- Công ty TNHH MTV Xây lắp điện 1 - Hà Nội,Hà Nội,100%,100%,Xây lắp điện,,1.0,1.0,
- Công ty TNHH MTV Xây lắp điện 1 - Miền Nam,- Công ty TNHH MTV Xây lắp điện 1 - Miền Nam,- Công ty TNHH MTV Xây lắp điện 1 - Miền Nam,TP Hồ Chí Minh,100%,100%,Xây lắp điện,,1.0,1.0,
- Công ty TNHH MTV Xây lắp điện 1 - Miền Bắc,- Công ty TNHH MTV Xây lắp điện 1 - Miền Bắc,- Công ty TNHH MTV Xây lắp điện 1 - Miền Bắc,Hà Nội,100%,100%,Xây lắp điện,,1.0,1.0,
- Công ty TNHH MTV Xây lắp điện 1 - Mỹ Đình,- Công ty TNHH MTV Xây lắp điện 1 - Mỹ Đình,- Công ty TNHH MTV Xây lắp điện 1 - Mỹ Đình,Hà Nội,100%,100%,Xây lắp điện,,1.0,1.0,
- Công ty TNHH MTV Xây lắp điện 1 - Từ Liêm,- Công ty TNHH MTV Xây lắp điện 1 - Từ Liêm,- Công ty TNHH MTV Xây lắp điện 1 - Từ Liêm,Hà Nội,100%,100%,Xây lắp điện,,1.0,1.0,
- Công ty TNHH MTV Xây lắp điện 1 - Hà Đông,- Công ty TNHH MTV Xây lắp điện 1 - Hà Đông,- Công ty TNHH MTV Xây lắp điện 1 - Hà Đông,Hà Nội,100%,100%,Xây lắp điện,,1.0,1.0,
- Công ty TNHH MTV Xây lắp điện 1 - Nàng Hương,- Công ty TNHH MTV Xây lắp điện 1 - Nàng Hương,- Công ty TNHH MTV Xây lắp điện 1 - Nàng Hương,Hà Nội,100%,100%,Dịch vụ,,1.0,1.0,
- Công ty TNHH MTV Xây lắp điện 1 - Hoàng Mai,- Công ty TNHH MTV Xây lắp điện 1 - Hoàng Mai,- Công ty TNHH MTV Xây lắp điện 1 - Hoàng Mai,Hà Nội,100%,100%,Xây lắp điện,,1.0,1.0,
- Công ty TNHH Chế tạo Cột thép Đông Anh,- Công ty TNHH Chế tạo Cột thép Đông Anh,- Công ty TNHH Chế tạo Cột thép Đông Anh,Hà Nội,100%,100%,"Sản xuất các loại cột thép mạ kẽm, kết cấu thép, phụ tùng phụ kiện có liên quan, dịch vụ về mạ; mua bán thép, kẽm, vật tư phục vụ sản xuất, chế tạo kết cấu thép; mua bán vật tư, thiết bị kỹ thuật điện",,1.0,1.0,
- Công ty Cổ phần Hóa phẩm Phụ gia Việt Nam,- Công ty Cổ phần Hóa phẩm Phụ gia Việt Nam,- Công ty Cổ phần Hóa phẩm Phụ gia Việt Nam,Hà Nội,"47,68%","51,00%","Sản xuất các sản phẩm dầu nhũ thủy lực, đầu cắt gọt kim loại",,0.4768,0.51,
- Công ty Cổ phần Đầu tư An Phú,- Công ty Cổ phần Đầu tư An Phú,- Công ty Cổ phần Đầu tư An Phú,Hưng Yên,"100,00%","100,00%","Dịch vụ kho bãi, trung chuyển hàng hóa, thông quan",,1.0,1.0,
- Công ty Cổ phần Thùy điện Trung Thu,- Công ty Cổ phần Thùy điện Trung Thu,- Công ty Cổ phần Thùy điện Trung Thu,Điện Biên,"60,00%","60,00%",Đầu tư xây dựng các nhà máy thủy điện vừa và nhỏ; Sản xuất và kinh doanh điện năng,,0.6,0.6,
- Công ty Cổ phần Đầu tư Địa ốc Mỹ Đình,- Công ty Cổ phần Đầu tư Địa ốc Mỹ Đình,- Công ty Cổ phần Đầu tư Địa ốc Mỹ Đình,Hà Nội,"99,33%","99,33%","Đầu tư, kinh doanh bất động sản",,0.9933,0.9933,
- Công ty Cổ phần Lắp máy Công nghiệp Việt Nam,- Công ty Cổ phần Lắp máy Công nghiệp Việt Nam,- Công ty Cổ phần Lắp máy Công nghiệp Việt Nam,Hà Nội,51%,51%,Lắp đặt máy móc và thiết bị công nghiệp,,0.51,0.51,
