row_label_raw,row_label_full,col_0,31/12/2015,01/01/2015,numeric__31/12/2015,numeric__01/01/2015
Nông nghiệp và lâm nghiệp,Nông nghiệp và lâm nghiệp,Nông nghiệp và lâm nghiệp,377.000,749.402,377000.0,749402.0
Khai khoáng,Khai khoáng,Khai khoáng,66.954,41.141,66954.0,41141.0
"Công nghiệp chế biến, chế tạo","Công nghiệp chế biến, chế tạo","Công nghiệp chế biến, chế tạo",1.485.510,826.844,1485510.0,826844.0
"Sản xuất và phân phối điện, khí đốt, nước nóng,","Sản xuất và phân phối điện, khí đốt, nước nóng,","Sản xuất và phân phối điện, khí đốt, nước nóng,",314.296,11.197,314296.0,11197.0
Xây dựng,Xây dựng,Xây dựng,7.812.359,3.746.122,7812359.0,3746122.0
"Bán buôn và bán lẻ; sữa chữa ô tô, mô tô, xe máy và động cơ khác","Bán buôn và bán lẻ; sữa chữa ô tô, mô tô, xe máy và động cơ khác","Bán buôn và bán lẻ; sữa chữa ô tô, mô tô, xe máy và động cơ khác",1.770.978,512.632,1770978.0,512632.0
Dịch vụ lưu trú và ăn uống,Dịch vụ lưu trú và ăn uống,Dịch vụ lưu trú và ăn uống,615.102,120.055,615102.0,120055.0
Vận tải kho bãi,Vận tải kho bãi,Vận tải kho bãi,1.477.077,550.999,1477077.0,550999.0
"Hoạt động tài chính, ngân hàng và bảo hiểm","Hoạt động tài chính, ngân hàng và bảo hiểm","Hoạt động tài chính, ngân hàng và bảo hiểm",9.500,21.679,9500.0,21679.0
"Hoạt động chuyên môn, khoa học và công nghệ","Hoạt động chuyên môn, khoa học và công nghệ","Hoạt động chuyên môn, khoa học và công nghệ",165.745,954.007,165745.0,954007.0
"Hoạt động của DCS, tổ chức CT-XH, quản lý NN, an ninh QP; bảo đảm XH bắt buộc","Hoạt động của DCS, tổ chức CT-XH, quản lý NN, an ninh QP; bảo đảm XH bắt buộc","Hoạt động của DCS, tổ chức CT-XH, quản lý NN, an ninh QP; bảo đảm XH bắt buộc",34.629,328,34629.0,328.0
Giáo dục và đào tạo,Giáo dục và đào tạo,Giáo dục và đào tạo,226.617,10.959,226617.0,10959.0
Y tế và hoạt động trợ giúp xã hội,Y tế và hoạt động trợ giúp xã hội,Y tế và hoạt động trợ giúp xã hội,115.289,112.370,115289.0,112370.0
Hoạt động dịch vụ khác,Hoạt động dịch vụ khác,Hoạt động dịch vụ khác,4.381.209,6.683.277,4381209.0,6683277.0
Sản xuất sản phẩm vật chất và dịch vụ tiêu dùng của hộ gia đình,Sản xuất sản phẩm vật chất và dịch vụ tiêu dùng của hộ gia đình,Sản xuất sản phẩm vật chất và dịch vụ tiêu dùng của hộ gia đình,1.579.176,2.299.644,1579176.0,2299644.0
Tổng cộng,Tổng cộng,Tổng cộng,20.431.441,16.640.657,20431441.0,16640657.0
