row_label_raw,row_label_full,Chỉ tiêu,Quá hạn > Trên 3 tháng,Quá hạn > Đến 3 tháng,Trong hạn > Đến 1 tháng,Trong hạn > Từ 1 - 3 tháng,Trong hạn > Từ 3 - 6 tháng,Trong hạn > Từ 6 - 12 tháng,Trong hạn > Trên 1 năm,Tổng,numeric__Quá hạn > Trên 3 tháng,numeric__Quá hạn > Đến 3 tháng,numeric__Trong hạn > Đến 1 tháng,numeric__Trong hạn > Từ 1 - 3 tháng,numeric__Trong hạn > Từ 3 - 6 tháng,numeric__Trong hạn > Từ 6 - 12 tháng,numeric__Trong hạn > Trên 1 năm,numeric__Tổng
"Tiền mặt, vàng bạc, đá quý","Tiền mặt, vàng bạc, đá quý","Tiền mặt, vàng bạc, đá quý",-,-,285.712,-,-,-,-,285.712,,,285712.0,,,,,285712.0
Tiền gối tại ngân hàng Nhà nước,Tiền gối tại ngân hàng Nhà nước,Tiền gối tại ngân hàng Nhà nước,-,-,1.812.435,-,-,-,-,1.812.435,,,1812435.0,,,,,1812435.0
"Tiền, vàng gối tại và cho vay các TCTD khác (*)","Tiền, vàng gối tại và cho vay các TCTD khác (*)","Tiền, vàng gối tại và cho vay các TCTD khác (*)",-,-,4.646.902,1.660.000,40.000,75.000,-,6.421.902,,,4646902.0,1660000.0,40000.0,75000.0,,6421902.0
Chứng khoán kinh doanh (*),Chứng khoán kinh doanh (*),Chứng khoán kinh doanh (*),-,-,-,-,-,-,-,-,,,,,,,,
Các công cụ tài chính phải sinh và các tài sản tài chính khác (*),Các công cụ tài chính phải sinh và các tài sản tài chính khác (*),Các công cụ tài chính phải sinh và các tài sản tài chính khác (*),-,-,-,-,-,-,-,-,,,,,,,,
Cho vay khách hàng (*),Các công cụ tài chính phải sinh và các tài sản tài chính khác (*) > Cho vay khách hàng (*),Cho vay khách hàng (*),1.009.102,,2.955.175,1.847.525,2.303.288,2.892.128,9.424.222,20.431.441,1009102.0,,2955175.0,1847525.0,2303288.0,2892128.0,9424222.0,20431441.0
Chứng khoán đầu tư (*),Các công cụ tài chính phải sinh và các tài sản tài chính khác (*) > Chứng khoán đầu tư (*),Chứng khoán đầu tư (*),-,-,450.000,-,-,150.000,9.446.019,10.046.019,,,450000.0,,,150000.0,9446019.0,10046019.0
"Gộp vốn, đầu tư dài hạn (*)","Các công cụ tài chính phải sinh và các tài sản tài chính khác (*) > Gộp vốn, đầu tư dài hạn (*)","Gộp vốn, đầu tư dài hạn (*)",-,-,-,-,-,-,873.967,873.967,,,,,,,873967.0,873967.0
Tải sản cố định và Bất động sản đầu tư,Các công cụ tài chính phải sinh và các tài sản tài chính khác (*) > Tải sản cố định và Bất động sản đầu tư,Tải sản cố định và Bất động sản đầu tư,-,-,-,-,-,-,1.168.506,1.168.506,,,,,,,1168506.0,1168506.0
Tải sản Cỏ khác (*),Các công cụ tài chính phải sinh và các tài sản tài chính khác (*) > Tải sản Cỏ khác (*),Tải sản Cỏ khác (*),-,-,7.346.937,19.703,56.903,8.414,248,7.432.205,,,7346937.0,19703.0,56903.0,8414.0,248.0,7432205.0
Tổng Tài sản,Các công cụ tài chính phải sinh và các tài sản tài chính khác (*) > Tổng Tài sản,Tổng Tài sản,1.009.102,-,17.497.161,3.527.228,2.400.191,3.125.542,20.912.962,48.472.187,1009102.0,,17497161.0,3527228.0,2400191.0,3125542.0,20912962.0,48472187.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,,,,,,,,,
Tiền gửi của và vay từ các TCTD khác,Nợ phải trả > Tiền gửi của và vay từ các TCTD khác,Tiền gửi của và vay từ các TCTD khác,-,-,7.136.506,2.709.955,144.488,-,-,9.990.948,,,7136506.0,2709955.0,144488.0,,,9990948.0
Tiền vay từ Chính phủ và NHNN,Tiền vay từ Chính phủ và NHNN,Tiền vay từ Chính phủ và NHNN,-,-,-,-,-,-,-,-,,,,,,,,
Tiền gửi của khách hàng,Tiền vay từ Chính phủ và NHNN > Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,-,14.149.985,5.431.364,8.465.437,4.855.678,1.128.508,34.030.972,,,14149985.0,5431364.0,8465437.0,4855678.0,1128508.0,34030972.0
Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,Tiền vay từ Chính phủ và NHNN > Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,-,-,8.050,-,-,-,-,8.050,,,8050.0,,,,,8050.0
"Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Tiền vay từ Chính phủ và NHNN > Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro",-,-,-,-,-,-,113.884,113.884,,,,,,,113884.0,113884.0
Phát hành giấy tờ có giá,Tiền vay từ Chính phủ và NHNN > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,-,-,178.657,21.440,-,-,-,200.097,,,178657.0,21440.0,,,,200097.0
Các khoản nợ khác,Tiền vay từ Chính phủ và NHNN > Các khoản nợ khác,Các khoản nợ khác,-,-,3.347,90,-,-,665.289,668.726,,,3347.0,90.0,,,665289.0,668726.0
Tổng Nợ phải trả,Tiền vay từ Chính phủ và NHNN > Tổng Nợ phải trả,Tổng Nợ phải trả,-,-,21.476.546,8.162.848,8.609.925,4.855.678,1.907.681,45.012.678,,,21476546.0,8162848.0,8609925.0,4855678.0,1907681.0,45012678.0
