row_label_raw,row_label_full,col_0,Mức độ rủi ro tín dụng tối đa,Mức độ rủi ro tín dụng tối đa_1,numeric__Mức độ rủi ro tín dụng tối đa,numeric__Mức độ rủi ro tín dụng tối đa_1
,,,31.12.2024Triệu đồng,31.12.2023Triệu đồng,,
Mức rủi ro tín dụng của các tài khoản thuộc báo cáotình hình tài chính hợp nhất:,Mức rủi ro tín dụng của các tài khoản thuộc báo cáotình hình tài chính hợp nhất:,Mức rủi ro tín dụng của các tài khoản thuộc báo cáotình hình tài chính hợp nhất:,Mức rủi ro tín dụng của các tài khoản thuộc báo cáotình hình tài chính hợp nhất:,Mức rủi ro tín dụng của các tài khoản thuộc báo cáotình hình tài chính hợp nhất:,,
Tiền gửi tại các TCTD khác,Mức rủi ro tín dụng của các tài khoản thuộc báo cáotình hình tài chính hợp nhất: > Tiền gửi tại các TCTD khác,Tiền gửi tại các TCTD khác,29.829.638,43.026.893,29829638.0,43026893.0
Chứng khoán kinh doanh (Thuyết minh 6.2),Mức rủi ro tín dụng của các tài khoản thuộc báo cáotình hình tài chính hợp nhất: > Chứng khoán kinh doanh (Thuyết minh 6.2),Chứng khoán kinh doanh (Thuyết minh 6.2),1.035.642,-,1035642.0,
Các công cụ tài chính phải sinh và tài sản tài chính khác,Mức rủi ro tín dụng của các tài khoản thuộc báo cáotình hình tài chính hợp nhất: > Các công cụ tài chính phải sinh và tài sản tài chính khác,Các công cụ tài chính phải sinh và tài sản tài chính khác,291.886,-,291886.0,
Cho vay khách hàng (Thuyết minh 8.3),Mức rủi ro tín dụng của các tài khoản thuộc báo cáotình hình tài chính hợp nhất: > Cho vay khách hàng (Thuyết minh 8.3),Cho vay khách hàng (Thuyết minh 8.3),165.154.897,140.448.924,165154897.0,140448924.0
Mua nợ (Thuyết minh 9),Mức rủi ro tín dụng của các tài khoản thuộc báo cáotình hình tài chính hợp nhất: > Mua nợ (Thuyết minh 9),Mua nợ (Thuyết minh 9),800.000,-,800000.0,
Chứng khoán đầu tư (Thuyết minh 10.5),Mức rủi ro tín dụng của các tài khoản thuộc báo cáotình hình tài chính hợp nhất: > Chứng khoán đầu tư (Thuyết minh 10.5),Chứng khoán đầu tư (Thuyết minh 10.5),16.975.212,4.375.000,16975212.0,4375000.0
Các tài sản tài chính khác (Thuyết minh 12.4),Mức rủi ro tín dụng của các tài khoản thuộc báo cáotình hình tài chính hợp nhất: > Các tài sản tài chính khác (Thuyết minh 12.4),Các tài sản tài chính khác (Thuyết minh 12.4),2.436.578,1.656.820,2436578.0,1656820.0
,,,216.523.853,189.507.637,216523853.0,189507637.0
Mức rủi ro tín dụng của các khoản mục ngoại bằng:,Mức rủi ro tín dụng của các khoản mục ngoại bằng:,Mức rủi ro tín dụng của các khoản mục ngoại bằng:,Mức rủi ro tín dụng của các khoản mục ngoại bằng:,Mức rủi ro tín dụng của các khoản mục ngoại bằng:,,
Các hợp đồng bảo lãnh tài chính,Mức rủi ro tín dụng của các khoản mục ngoại bằng: > Các hợp đồng bảo lãnh tài chính,Các hợp đồng bảo lãnh tài chính,3.440.848,3.029.491,3440848.0,3029491.0
Các cam kết trong nghiệp vụ L/C,Mức rủi ro tín dụng của các khoản mục ngoại bằng: > Các cam kết trong nghiệp vụ L/C,Các cam kết trong nghiệp vụ L/C,2.423.944,1.322.303,2423944.0,1322303.0
,,,5.864.792,4.351.794,5864792.0,4351794.0
,,,222.388.645,193.859.431,222388645.0,193859431.0
