row_label_raw,row_label_full,Ngày 31 tháng 12 năm 2024Tài sản,Quá hạn,Không chịulãi suất,Dưới1 tháng,Từ 1 - 3tháng,Từ 3 - 6tháng,Từ 6 - 12tháng,Từ 1 - 5năm,Đơn vị: Triệu đồngTrên 5năm,Tổng cộng,numeric__Quá hạn,numeric__Không chịulãi suất,numeric__Dưới1 tháng,numeric__Từ 1 - 3tháng,numeric__Từ 3 - 6tháng,numeric__Từ 6 - 12tháng,numeric__Từ 1 - 5năm,numeric__Đơn vị: Triệu đồngTrên 5năm,numeric__Tổng cộng
"Tiền mặt vàng bạc, đá quý","Tiền mặt vàng bạc, đá quý","Tiền mặt vàng bạc, đá quý",-,2.095.973,-,-,-,-,-,-,2.095.973,,2095973.0,,,,,,,2095973.0
Tiền gửi tại NHNN,Tiền gửi tại NHNN,Tiền gửi tại NHNN,-,-,4.335.534,-,-,-,-,-,4.335.534,,,4335534.0,,,,,,4335534.0
Tiền gửi tại các TCTD khác,Tiền gửi tại các TCTD khác,Tiền gửi tại các TCTD khác,-,-,23.901.008,5.928.630,-,-,-,-,29.829.638,,,23901008.0,5928630.0,,,,,29829638.0
Chứng khoán kinh doanh,Chứng khoán kinh doanh,Chứng khoán kinh doanh,-,-,1.035.642,-,-,1.995.721,-,-,3.031.363,,,1035642.0,,,1995721.0,,,3031363.0
Các công cụ tài chính phải sinh vàcác tài sản tài chính khác,Các công cụ tài chính phải sinh vàcác tài sản tài chính khác,Các công cụ tài chính phải sinh vàcác tài sản tài chính khác,-,303.771,(2.272),(5.252),(4.361),-,-,-,291.886,,303771.0,-2272.0,-5252.0,-4361.0,,,,291886.0
Cho vay khách hàng (*),Cho vay khách hàng (*),Cho vay khách hàng (*),5.852.337,-,23.207.373,50.244.405,43.039.090,14.709.791,27.934.872,167.029,165.154.897,5852337.0,,23207373.0,50244405.0,43039090.0,14709791.0,27934872.0,167029.0,165154897.0
Mua nợ (*),Mua nợ (*),Mua nợ (*),-,-,-,-,-,800.000,-,-,800.000,,,,,,800000.0,,,800000.0
Chứng khoán đầu tư (*),Chứng khoán đầu tư (*),Chứng khoán đầu tư (*),75.000,212.868,-,610.049,2.590.048,5.700.028,8.053.575,12.114.792,29.356.360,75000.0,212868.0,,610049.0,2590048.0,5700028.0,8053575.0,12114792.0,29356360.0
TSCĐ,TSCĐ,TSCĐ,-,3.775.847,-,-,-,-,-,-,3.775.847,,3775847.0,,,,,,,3775847.0
Tài sản Có khác (*),Tài sản Có khác (*),Tài sản Có khác (*),465.980,3.108.829,-,-,-,-,-,-,3.574.809,465980.0,3108829.0,,,,,,,3574809.0
Tổng tài sản,Tổng tài sản,Tổng tài sản,6.393.317,9.497.288,52.477.285,56.777.832,45.624.777,23.205.540,35.988.447,12.281.821,242.246.307,6393317.0,9497288.0,52477285.0,56777832.0,45624777.0,23205540.0,35988447.0,12281821.0,242246307.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,,,,,,,,,,,
Các khoản nợ Chính phủ và NHNN,Nợ phải trả > Các khoản nợ Chính phủ và NHNN,Các khoản nợ Chính phủ và NHNN,-,-,2.064.679,-,14.831,-,-,-,2.079.510,,,2064679.0,,14831.0,,,,2079510.0
Tiền gửi và vay các TCTD khác,Nợ phải trả > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,-,-,17.598.967,8.448.870,3.622.493,-,-,-,29.670.330,,,17598967.0,8448870.0,3622493.0,,,,29670330.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,-,60.792.956,37.895.696,46.280.854,12.968.434,9.509.704,-,167.447.644,,,60792956.0,37895696.0,46280854.0,12968434.0,9509704.0,,167447644.0
Phát hành giấy tờ có giá,Nợ phải trả > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,-,-,-,-,500.000,6.700.000,3.664.503,-,10.864.503,,,,,500000.0,6700000.0,3664503.0,,10864503.0
Các khoản nợ khác,Nợ phải trả > Các khoản nợ khác,Các khoản nợ khác,-,4.606.601,-,-,-,-,-,-,4.606.601,,4606601.0,,,,,,,4606601.0
Tổng nợ phải trả,Nợ phải trả > Tổng nợ phải trả,Tổng nợ phải trả,-,4.606.601,80.456.602,46.344.566,50.418.178,19.668.434,13.174.207,-,214.668.588,,4606601.0,80456602.0,46344566.0,50418178.0,19668434.0,13174207.0,,214668588.0
Mức chênh nhạy cảm với lãi suất nội bảng,Nợ phải trả > Mức chênh nhạy cảm với lãi suất nội bảng,Mức chênh nhạy cảm với lãi suất nội bảng,6.393.317,4.890.687,(27.979.317),10.433.266,(4.793.401),3.537.106,22.814.240,12.281.821,27.577.719,6393317.0,4890687.0,-27979317.0,10433266.0,-4793401.0,3537106.0,22814240.0,12281821.0,27577719.0
Mức chênh nhạy cảm với lãi suất ngoại bảng,Mức chênh nhạy cảm với lãi suất ngoại bảng,Mức chênh nhạy cảm với lãi suất ngoại bảng,-,-,-,-,-,-,-,-,-,,,,,,,,,
Mức chênh nhạy cảm với lãi suất,Mức chênh nhạy cảm với lãi suất ngoại bảng > Mức chênh nhạy cảm với lãi suất,Mức chênh nhạy cảm với lãi suất,6.393.317,4.890.687,(27.979.317),10.433.266,(4.793.401),3.537.106,22.814.240,12.281.821,27.577.719,6393317.0,4890687.0,-27979317.0,10433266.0,-4793401.0,3537106.0,22814240.0,12281821.0,27577719.0
