row_label_raw,row_label_full,col_0,Số cuối năm > Giá trị,Số cuối năm > Số có khả năng trả nợ,Số đầu năm > Giá trị,Số đầu năm > Số có khả năng trả nợ,numeric__Số cuối năm > Giá trị,numeric__Số cuối năm > Số có khả năng trả nợ,numeric__Số đầu năm > Giá trị,numeric__Số đầu năm > Số có khả năng trả nợ
,,,VND,VND,VND,VND,,,,
a. Các khoản phải trả người bán ngắn hạn,a. Các khoản phải trả người bán ngắn hạn,a. Các khoản phải trả người bán ngắn hạn,a. Các khoản phải trả người bán ngắn hạn,a. Các khoản phải trả người bán ngắn hạn,a. Các khoản phải trả người bán ngắn hạn,a. Các khoản phải trả người bán ngắn hạn,,,,
Socar Trading Singapore Pte. Ltd.,a. Các khoản phải trả người bán ngắn hạn > Socar Trading Singapore Pte. Ltd.,Socar Trading Singapore Pte. Ltd.,1.254.592.557.174,1.254.592.557.174,1.315.825.625,1.315.825.625,1254592557174.0,1254592557174.0,1315825625.0,1315825625.0
Công ty Liên doanh Điều hành chung Cửu Long,a. Các khoản phải trả người bán ngắn hạn > Công ty Liên doanh Điều hành chung Cửu Long,Công ty Liên doanh Điều hành chung Cửu Long,1.090.409.294.550,1.090.409.294.550,1.002.560.729.188,1.002.560.729.188,1090409294550.0,1090409294550.0,1002560729188.0,1002560729188.0
Shell International Eastern Trading Company,a. Các khoản phải trả người bán ngắn hạn > Shell International Eastern Trading Company,Shell International Eastern Trading Company,822.056.487.659,822.056.487.659,-,-,822056487659.0,822056487659.0,,
Vitol Asia Pte. Ltd.,a. Các khoản phải trả người bán ngắn hạn > Vitol Asia Pte. Ltd.,Vitol Asia Pte. Ltd.,317.805.955.066,317.805.955.066,-,-,317805955066.0,317805955066.0,,
Công ty Điều hành chung Hoàng Long,a. Các khoản phải trả người bán ngắn hạn > Công ty Điều hành chung Hoàng Long,Công ty Điều hành chung Hoàng Long,227.776.301.765,227.776.301.765,860.407.745.789,860.407.745.789,227776301765.0,227776301765.0,860407745789.0,860407745789.0
Premier Oil Việt Nam Offshore B.V,a. Các khoản phải trả người bán ngắn hạn > Premier Oil Việt Nam Offshore B.V,Premier Oil Việt Nam Offshore B.V,-,-,44.144.550.755,44.144.550.755,,,44144550755.0,44144550755.0
Công ty Điều hành chung Thăng Long,a. Các khoản phải trả người bán ngắn hạn > Công ty Điều hành chung Thăng Long,Công ty Điều hành chung Thăng Long,142.515.541.416,142.515.541.416,175.238.596.078,175.238.596.078,142515541416.0,142515541416.0,175238596078.0,175238596078.0
Các đối tượng khác,a. Các khoản phải trả người bán ngắn hạn > Các đối tượng khác,Các đối tượng khác,561.755.874.994,561.755.874.994,328.416.391.519,328.416.391.519,561755874994.0,561755874994.0,328416391519.0,328416391519.0
b. Phải trả người bán là các bên liên quan(chỉ tiết tại Thuyết minh số 34),a. Các khoản phải trả người bán ngắn hạn > b. Phải trả người bán là các bên liên quan(chỉ tiết tại Thuyết minh số 34),b. Phải trả người bán là các bên liên quan(chỉ tiết tại Thuyết minh số 34),2.588.018.709.661,2.588.018.709.661,4.655.857.571.784,4.655.857.571.784,2588018709661.0,2588018709661.0,4655857571784.0,4655857571784.0
,,,7.004.930.722.285,7.004.930.722.285,7.067.941.410.738,7.067.941.410.738,7004930722285.0,7004930722285.0,7067941410738.0,7067941410738.0
