row_label_raw,row_label_full,Báo cáo kết quả hoạt động kinh doanh hợp nhất cho năm tài chính kết thúc ngày 31 tháng 12 năm 2020 > Chỉ tiêu,Báo cáo kết quả hoạt động kinh doanh hợp nhất cho năm tài chính kết thúc ngày 31 tháng 12 năm 2020 > Sản phẩmlọc hóa dầu > VND,Báo cáo kết quả hoạt động kinh doanh hợp nhất cho năm tài chính kết thúc ngày 31 tháng 12 năm 2020 > Nhiên liệusinh học > VND,Báo cáo kết quả hoạt động kinh doanh hợp nhất cho năm tài chính kết thúc ngày 31 tháng 12 năm 2020 > Sản xuất bao bì vàthương mại dịch vụ > VND,Báo cáo kết quả hoạt động kinh doanh hợp nhất cho năm tài chính kết thúc ngày 31 tháng 12 năm 2020 > Loại trừ nội bộ > VND,Báo cáo kết quả hoạt động kinh doanh hợp nhất cho năm tài chính kết thúc ngày 31 tháng 12 năm 2020 > Tổng > VND,numeric__Báo cáo kết quả hoạt động kinh doanh hợp nhất cho năm tài chính kết thúc ngày 31 tháng 12 năm 2020 > Sản phẩmlọc hóa dầu > VND,numeric__Báo cáo kết quả hoạt động kinh doanh hợp nhất cho năm tài chính kết thúc ngày 31 tháng 12 năm 2020 > Nhiên liệusinh học > VND,numeric__Báo cáo kết quả hoạt động kinh doanh hợp nhất cho năm tài chính kết thúc ngày 31 tháng 12 năm 2020 > Sản xuất bao bì vàthương mại dịch vụ > VND,numeric__Báo cáo kết quả hoạt động kinh doanh hợp nhất cho năm tài chính kết thúc ngày 31 tháng 12 năm 2020 > Loại trừ nội bộ > VND,numeric__Báo cáo kết quả hoạt động kinh doanh hợp nhất cho năm tài chính kết thúc ngày 31 tháng 12 năm 2020 > Tổng > VND
Báo cáo kết quả hoạt động kinh doanh hợp nhất cho năm tài chính kết thúc ngày 31 tháng 12 năm 2019,Báo cáo kết quả hoạt động kinh doanh hợp nhất cho năm tài chính kết thúc ngày 31 tháng 12 năm 2019,Báo cáo kết quả hoạt động kinh doanh hợp nhất cho năm tài chính kết thúc ngày 31 tháng 12 năm 2019,Báo cáo kết quả hoạt động kinh doanh hợp nhất cho năm tài chính kết thúc ngày 31 tháng 12 năm 2019,Báo cáo kết quả hoạt động kinh doanh hợp nhất cho năm tài chính kết thúc ngày 31 tháng 12 năm 2019,Báo cáo kết quả hoạt động kinh doanh hợp nhất cho năm tài chính kết thúc ngày 31 tháng 12 năm 2019,Báo cáo kết quả hoạt động kinh doanh hợp nhất cho năm tài chính kết thúc ngày 31 tháng 12 năm 2019,Báo cáo kết quả hoạt động kinh doanh hợp nhất cho năm tài chính kết thúc ngày 31 tháng 12 năm 2019,,,,,
Chỉ tiêu,Chỉ tiêu,Chỉ tiêu,Sản phẩmlọc hóa dầu,Nhiên liệusinh học,Sản xuất bao bì vàthương mại dịch vụ,Loại trừ nội bộ,Tổng,,,,,
Chỉ tiêu,Chỉ tiêu,Chỉ tiêu,VND,VND,VND,VND,VND,,,,,
Doanh thu thuần,Chỉ tiêu > Doanh thu thuần,Doanh thu thuần,102.724.546.230.672,25.170.004.860,337.052.183.641,(263.015.773.876),102.823.752.645.297,102724546230672.0,25170004860.0,337052183641.0,-263015773876.0,102823752645297.0
Chi phí sản xuất kinh doanh,Chỉ tiêu > Chi phí sản xuất kinh doanh,Chi phí sản xuất kinh doanh,99.788.545.723.504,108.659.930.609,320.747.981.770,(263.422.779.165),99.954.530.856.718,99788545723504.0,108659930609.0,320747981770.0,-263422779165.0,99954530856718.0
- Giá vốn hàng bán,Chỉ tiêu > - Giá vốn hàng bán,- Giá vốn hàng bán,98.697.523.697.030,105.297.908.896,300.606.134.743,(252.436.446.840),98.850.991.293.829,98697523697030.0,105297908896.0,300606134743.0,-252436446840.0,98850991293829.0
- Chi phí bán hàng,Chỉ tiêu > - Chi phí bán hàng,- Chi phí bán hàng,710.446.673.326,314.667.512,3.353.674.111,-,714.115.014.949,710446673326.0,314667512.0,3353674111.0,,714115014949.0
- Chi phí quản lý doanh nghiệp,Chỉ tiêu > - Chi phí quản lý doanh nghiệp,- Chi phí quản lý doanh nghiệp,380.575.353.148,3.047.354.201,16.788.172.916,(10.986.332.325),389.424.547.940,380575353148.0,3047354201.0,16788172916.0,-10986332325.0,389424547940.0
Kết quả kinh doanh theo bộ phận,Chỉ tiêu > Kết quả kinh doanh theo bộ phận,Kết quả kinh doanh theo bộ phận,2.936.000.507.168,(83.489.925.749),16.304.201.871,407.005.289,2.869.221.788.579,2936000507168.0,-83489925749.0,16304201871.0,407005289.0,2869221788579.0
Doanh thu hoạt động tài chính,Chỉ tiêu > Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,,,,,536.775.450.247,,,,,536775450247.0
Chi phí tài chính,Chỉ tiêu > Chi phí tài chính,Chi phí tài chính,,,,,416.118.869.286,,,,,416118869286.0
Lợi nhuận khác,Chỉ tiêu > Lợi nhuận khác,Lợi nhuận khác,,,,,64.515.872.130,,,,,64515872130.0
Lợi nhuận trước thuế thu nhập doanh nghiệp,Chỉ tiêu > Lợi nhuận trước thuế thu nhập doanh nghiệp,Lợi nhuận trước thuế thu nhập doanh nghiệp,,,,,3.054.394.241.670,,,,,3054394241670.0
Chi phí thuế thu nhập doanh nghiệp hiện hành,Chỉ tiêu > Chi phí thuế thu nhập doanh nghiệp hiện hành,Chi phí thuế thu nhập doanh nghiệp hiện hành,,,,,177.270.179.729,,,,,177270179729.0
Chi phí thuế thu nhập doanh nghiệp hoãn lại,Chỉ tiêu > Chi phí thuế thu nhập doanh nghiệp hoãn lại,Chi phí thuế thu nhập doanh nghiệp hoãn lại,,,,,4.126.651.594,,,,,4126651594.0
Lợi nhuận sau thuế thu nhập doanh nghiệp,Chỉ tiêu > Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,,,,,2.872.997.410.347,,,,,2872997410347.0
