row_label_raw,row_label_full,col_0,Vốn đầu tư của chủ sở hữu,Thặng dư vốn cổ phần,Quỹ khác của chủ sở hữu,Quỹ đầu tư phát triển,Lợi nhuận sau thuế chưa phân phối,Lợi ích cổ đông không kiểm soát,Tổng,numeric__Vốn đầu tư của chủ sở hữu,numeric__Thặng dư vốn cổ phần,numeric__Quỹ khác của chủ sở hữu,numeric__Quỹ đầu tư phát triển,numeric__Lợi nhuận sau thuế chưa phân phối,numeric__Lợi ích cổ đông không kiểm soát,numeric__Tổng
Số dư tại 01/01/2024,Số dư tại 01/01/2024,Số dư tại 01/01/2024,3.041.685.810.000,60.986.800.000,1.086.479.930,412.760.810,277.850.744.435,205.744.776.804,3.587.767.371.979,3041685810000.0,60986800000.0,1086479930.0,412760810.0,277850744435.0,205744776804.0,3587767371979.0
Lãi trong năm trước,Lãi trong năm trước,Lãi trong năm trước,-,-,-,-,57.446.751.273,4.018.255.458,61.465.006.731,,,,,57446751273.0,4018255458.0,61465006731.0
Tăng do tăng tỷ lệ sở hữu tại Công ty con,Tăng do tăng tỷ lệ sở hữu tại Công ty con,Tăng do tăng tỷ lệ sở hữu tại Công ty con,-,-,-,-,-,(708.836.453),(708.836.453),,,,,,-708836453.0,-708836453.0
Chi trả cổ tức tại con,Chi trả cổ tức tại con,Chi trả cổ tức tại con,-,-,-,-,-,(8.842.493.074),(8.842.493.074),,,,,,-8842493074.0,-8842493074.0
Trích quỹ KTPL tại Công ty con,Trích quỹ KTPL tại Công ty con,Trích quỹ KTPL tại Công ty con,-,-,-,-,(1.388.513.201),(321.543.597),(1.710.056.798),,,,,-1388513201.0,-321543597.0,-1710056798.0
Thù lao HDQT tại Công ty mẹ,Thù lao HDQT tại Công ty mẹ,Thù lao HDQT tại Công ty mẹ,-,-,-,-,(640.000.000),-,(640.000.000),,,,,-640000000.0,,-640000000.0
Thù lao HDQT tại Công ty con,Thù lao HDQT tại Công ty con,Thù lao HDQT tại Công ty con,,,,-,(360.135.705),(91.864.295),(452.000.000),,,,,-360135705.0,-91864295.0,-452000000.0
Trích quỹ Đầu tư phát triển tại Công ty con,Trích quỹ Đầu tư phát triển tại Công ty con,Trích quỹ Đầu tư phát triển tại Công ty con,-,-,-,187.618.035,(187.618.035),-,-,,,,187618035.0,-187618035.0,,
Giảm do thanh lý Công ty con,Giảm do thanh lý Công ty con,Giảm do thanh lý Công ty con,-,-,(1.086.479.930),(600.378.845),-,(1.218.486.221),(2.905.344.996),,,-1086479930.0,-600378845.0,,-1218486221.0,-2905344996.0
Số dư tại 31/12/2024,Số dư tại 31/12/2024,Số dư tại 31/12/2024,3.041.685.810.000,60.986.800.000,-,-,332.721.228.767,198.579.808.622,3.633.973.647.389,3041685810000.0,60986800000.0,,,332721228767.0,198579808622.0,3633973647389.0
Số dư tại 01/01/2025,Số dư tại 01/01/2025,Số dư tại 01/01/2025,3.041.685.810.000,60.986.800.000,-,-,332.721.228.767,198.579.808.622,3.633.973.647.389,3041685810000.0,60986800000.0,,,332721228767.0,198579808622.0,3633973647389.0
Lãi trong năm nay,Lãi trong năm nay,Lãi trong năm nay,-,-,-,-,121.334.755.833,3.603.742.302,124.938.498.135,,,,,121334755833.0,3603742302.0,124938498135.0
Thù lao HDQT tại Công ty mẹ,Thù lao HDQT tại Công ty mẹ,Thù lao HDQT tại Công ty mẹ,-,-,-,-,(3.120.000.000),-,(3.120.000.000),,,,,-3120000000.0,,-3120000000.0
Thù lao HDQT tại Công ty con,Thù lao HDQT tại Công ty con,Thù lao HDQT tại Công ty con,-,-,-,-,(167.261.345),(37.738.655),(205.000.000),,,,,-167261345.0,-37738655.0,-205000000.0
Giảm do bán công ty con,Giảm do bán công ty con,Giảm do bán công ty con,-,-,-,-,-,(202.145.812.269),(202.145.812.269),,,,,,-202145812269.0,-202145812269.0
Số dư tại 31/12/2025,Số dư tại 31/12/2025,Số dư tại 31/12/2025,3.041.685.810.000,60.986.800.000,-,-,450.768.723.255,-,3.553.441.333.255,3041685810000.0,60986800000.0,,,450768723255.0,,3553441333255.0
