row_label_raw,row_label_full,col_0,Vốn cổ phần VND,Thặng dư vốn cổ phần VND,Cổ phiếu quỹ VN/D,Quỹ khác thuộc vốn chủ sở hữu VND,Lợi nhuận sau thuế chưa phân phối VND,Lợi ích cổ đông không kiểm soát VND,Tổng VND,numeric__Vốn cổ phần VND,numeric__Thặng dư vốn cổ phần VND,numeric__Cổ phiếu quỹ VN/D,numeric__Quỹ khác thuộc vốn chủ sở hữu VND,numeric__Lợi nhuận sau thuế chưa phân phối VND,numeric__Lợi ích cổ đông không kiểm soát VND,numeric__Tổng VND
Số dư tại ngày1 tháng 10 năm 2017,Số dư tại ngày1 tháng 10 năm 2017,Số dư tại ngày1 tháng 10 năm 2017,3.499.966.830.000,151.583.183.521,-,34.535.741.195,1.446.534.555.355,37.181.622.614,5.169.801.932.685,3499966830000.0,151583183521.0,,34535741195.0,1446534555355.0,37181622614.0,5169801932685.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,409.234.037.922,(68.336.983),409.165.700.939,,,,,409234037922.0,-68336983.0,409165700939.0
Cổ phiếu phát hành để trả cổ tức,Cổ phiếu phát hành để trả cổ tức,Cổ phiếu phát hành để trả cổ tức,349.936.450.000,-,-,-,(349.936.450.000),-,-,349936450000.0,,,,-349936450000.0,,
Mua lại cổ phiếu quỹ,Mua lại cổ phiếu quỹ,Mua lại cổ phiếu quỹ,-,-,(1.343.000.000),-,-,-,(1.343.000.000),,,-1343000000.0,,,,-1343000000.0
Cổ tức,Cổ tức,Cổ tức,-,-,-,-,(349.957.383.000),-,(349.957.383.000),,,,,-349957383000.0,,-349957383000.0
"Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi",-,-,-,-,(53.266.556.487),-,(53.266.556.487),,,,,-53266556487.0,,-53266556487.0
Phân bổ vào quỹ,Phân bổ vào quỹ,Phân bổ vào quỹ,-,-,-,47.549.876.048,(47.549.876.048),-,-,,,,47549876048.0,-47549876048.0,,
Sử dụng các quỹ,Sử dụng các quỹ,Sử dụng các quỹ,-,-,-,(21.575.866.687),-,-,(21.575.866.687),,,,-21575866687.0,,,-21575866687.0
Giảm do giải thể công ty con,Giảm do giải thể công ty con,Giảm do giải thể công ty con,-,-,-,-,-,(1.199.108.525),(1.199.108.525),,,,,,-1199108525.0,-1199108525.0
Số dư tại ngày1 tháng 10 năm 2018,Số dư tại ngày1 tháng 10 năm 2018,Số dư tại ngày1 tháng 10 năm 2018,3.849.903.280.000,151.583.183.521,(1.343.000.000),60.509.750.556,1.055.058.327.742,35.914.177.106,5.151.625.718.925,3849903280000.0,151583183521.0,-1343000000.0,60509750556.0,1055058327742.0,35914177106.0,5151625718925.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,361.352.133.015,19.370.731,361.371.503.746,,,,,361352133015.0,19370731.0,361371503746.0
Cổ phiếu phát hành để trả cổ tức (*),Cổ phiếu phát hành để trả cổ tức (*),Cổ phiếu phát hành để trả cổ tức (*),384.791.610.000,-,-,-,(384.791.610.000),-,-,384791610000.0,,,,-384791610000.0,,
Mua lại cổ phiếu quỹ,Mua lại cổ phiếu quỹ,Mua lại cổ phiếu quỹ,-,-,(1.116.000.000),-,-,-,(1.116.000.000),,,-1116000000.0,,,,-1116000000.0
"Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi",-,-,-,-,(4.092.340.379),-,(4.092.340.379),,,,,-4092340379.0,,-4092340379.0
Phân bổ vào quỹ (**),Phân bổ vào quỹ (**),Phân bổ vào quỹ (**),-,-,-,6.138.510.569,(6.138.510.569),-,-,,,,6138510569.0,-6138510569.0,,
Sử dụng các quỹ,Sử dụng các quỹ,Sử dụng các quỹ,-,-,-,(11.021.590.990),-,-,(11.021.590.990),,,,-11021590990.0,,,-11021590990.0
Tăng do tăng tỷ lệ sở hữu từ công ty liên kết thành công ty con,Tăng do tăng tỷ lệ sở hữu từ công ty liên kết thành công ty con,Tăng do tăng tỷ lệ sở hữu từ công ty liên kết thành công ty con,-,-,-,-,18.830.555,1.495.063.793,1.513.894.348,,,,,18830555.0,1495063793.0,1513894348.0
Thay đổi tỷ lệ sở hữu của cổ đông không kiểm soát (Thuyết minh 6),Thay đổi tỷ lệ sở hữu của cổ đông không kiểm soát (Thuyết minh 6),Thay đổi tỷ lệ sở hữu của cổ đông không kiểm soát (Thuyết minh 6),-,-,-,-,(126.055.813),(29.873.944.187),(30.000.000.000),,,,,-126055813.0,-29873944187.0,-30000000000.0
Số dư tại ngày30 tháng 9 năm 2019,Số dư tại ngày30 tháng 9 năm 2019,Số dư tại ngày30 tháng 9 năm 2019,4.234.694.890.000,151.583.183.521,(2.459.000.000),55.626.670.135,1.021.280.774.551,7.554.667.443,5.468.281.185.650,4234694890000.0,151583183521.0,-2459000000.0,55626670135.0,1021280774551.0,7554667443.0,5468281185650.0
