row_label_raw,row_label_full,col_0,Bên cho vay,Loại tiền,Hạn mức,Lãi suất,Lãi suất_1,Tài sản đảm bảo,numeric__Bên cho vay,numeric__Loại tiền,numeric__Hạn mức,numeric__Lãi suất,numeric__Lãi suất_1,numeric__Tài sản đảm bảo
,,,Bên cho vay,Loại tiền,Hạn mức,30/9/2019,1/10/2018,Tài sản đảm bảo,,,,,,
i.,i.,i.,Ngân hàng TMCP Công thương Việt Nam- Chi nhánh KCN Bình Dương,VND,3.000 tỷ VND,"5,50% - 6,30%","5,50%","Quyền sử dụng đất, nhà cửa, vật kiến trúc, máy móc và thiết bị và phải thu của khách hàng",,,,,0.055,
i.,i.,i.,Ngân hàng TMCP Công thương Việt Nam- Chi nhánh KCN Bình Dương,USD,3.000 tỷ VND,"3,60%","2,70% - 2,90%","Quyền sử dụng đất, nhà cửa, vật kiến trúc, máy móc và thiết bị và phải thu của khách hàng",,,,0.036000000000000004,,
ii.,ii.,ii.,Ngân hàng TMCP Ngoại thương Việt Nam- Chi nhánh Nam Bình Dương,VND,2.000 tỷ VND,"6,20%","5,30% - 5,90%","Quyền sử dụng đất, máy móc và thiết bị và hàng tồn kho",,,,0.062,,
ii.,ii.,ii.,Ngân hàng TMCP Ngoại thương Việt Nam- Chi nhánh Nam Bình Dương,USD,2.000 tỷ VND,"3,60%","2,70% - 3,00%","Quyền sử dụng đất, máy móc và thiết bị và hàng tồn kho",,,,0.036000000000000004,,
iii.,iii.,iii.,Ngân hàng Đầu tư và Phát triển Việt Nam- Chi nhánh Sở Giao dịch 2,VND,2.000 tỷ VND,"6,00%","5,50% - 5,85%",Phải thu của khách hàng,,,,0.06,,
iii.,iii.,iii.,Ngân hàng Đầu tư và Phát triển Việt Nam- Chi nhánh Sở Giao dịch 2,USD,2.000 tỷ VND,-,"3,50% - 3,90%",Phải thu của khách hàng,,,,,,
iv.,iii. > iv.,iv.,Ngân hàng Đầu tư và Phát triển Việt Nam- Chi nhánh Sở Giao dịch 2,VND,1.500 tỷ VND,"6,00%",-,Hàng tồn kho,,,,0.06,,
v.,v.,v.,Ngân hàng TNHH MTV HSBC (Việt Nam),VND,50 triệu USD,"5,80% - 6,15%","4,50% - 4,70%","Hàng tồn kho, máy móc và thiết bị, quyền sử dụng đất và công trình xây dựng trên đất",,,,,,
vi.,v. > vi.,vi.,Ngân hàng TMCP Phát triển TP. Hồ Chí Minh,USD,500 tỷ VND,"4,20%","3,20%",Không có tài sản đảm bảo,,,,0.042,0.032,
vii.,v. > vii.,vii.,Ngân hàng TMCP Ngoại thương Việt Nam- Chi nhánh TP. Hồ Chí Minh,VND,-,"6,40%","5,50% - 5,90%","Quyền sử dụng đất, máy móc và thiết bị và hàng tồn kho",,,,0.064,,
vii.,v. > vii.,vii.,Ngân hàng TMCP Ngoại thương Việt Nam- Chi nhánh TP. Hồ Chí Minh,USD,-,"3,70%","2,90%","Quyền sử dụng đất, máy móc và thiết bị và hàng tồn kho",,,,0.037000000000000005,0.028999999999999998,
viii.,v. > viii.,viii.,Ngân hàng Sinopac - Chi nhánh TP. Hồ Chí Minh,VND,6 triệu USD,"5,90%","5,00%",Không có tài sản đảm bảo,,,,0.059000000000000004,0.05,
ix.,ix.,ix.,Ngân hàng TNHH MTV UOB Việt Nam,VND,9 triệu USD,"5,90% - 6,30%","4,20% - 4,50%",Hàng tồn kho,,,,,,
x.,ix. > x.,x.,Ngân hàng Malayan Banking Berhad- Chi nhánh TP. Hồ Chí Minh,USD,"6,6 triệu USD","4,20%",-,Không có tài sản đảm bảo,,,,0.042,,
xi.,ix. > xi.,xi.,Ngân hàng TMCP Công thương Việt Nam- Chi nhánh Nghệ An,VND,800 tỷ VND,"6,40% - 6,50%","5,50%","Nhà cửa, vật kiến trúc, máy móc và thiết bị",,,,,0.055,
