row_label_raw,row_label_full,Tên công ty,Hoạt động chính,Tỷ lệ quyền sở hữu/quyền biểu quyết,Tỷ lệ quyền sở hữu/quyền biểu quyết_1,numeric__Hoạt động chính,numeric__Tỷ lệ quyền sở hữu/quyền biểu quyết,numeric__Tỷ lệ quyền sở hữu/quyền biểu quyết_1
Tên công ty,Tên công ty,Tên công ty,Hoạt động chính,30/9/2019,1/10/2018,,,
Công ty con,Công ty con,Công ty con,Công ty con,Công ty con,Công ty con,,,
▪ Công ty TNHH Một Thành Viên HoaSen Nghệ An,Công ty con > ▪ Công ty TNHH Một Thành Viên HoaSen Nghệ An,▪ Công ty TNHH Một Thành Viên HoaSen Nghệ An,Sản xuất và kinh doanh tắm lợpbằng kim loại và các sản phẩmống thép.,100%,100%,,1.0,1.0
▪ Công ty TNHH Một Thành Viên HoaSen Nhơn Hội - Bình Định,Công ty con > ▪ Công ty TNHH Một Thành Viên HoaSen Nhơn Hội - Bình Định,▪ Công ty TNHH Một Thành Viên HoaSen Nhơn Hội - Bình Định,Sản xuất và kinh doanh các sản phẩm tắm lợp kim loại.,100%,100%,,1.0,1.0
▪ Công ty TNHH Một Thành Viên TônHoa Sen,Công ty con > ▪ Công ty TNHH Một Thành Viên TônHoa Sen,▪ Công ty TNHH Một Thành Viên TônHoa Sen,Sản xuất và kinh doanh các sản phẩm thép cán người.,100%,100%,,1.0,1.0
▪ Công ty TNHH Một Thành Viên HoaSen Phú Mỹ,Công ty con > ▪ Công ty TNHH Một Thành Viên HoaSen Phú Mỹ,▪ Công ty TNHH Một Thành Viên HoaSen Phú Mỹ,Sản xuất các sản phẩm thépdùng cho vật liệu xây dựng và tiêu dùng.,100%,100%,,1.0,1.0
▪ Công ty TNHH Một Thành Viên HoaSen Hà Nam,Công ty con > ▪ Công ty TNHH Một Thành Viên HoaSen Hà Nam,▪ Công ty TNHH Một Thành Viên HoaSen Hà Nam,Sản xuất và kinh doanh vật liệu xây dựng bằng nhựa và các sản phẩm ống thép.,100%,100%,,1.0,1.0
▪ Công ty TNHH Một Thành Viên Vật liệu Xây dựng Hoa Sen,Công ty con > ▪ Công ty TNHH Một Thành Viên Vật liệu Xây dựng Hoa Sen,▪ Công ty TNHH Một Thành Viên Vật liệu Xây dựng Hoa Sen,Sản xuất và kinh doanh vật liệu xây dựng bằng nhựa và các sản phẩm ống thép.,100%,100%,,1.0,1.0
▪ Công ty TNHH Một Thành Viên HoaSen Bình Định,Công ty con > ▪ Công ty TNHH Một Thành Viên HoaSen Bình Định,▪ Công ty TNHH Một Thành Viên HoaSen Bình Định,Sản xuất và kinh doanh vật liệu xây dựng bằng nhựa và các sản phẩm ống thép.,100%,100%,,1.0,1.0
▪ Công ty Cổ phần Hoa Sen Yên Bái,Công ty con > ▪ Công ty Cổ phần Hoa Sen Yên Bái,▪ Công ty Cổ phần Hoa Sen Yên Bái,"Kinh doanh khách sạn, dịch vụ ăn uống và khu trung tâm thương mại.",95%,70%,,0.95,0.7
▪ Công ty TNHH Một Thành Viên Vật liệu Xây dựng Hoa Sen Yên Bái,Công ty con > ▪ Công ty TNHH Một Thành Viên Vật liệu Xây dựng Hoa Sen Yên Bái,▪ Công ty TNHH Một Thành Viên Vật liệu Xây dựng Hoa Sen Yên Bái,Sản xuất và kinh doanh các sản phẩm ống thép.,100%,100%,,1.0,1.0
▪ Công ty TNHH Một Thành Viên Vận tải và Cơ khí Hoa Sen (*),Công ty con > ▪ Công ty TNHH Một Thành Viên Vận tải và Cơ khí Hoa Sen (*),▪ Công ty TNHH Một Thành Viên Vận tải và Cơ khí Hoa Sen (*),"Cung cấp dịch vụ vận tải và xây dựng công trình dân dụng, công nghiệp.",-,100%,,,1.0
▪ Công ty TNHH Một Thành Viên Đầu tư Khu liên hợp luyện cán thép HoaSen Cà Ná - Ninh Thuận,Công ty con > ▪ Công ty TNHH Một Thành Viên Đầu tư Khu liên hợp luyện cán thép HoaSen Cà Ná - Ninh Thuận,▪ Công ty TNHH Một Thành Viên Đầu tư Khu liên hợp luyện cán thép HoaSen Cà Ná - Ninh Thuận,"Sản xuất sắt, thép và gang.",100%,100%,,1.0,1.0
▪ Công ty TNHH Một Thành Viên Đầu tư Hạ tầng Khu Công nghiệp HoaSen Cà Ná - Ninh Thuận,Công ty con > ▪ Công ty TNHH Một Thành Viên Đầu tư Hạ tầng Khu Công nghiệp HoaSen Cà Ná - Ninh Thuận,▪ Công ty TNHH Một Thành Viên Đầu tư Hạ tầng Khu Công nghiệp HoaSen Cà Ná - Ninh Thuận,"Kinh doanh bất động sản, quyền sử dụng đất thuộc chủ sở hữu, chủ sử dụng hoặc di thuê.",100%,100%,,1.0,1.0
▪ Công ty TNHH Một Thành Viên Cảng Tổng hợp Quốc tế Hoa Sen CàNá - Ninh Thuận,Công ty con > ▪ Công ty TNHH Một Thành Viên Cảng Tổng hợp Quốc tế Hoa Sen CàNá - Ninh Thuận,▪ Công ty TNHH Một Thành Viên Cảng Tổng hợp Quốc tế Hoa Sen CàNá - Ninh Thuận,"Đầu tư cảng sông, cảng biển.",100%,100%,,1.0,1.0
▪ Công ty TNHH Một Thành Viên Năng lượng Tãi tạo Hoa Sen Cà Ná - Ninh Thuận (**),Công ty con > ▪ Công ty TNHH Một Thành Viên Năng lượng Tãi tạo Hoa Sen Cà Ná - Ninh Thuận (**),▪ Công ty TNHH Một Thành Viên Năng lượng Tãi tạo Hoa Sen Cà Ná - Ninh Thuận (**),"Sản xuất, truyền tải và phân phối điện.",100%,100%,,1.0,1.0
▪ Công ty TNHH Một Thành Viên Xi măng Hoa Sen Cà Ná - NinhThuận (**),Công ty con > ▪ Công ty TNHH Một Thành Viên Xi măng Hoa Sen Cà Ná - NinhThuận (**),▪ Công ty TNHH Một Thành Viên Xi măng Hoa Sen Cà Ná - NinhThuận (**),"Sản xuất xỉ măng, với và thạch cao.",100%,100%,,1.0,1.0
