row_label_raw,row_label_full,Bên liên quan,Mối quan hệ,Lãi vay phải thu,Lãi vay phải trả,Lãi vay đã trả,Lãi vay đã thu,numeric__Mối quan hệ,numeric__Lãi vay phải thu,numeric__Lãi vay phải trả,numeric__Lãi vay đã trả,numeric__Lãi vay đã thu
,,,,-,(31.173.161.398),73.498.297.365,-,,,-31173161398.0,73498297365.0,
Công ty Xavinco,Công ty Xavinco,Công ty Xavinco,Công ty con,41.707.573.404,(120.865.839.874),184.798.473.594,(134.904.062.575),,41707573404.0,-120865839874.0,184798473594.0,-134904062575.0
Công ty Tân Liên Phát,Công ty Tân Liên Phát,Công ty Tân Liên Phát,Công ty con,975.093.481.497,(421.550.881.494),369.557.500.000,(549.583.509.317),,975093481497.0,-421550881494.0,369557500000.0,-549583509317.0
Công ty Vincom Retail,Công ty Vincom Retail,Công ty Vincom Retail,Công ty con,130.787.026.749,-,-,(154.295.575.559),,130787026749.0,,,-154295575559.0
Công ty Nam Hà Nội,Công ty Nam Hà Nội,Công ty Nam Hà Nội,Công ty con,72.642.845.162,-,-,(44.333.609.054),,72642845162.0,,,-44333609054.0
Công ty Vinpearlland,Công ty Vinpearlland,Công ty Vinpearlland,Công ty con,425.238.596.899,-,-,(485.041.221.894),,425238596899.0,,,-485041221894.0
Công ty Hoàng Gia,Công ty Hoàng Gia,Công ty Hoàng Gia,Công ty con,214.213.027.779,-,-,(210.888.888.865),,214213027779.0,,,-210888888865.0
Công ty Vincom Retail Miền Bắc,Công ty Vincom Retail Miền Bắc,Công ty Vincom Retail Miền Bắc,Công ty con,,,,,,,,,
