row_label_raw,row_label_full,col_0,2021,2021_1,2021_2,2020,2020_1,2020_2,numeric__2021,numeric__2021_1,numeric__2021_2,numeric__2020,numeric__2020_1,numeric__2020_2
,,,Tỷ lệ sở hữu %,Giá gốc VND,Dự phòng VND,Tỷ lệ sở hữu %,Giá gốc VND,Dự phòng VND,,,,,,
i. Đầu tư vào công ty con (*),i. Đầu tư vào công ty con (*),i. Đầu tư vào công ty con (*),i. Đầu tư vào công ty con (*),i. Đầu tư vào công ty con (*),i. Đầu tư vào công ty con (*),i. Đầu tư vào công ty con (*),i. Đầu tư vào công ty con (*),i. Đầu tư vào công ty con (*),,,,,,
Công ty TNHH Galaxy Pay,i. Đầu tư vào công ty con (*) > Công ty TNHH Galaxy Pay,Công ty TNHH Galaxy Pay,100,50.000.000.000,-,100,50.000.000.000,-,100.0,50000000000.0,,100.0,50000000000.0,
Công ty Cổ phần Swift 247 (i),i. Đầu tư vào công ty con (*) > Công ty Cổ phần Swift 247 (i),Công ty Cổ phần Swift 247 (i),67,31.500.000.000,-,-,-,-,67.0,31500000000.0,,,,
Công ty Cổ phần VietjetAir Cargo (i),i. Đầu tư vào công ty con (*) > Công ty Cổ phần VietjetAir Cargo (i),Công ty Cổ phần VietjetAir Cargo (i),-,-,-,90,9.000.000.000,-,,,,90.0,9000000000.0,
Vietjet Air IVB No. I Limited (ii),i. Đầu tư vào công ty con (*) > Vietjet Air IVB No. I Limited (ii),Vietjet Air IVB No. I Limited (ii),100,-,-,100,-,-,100.0,,,100.0,,
Vietjet Air IVB No. II Limited (ii),i. Đầu tư vào công ty con (*) > Vietjet Air IVB No. II Limited (ii),Vietjet Air IVB No. II Limited (ii),100,-,-,100,-,-,100.0,,,100.0,,
Vietjet Air Singapore Pte.Ltd.(ii),i. Đầu tư vào công ty con (*) > Vietjet Air Singapore Pte.Ltd.(ii),Vietjet Air Singapore Pte.Ltd.(ii),100,-,-,100,-,-,100.0,,,100.0,,
Vietjet Air Ireland No. 1 Limited (ii),i. Đầu tư vào công ty con (*) > Vietjet Air Ireland No. 1 Limited (ii),Vietjet Air Ireland No. 1 Limited (ii),100,-,-,100,-,-,100.0,,,100.0,,
Công ty TNHH MTV Phục vụ mặt đất Vietjet (iii),i. Đầu tư vào công ty con (*) > Công ty TNHH MTV Phục vụ mặt đất Vietjet (iii),Công ty TNHH MTV Phục vụ mặt đất Vietjet (iii),100,-,-,100,-,-,100.0,,,100.0,,
,,,,81.500.000.000,-,,59.000.000.000,-,,81500000000.0,,,59000000000.0,
ii. Đầu tư vào công ty liên kết (*),ii. Đầu tư vào công ty liên kết (*),ii. Đầu tư vào công ty liên kết (*),ii. Đầu tư vào công ty liên kết (*),ii. Đầu tư vào công ty liên kết (*),ii. Đầu tư vào công ty liên kết (*),ii. Đầu tư vào công ty liên kết (*),ii. Đầu tư vào công ty liên kết (*),ii. Đầu tư vào công ty liên kết (*),,,,,,
"Thai Vietjet Air Joint Stock Co., Ltd. (ii) (iv)","ii. Đầu tư vào công ty liên kết (*) > Thai Vietjet Air Joint Stock Co., Ltd. (ii) (iv)","Thai Vietjet Air Joint Stock Co., Ltd. (ii) (iv)",9,-,-,9,-,-,9.0,,,9.0,,
Công ty Cổ phần Nhà ga Quốc tế Cam Ranh,ii. Đầu tư vào công ty liên kết (*) > Công ty Cổ phần Nhà ga Quốc tế Cam Ranh,Công ty Cổ phần Nhà ga Quốc tế Cam Ranh,10,60.000.000.000,(60.000.000.000),10,60.000.000.000,(17.729.140.292),10.0,60000000000.0,-60000000000.0,10.0,60000000000.0,-17729140292.0
,,,,60.000.000.000,(60.000.000.000),,60.000.000.000,(17.729.140.292),,60000000000.0,-60000000000.0,,60000000000.0,-17729140292.0
iii. Đầu tư góp vốn vào đơn vị khác (**),iii. Đầu tư góp vốn vào đơn vị khác (**),iii. Đầu tư góp vốn vào đơn vị khác (**),iii. Đầu tư góp vốn vào đơn vị khác (**),iii. Đầu tư góp vốn vào đơn vị khác (**),iii. Đầu tư góp vốn vào đơn vị khác (**),iii. Đầu tư góp vốn vào đơn vị khác (**),iii. Đầu tư góp vốn vào đơn vị khác (**),iii. Đầu tư góp vốn vào đơn vị khác (**),,,,,,
Công ty Cổ phần Phục vụ Mặt đất Sài Gòn,iii. Đầu tư góp vốn vào đơn vị khác (**) > Công ty Cổ phần Phục vụ Mặt đất Sài Gòn,Công ty Cổ phần Phục vụ Mặt đất Sài Gòn,"9,1",149.417.024.400,-,"9,1",149.417.024.400,-,9.1,149417024400.0,,9.1,149417024400.0,
