row_label_raw,row_label_full,col_0,Tại ngày 1.1.2021VND,Tại ngày 1.1.2021VND_1,TăngVND,GiảmVND,GiảmVND_1,Đánh giá lạiVND,Tại ngày 31.12.2021VND,numeric__Tại ngày 1.1.2021VND,numeric__Tại ngày 1.1.2021VND_1,numeric__TăngVND,numeric__GiảmVND,numeric__GiảmVND_1,numeric__Đánh giá lạiVND,numeric__Tại ngày 31.12.2021VND
Vay ngân hàng (i),Vay ngân hàng (i),Vay ngân hàng (i),3.059.895.419.856,3.059.895.419.856,-,(1.692.122.680.000),(1.692.122.680.000),(17.490.813.088),1.350.281.926.768,3059895419856.0,3059895419856.0,,-1692122680000.0,-1692122680000.0,-17490813088.0,1350281926768.0
Trái phiếu thường (ii),Trái phiếu thường (ii),Trái phiếu thường (ii),910.700.000.000,910.700.000.000,7.462.390.000.000,-,-,-,8.373.090.000.000,910700000000.0,910700000000.0,7462390000000.0,,,,8373090000000.0
Vay dài hạn đến hạn trả,Vay dài hạn đến hạn trả,Vay dài hạn đến hạn trả,(2.623.554.910.000),(2.623.554.910.000),(662.293.939.858),1.692.122.680.000,1.692.122.680.000,10.595.689.858,(1.583.130.480.000),-2623554910000.0,-2623554910000.0,-662293939858.0,1692122680000.0,1692122680000.0,10595689858.0,-1583130480000.0
,,,1.347.040.509.856,1.347.040.509.856,6.800.096.060.142,-,-,(6.895.123.230),8.140.241.446.768,1347040509856.0,1347040509856.0,6800096060142.0,,,-6895123230.0,8140241446768.0
(i) Vay ngân hàngChi tiết các khoản vay ngân hàng dài hạn như sau:,(i) Vay ngân hàngChi tiết các khoản vay ngân hàng dài hạn như sau:,(i) Vay ngân hàngChi tiết các khoản vay ngân hàng dài hạn như sau:,(i) Vay ngân hàngChi tiết các khoản vay ngân hàng dài hạn như sau:,(i) Vay ngân hàngChi tiết các khoản vay ngân hàng dài hạn như sau:,(i) Vay ngân hàngChi tiết các khoản vay ngân hàng dài hạn như sau:,(i) Vay ngân hàngChi tiết các khoản vay ngân hàng dài hạn như sau:,(i) Vay ngân hàngChi tiết các khoản vay ngân hàng dài hạn như sau:,(i) Vay ngân hàngChi tiết các khoản vay ngân hàng dài hạn như sau:,(i) Vay ngân hàngChi tiết các khoản vay ngân hàng dài hạn như sau:,,,,,,,
,,,,,Tại ngày 31.12.2021,Tại ngày 31.12.2021,Tại ngày 31.12.2021,Tại ngày 31.12.2020,Tại ngày 31.12.2020,,,,,,,
Bên cho vay,Bên cho vay,Bên cho vay,Loạitiền,Thời gian đáo hạn,Vay dài hạnđến hạn trảVND,Vay dài đạnVND,Vay dài đạnVND,Vay dài hạnđến hạn trảVND,Vay dài đạnVND,,,,,,,
Woori Bank - Singapore Branch (*),Bên cho vay > Woori Bank - Singapore Branch (*),Woori Bank - Singapore Branch (*),USD,Tháng 12 năm 2022,375.054.537.120,-,-,1.044.675.000.000,-,,,375054537120.0,,,1044675000000.0,
Industrial and Commercial Bank of ChinaLimited - Hong Kong Branch (*),Bên cho vay > Industrial and Commercial Bank of ChinaLimited - Hong Kong Branch (*),Industrial and Commercial Bank of ChinaLimited - Hong Kong Branch (*),USD,Tháng 12 năm 2022,375.054.537.120,-,-,1.044.675.000.000,-,,,375054537120.0,,,1044675000000.0,
KEB Hana Bank - Hong Kong Branch (*),Bên cho vay > KEB Hana Bank - Hong Kong Branch (*),KEB Hana Bank - Hong Kong Branch (*),USD,Tháng 12 năm 2022,166.690.925.760,-,-,464.300.000.000,-,,,166690925760.0,,,464300000000.0,
Ngân hàng TMCP Quân đội (**),Bên cho vay > Ngân hàng TMCP Quân đội (**),Ngân hàng TMCP Quân đội (**),USD,Tháng 6 năm 2028,74.909.280.000,358.572.646.768,358.572.646.768,69.904.910.000,436.340.509.856,,,74909280000.0,358572646768.0,358572646768.0,69904910000.0,436340509856.0
,,,,,991.709.280.000,358.572.646.768,358.572.646.768,2.623.554.910.000,436.340.509.856,,,991709280000.0,358572646768.0,358572646768.0,2623554910000.0,436340509856.0
