row_label_raw,row_label_full,Các khoản đầu tư tài chính,Các khoản đầu tư tài chính_1,Các khoản đầu tư tài chính_2,Các khoản đầu tư tài chính_3,Các khoản đầu tư tài chính_4,Các khoản đầu tư tài chính_5,Các khoản đầu tư tài chính_6,numeric__Các khoản đầu tư tài chính_1,numeric__Các khoản đầu tư tài chính_2,numeric__Các khoản đầu tư tài chính_3,numeric__Các khoản đầu tư tài chính_4,numeric__Các khoản đầu tư tài chính_5,numeric__Các khoản đầu tư tài chính_6
a. Chứng khoán kinh doanh,a. Chứng khoán kinh doanh,a. Chứng khoán kinh doanh,31/12/2024,31/12/2024,31/12/2024,01/01/2024,01/01/2024,01/01/2024,,,,,,
a. Chứng khoán kinh doanh,a. Chứng khoán kinh doanh,a. Chứng khoán kinh doanh,Giá gốc,Giá trị hợp lý,Dự phòng,Giá gốc,Giá trị hợp lý,Dự phòng,,,,,,
Cổ phiếu Ngân hàng TMCP Công Thương Việt Nam (CTG),a. Chứng khoán kinh doanh > Cổ phiếu Ngân hàng TMCP Công Thương Việt Nam (CTG),Cổ phiếu Ngân hàng TMCP Công Thương Việt Nam (CTG),2.863.432,2.863.432,-,2.863.432,2.863.432,-,2863432.0,2863432.0,,2863432.0,2863432.0,
Cộng,a. Chứng khoán kinh doanh > Cộng,Cộng,2.863.432,2.863.432,-,2.863.432,2.863.432,-,2863432.0,2863432.0,,2863432.0,2863432.0,
b. Đầu tư nắm giữ đến ngày đáo hạn,b. Đầu tư nắm giữ đến ngày đáo hạn,b. Đầu tư nắm giữ đến ngày đáo hạn,,,31/12/2024,31/12/2024,01/01/2024,01/01/2024,,,,,,
b. Đầu tư nắm giữ đến ngày đáo hạn,b. Đầu tư nắm giữ đến ngày đáo hạn,b. Đầu tư nắm giữ đến ngày đáo hạn,,,Giá gốc,Giá trị ghi sổ,Giá gốc,Giá trị ghi sổ,,,,,,
b1. Ngân hạn,b. Đầu tư nắm giữ đến ngày đáo hạn > b1. Ngân hạn,b1. Ngân hạn,,,98.359.890.579,98.359.890.579,18.112.285.000,18.112.285.000,,,98359890579.0,98359890579.0,18112285000.0,18112285000.0
Tiền gửi có kỳ hạn còn lại trên 3 tháng đến 12 tháng (*),b. Đầu tư nắm giữ đến ngày đáo hạn > Tiền gửi có kỳ hạn còn lại trên 3 tháng đến 12 tháng (*),Tiền gửi có kỳ hạn còn lại trên 3 tháng đến 12 tháng (*),,,98.359.890.579,98.359.890.579,18.112.285.000,18.112.285.000,,,98359890579.0,98359890579.0,18112285000.0,18112285000.0
b2. Dài hạn,b. Đầu tư nắm giữ đến ngày đáo hạn > b2. Dài hạn,b2. Dài hạn,,,800.000.000,800.000.000,6.063.617.200,6.063.617.200,,,800000000.0,800000000.0,6063617200.0,6063617200.0
Tiền gửi có kỳ hạn còn lại trên 12 tháng (**),b. Đầu tư nắm giữ đến ngày đáo hạn > Tiền gửi có kỳ hạn còn lại trên 12 tháng (**),Tiền gửi có kỳ hạn còn lại trên 12 tháng (**),,,800.000.000,800.000.000,6.063.617.200,6.063.617.200,,,800000000.0,800000000.0,6063617200.0,6063617200.0
Cộng,b. Đầu tư nắm giữ đến ngày đáo hạn > Cộng,Cộng,,,99.159.890.579,99.159.890.579,24.175.902.200,24.175.902.200,,,99159890579.0,99159890579.0,24175902200.0,24175902200.0
