row_label_raw,row_label_full,STT,Loại phải thu khó đòi phải lập dự phòng,Giá trị phải thu khó đòi,Số cuối năm > Tham chiếu,Số cuối năm > Số đầu năm,Số cuối năm > Số trích lập trong năm,Số cuối năm > Số hoàn nhập trong năm,Số cuối năm,Số đầu năm,numeric__Loại phải thu khó đòi phải lập dự phòng,numeric__Giá trị phải thu khó đòi,numeric__Số cuối năm > Tham chiếu,numeric__Số cuối năm > Số đầu năm,numeric__Số cuối năm > Số trích lập trong năm,numeric__Số cuối năm > Số hoàn nhập trong năm,numeric__Số cuối năm,numeric__Số đầu năm
1,1,1,Dự phòng khó đòi phải thu bán các tài sản tài chính,,,,,,,,,,,,,,,
2,2,2,"Dự phòng khó đòi phải thu và dự thu cổ tức, tiền lãi đến hạn",,,,,,,,,,,,,,,
3,3,3,Dự phòng nợ phải thu các khoản đầu tư đáo hạn,,,,,,,,,,,,,,,
4,3 > 4,4,Dự phòng nợ phải thu khác khó đòi,122.100.000,,50.600.000,28.050.000,,78.650.000,50.600.000,,122100000.0,,50600000.0,28050000.0,,78650000.0,50600000.0
,,,Công ty Cổ phần Lisemco,71.500.000,,35.750.000,14.300.000,,50.050.000,35.750.000,,71500000.0,,35750000.0,14300000.0,,50050000.0,35750000.0
,,,Công ty cổ phần Máy Phú Thành,13.200.000,,6.600.000,2.640.000,,9.240.000,6.600.000,,13200000.0,,6600000.0,2640000.0,,9240000.0,6600000.0
,,,Công ty Cổ phần Thông Quảng Ninh,7.700.000,,,3.850.000,,3.850.000,,,7700000.0,,,3850000.0,,3850000.0,
,,,Công ty Cổ phần Tập đoàn Đầu tư EDX,16.500.000,,8.250.000,3.300.000,,11.550.000,8.250.000,,16500000.0,,8250000.0,3300000.0,,11550000.0,8250000.0
,,,Công ty cổ phần Thương mại Hà Tây,13.200.000,,,3.960.000,,3.960.000,,,13200000.0,,,3960000.0,,3960000.0,
,,,Cộng,122.100.000,,50.600.000,28.050.000,,78.650.000,50.600.000,,122100000.0,,50600000.0,28050000.0,,78650000.0,50600000.0
