row_label_raw,row_label_full,col_0,Số cuối năm,Đơn vị tính: VND > Số đầu năm,numeric__Số cuối năm,numeric__Đơn vị tính: VND > Số đầu năm
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,
Tổng Công ty Xây dựng Hà Nội – CTCP (*),Ngắn hạn > Tổng Công ty Xây dựng Hà Nội – CTCP (*),Tổng Công ty Xây dựng Hà Nội – CTCP (*),70.805.469.057,-,70805469057.0,
Công ty Cổ phần Du lịch Sài Gòn,Ngắn hạn > Công ty Cổ phần Du lịch Sài Gòn,Công ty Cổ phần Du lịch Sài Gòn,500.000.000,500.000.000,500000000.0,500000000.0
TỔNG CỘNG,Ngắn hạn > TỔNG CỘNG,TỔNG CỘNG,71.305.469.057,500.000.000,71305469057.0,500000000.0
Dự phòng phải thu khác về cho vay khó đòi,Ngắn hạn > Dự phòng phải thu khác về cho vay khó đòi,Dự phòng phải thu khác về cho vay khó đòi,(500.000.000),(500.000.000),-500000000.0,-500000000.0
Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,,
Ban quản lý dự án xây dựng thành phố Bắc Ninh (UBND thành phố Bắc Ninh),Dài hạn > Ban quản lý dự án xây dựng thành phố Bắc Ninh (UBND thành phố Bắc Ninh),Ban quản lý dự án xây dựng thành phố Bắc Ninh (UBND thành phố Bắc Ninh),700.000.000,700.000.000,700000000.0,700000000.0
Công ty Cổ phần Khu Công nghiệp Sài Gòn - Tây Ninh,Dài hạn > Công ty Cổ phần Khu Công nghiệp Sài Gòn - Tây Ninh,Công ty Cổ phần Khu Công nghiệp Sài Gòn - Tây Ninh,300.000.000,300.000.000,300000000.0,300000000.0
Phải thu từ các bên liên quan(Thuyết minh số 29),Dài hạn > Phải thu từ các bên liên quan(Thuyết minh số 29),Phải thu từ các bên liên quan(Thuyết minh số 29),400.000.000.000,4.000.000.000,400000000000.0,4000000000.0
TỔNG CỘNG,Dài hạn > TỔNG CỘNG,TỔNG CỘNG,401.000.000.000,5.000.000.000,401000000000.0,5000000000.0
