row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2025,Ghi nhận giá trị hợp lý thông qua kết quả hoạt động,Giữ đến ngày đáo hạn,Cho vay và phải thu,Sẵn sàng để bán,Hạch toán theo giá trị phân bổ,Tổng cộng giá trị ghi sổ,Giá trị hợp lý,numeric__Ghi nhận giá trị hợp lý thông qua kết quả hoạt động,numeric__Giữ đến ngày đáo hạn,numeric__Cho vay và phải thu,numeric__Sẵn sàng để bán,numeric__Hạch toán theo giá trị phân bổ,numeric__Tổng cộng giá trị ghi sổ,numeric__Giá trị hợp lý
Các tài sản tài chính,Các tài sản tài chính,Các tài sản tài chính,Các tài sản tài chính,Các tài sản tài chính,Các tài sản tài chính,Các tài sản tài chính,Các tài sản tài chính,Các tài sản tài chính,Các tài sản tài chính,,,,,,,
Tiền mặt và vàng,Các tài sản tài chính > Tiền mặt và vàng,Tiền mặt và vàng,-,-,3.552.574,-,-,3.552.574,3.552.574,,,3552574.0,,,3552574.0,3552574.0
Tiền gửi tại NHNN,Các tài sản tài chính > Tiền gửi tại NHNN,Tiền gửi tại NHNN,-,-,8.998.068,-,-,8.998.068,8.998.068,,,8998068.0,,,8998068.0,8998068.0
Tiền gửi và cho vay các TCTD khác - thuần,Các tài sản tài chính > Tiền gửi và cho vay các TCTD khác - thuần,Tiền gửi và cho vay các TCTD khác - thuần,-,-,104.411.120,-,-,104.411.120,(*),,,104411120.0,,,104411120.0,
Cho vay khách hàng - thuần,Các tài sản tài chính > Cho vay khách hàng - thuần,Cho vay khách hàng - thuần,-,-,377.113.195,-,-,377.113.195,(*),,,377113195.0,,,377113195.0,
Hoạt động mua nợ - thuần,Các tài sản tài chính > Hoạt động mua nợ - thuần,Hoạt động mua nợ - thuần,-,-,4.332,-,-,4.332,(*),,,4332.0,,,4332.0,
Chứng khoán đầu tư - thuần,Các tài sản tài chính > Chứng khoán đầu tư - thuần,Chứng khoán đầu tư - thuần,-,-,-,51.149.531,-,51.149.531,(*),,,,51149531.0,,51149531.0,
"Góp vốn, đầu tư dài hạn - thuần","Các tài sản tài chính > Góp vốn, đầu tư dài hạn - thuần","Góp vốn, đầu tư dài hạn - thuần",-,-,-,69.457,-,69.457,(*),,,,69457.0,,69457.0,
Tài sản tài chính khác,Các tài sản tài chính > Tài sản tài chính khác,Tài sản tài chính khác,-,-,6.565.296,-,-,6.565.296,(*),,,6565296.0,,,6565296.0,
,,,-,-,500.644.585,51.218.988,-,551.863.573,,,,500644585.0,51218988.0,,551863573.0,
Các công nợ tài chính,Các công nợ tài chính,Các công nợ tài chính,Các công nợ tài chính,Các công nợ tài chính,Các công nợ tài chính,Các công nợ tài chính,Các công nợ tài chính,Các công nợ tài chính,Các công nợ tài chính,,,,,,,
Nợ phải trả Chính phủ và NHNN,Các công nợ tài chính > Nợ phải trả Chính phủ và NHNN,Nợ phải trả Chính phủ và NHNN,-,-,-,-,10.980.813,10.980.813,(*),,,,,10980813.0,10980813.0,
Tiền gửi và vay các TCTD khác,Các công nợ tài chính > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,-,-,-,-,157.508.961,157.508.961,(*),,,,,157508961.0,157508961.0,
Tiền gửi của khách hàng,Các công nợ tài chính > Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,-,-,-,294.577.661,294.577.661,(*),,,,,294577661.0,294577661.0,
Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,Các công nợ tài chính > Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,105.602,-,-,-,-,105.602,(*),105602.0,,,,,105602.0,
"Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Các công nợ tài chính > Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro",-,-,-,-,3.306,3.306,(*),,,,,3306.0,3306.0,
Phát hành giấy tờ có giá,Các công nợ tài chính > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,-,-,-,-,35.070.700,35.070.700,(*),,,,,35070700.0,35070700.0,
Các khoản nợ tài chính khác,Các công nợ tài chính > Các khoản nợ tài chính khác,Các khoản nợ tài chính khác,-,-,-,-,9.171.544,9.171.544,(*),,,,,9171544.0,9171544.0,
,,,105.602,-,-,-,507.312.985,507.418.587,,105602.0,,,,507312985.0,507418587.0,
