row_label_raw,row_label_full,col_0,Vốn góp của chủ sở hữu,Thặng dư vốn cổ phần,Cổ phiếu quỹ,Quỹ đầu tư phát triển,Lợi nhuận sau thuế chưa phân phối,Tổng cộng,numeric__Vốn góp của chủ sở hữu,numeric__Thặng dư vốn cổ phần,numeric__Cổ phiếu quỹ,numeric__Quỹ đầu tư phát triển,numeric__Lợi nhuận sau thuế chưa phân phối,numeric__Tổng cộng
,,,VND,VND,VND,VND,VND,VND,,,,,,
Số dư đầu năm trước,Số dư đầu năm trước,Số dư đầu năm trước,3.914.000.000.000,21.179.913.858,(2.296.824.120),3.444.814.857.841,749.420.328.153,8.127.118.275.732,3914000000000.0,21179913858.0,-2296824120.0,3444814857841.0,749420328153.0,8127118275732.0
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,-,-,3.030.399.711.796,3.030.399.711.796,,,,,3030399711796.0,3030399711796.0
"Trích Quỹ khen thưởng, phúc lợi","Trích Quỹ khen thưởng, phúc lợi","Trích Quỹ khen thưởng, phúc lợi",-,-,-,-,(106.901.555.547),(106.901.555.547),,,,,-106901555547.0,-106901555547.0
Trả cổ tức bằng tiền,Trả cổ tức bằng tiền,Trả cổ tức bằng tiền,-,-,-,-,(547.867.964.000),(547.867.964.000),,,,,-547867964000.0,-547867964000.0
Số dư cuối năm trước,Số dư cuối năm trước,Số dư cuối năm trước,3.914.000.000.000,21.179.913.858,(2.296.824.120),3.444.814.857.841,3.125.050.520.402,10.502.748.467.981,3914000000000.0,21179913858.0,-2296824120.0,3444814857841.0,3125050520402.0,10502748467981.0
Số dư đầu năm nay,Số dư đầu năm nay,Số dư đầu năm nay,3.914.000.000.000,21.179.913.858,(2.296.824.120),3.444.814.857.841,3.125.050.520.402,10.502.748.467.981,3914000000000.0,21179913858.0,-2296824120.0,3444814857841.0,3125050520402.0,10502748467981.0
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,-,-,5.510.697.587.553,5.510.697.587.553,,,,,5510697587553.0,5510697587553.0
"Trích Quỹ khen thưởng, phúc lợi (i)","Trích Quỹ khen thưởng, phúc lợi (i)","Trích Quỹ khen thưởng, phúc lợi (i)",-,-,-,-,(278.032.088.000),(278.032.088.000),,,,,-278032088000.0,-278032088000.0
Trả cổ tức bằng tiền (ii),Trả cổ tức bằng tiền (ii),Trả cổ tức bằng tiền (ii),-,-,-,-,(1.956.671.300.000),(1.956.671.300.000),,,,,-1956671300000.0,-1956671300000.0
Số dư cuối năm nay,Số dư cuối năm nay,Số dư cuối năm nay,3.914.000.000.000,21.179.913.858,(2.296.824.120),3.444.814.857.841,6.401.044.719.955,13.778.742.667.534,3914000000000.0,21179913858.0,-2296824120.0,3444814857841.0,6401044719955.0,13778742667534.0
