row_label_raw,row_label_full,col_0,Quyền sử dụng đất VND,Phần mềm VND,Tổng cộng VND,numeric__Quyền sử dụng đất VND,numeric__Phần mềm VND,numeric__Tổng cộng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,
Tại ngày 1 tháng 1 năm 2019,Nguyên giá > Tại ngày 1 tháng 1 năm 2019,Tại ngày 1 tháng 1 năm 2019,459.177.157.290,40.760.250.583,499.937.407.873,459177157290.0,40760250583.0,499937407873.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,-,11.086.208.535,11.086.208.535,,11086208535.0,11086208535.0
Chuyển từ chi phí xây dựng cơ bản dở dang (Thuyết minh 10),Nguyên giá > Chuyển từ chi phí xây dựng cơ bản dở dang (Thuyết minh 10),Chuyển từ chi phí xây dựng cơ bản dở dang (Thuyết minh 10),83.510.429.449,71.765.000.000,155.275.429.449,83510429449.0,71765000000.0,155275429449.0
Tại ngày 31 tháng 12 năm 2019,Nguyên giá > Tại ngày 31 tháng 12 năm 2019,Tại ngày 31 tháng 12 năm 2019,542.687.586.739,123.611.459.118,666.299.045.857,542687586739.0,123611459118.0,666299045857.0
Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,,,
Tại ngày 1 tháng 1 năm 2019,Giá trị khấu hao lũy kế > Tại ngày 1 tháng 1 năm 2019,Tại ngày 1 tháng 1 năm 2019,-,6.610.702.975,6.610.702.975,,6610702975.0,6610702975.0
Khấu hao trong năm,Giá trị khấu hao lũy kế > Khấu hao trong năm,Khấu hao trong năm,-,12.633.038.980,12.633.038.980,,12633038980.0,12633038980.0
Tại ngày 31 tháng 12 năm 2019,Giá trị khấu hao lũy kế > Tại ngày 31 tháng 12 năm 2019,Tại ngày 31 tháng 12 năm 2019,-,19.243.741.955,19.243.741.955,,19243741955.0,19243741955.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,
Tại ngày 1 tháng 1 năm 2019,Giá trị còn lại > Tại ngày 1 tháng 1 năm 2019,Tại ngày 1 tháng 1 năm 2019,459.177.157.290,34.149.547.608,493.326.704.898,459177157290.0,34149547608.0,493326704898.0
Tại ngày 31 tháng 12 năm 2019,Giá trị còn lại > Tại ngày 31 tháng 12 năm 2019,Tại ngày 31 tháng 12 năm 2019,542.687.586.739,104.367.717.163,647.055.303.902,542687586739.0,104367717163.0,647055303902.0
