row_label_raw,row_label_full,col_0,Quyền sử dụng đất,Phần mềm máy tính,Đơn vị tính: VND Tổng cộng,numeric__Quyền sử dụng đất,numeric__Phần mềm máy tính,numeric__Đơn vị tính: VND Tổng cộng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,3.689.239.600,240.000.000,3.929.239.600,3689239600.0,240000000.0,3929239600.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,-,1.010.168.000,1.010.168.000,,1010168000.0,1010168000.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,3.689.239.600,1.250.168.000,4.939.407.600,3689239600.0,1250168000.0,4939407600.0
Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,,,
Số dư đầu năm,Giá trị hao mòn luỹ kế > Số dư đầu năm,Số dư đầu năm,262.802.912,13.440.859,276.243.771,262802912.0,13440859.0,276243771.0
Khấu hao trong năm,Giá trị hao mòn luỹ kế > Khấu hao trong năm,Khấu hao trong năm,16.425.180,80.732.578,97.157.758,16425180.0,80732578.0,97157758.0
Số dư cuối năm,Giá trị hao mòn luỹ kế > Số dư cuối năm,Số dư cuối năm,279.228.092,94.173.437,373.401.529,279228092.0,94173437.0,373401529.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,
Tại ngày đầu năm,Giá trị còn lại > Tại ngày đầu năm,Tại ngày đầu năm,3.426.436.688,226.559.141,3.652.995.829,3426436688.0,226559141.0,3652995829.0
Tại ngày cuối năm,Giá trị còn lại > Tại ngày cuối năm,Tại ngày cuối năm,3.410.011.508,1.155.994.563,4.566.006.071,3410011508.0,1155994563.0,4566006071.0
