row_label_raw,row_label_full,col_0,Giế trịphải thu khó đốicuối năm,Số dự phòngđầu năm,Số trích lậptrong năm,Số hoànnhập/xử lý nợtrong năm,Số dự phòngcuối năm,Đơn vị tính: VNDGiế trịphải thu khó đốidầu năm,numeric__Giế trịphải thu khó đốicuối năm,numeric__Số dự phòngđầu năm,numeric__Số trích lậptrong năm,numeric__Số hoànnhập/xử lý nợtrong năm,numeric__Số dự phòngcuối năm,numeric__Đơn vị tính: VNDGiế trịphải thu khó đốidầu năm
Dư phòng phải thu bán các tài sản tài chính khó đồi,Dư phòng phải thu bán các tài sản tài chính khó đồi,Dư phòng phải thu bán các tài sản tài chính khó đồi,290.268.582.666,296.897.416.150,-,(6.628.833.484),290.268.582.666,296.897.416.150,290268582666.0,296897416150.0,,-6628833484.0,290268582666.0,296897416150.0
- Công ty TNHH TMXD Phúc Bảo Minh,- Công ty TNHH TMXD Phúc Bảo Minh,- Công ty TNHH TMXD Phúc Bảo Minh,290.268.582.666,296.897.416.150,-,(6.628.833.484),290.268.582.666,296.897.416.150,290268582666.0,296897416150.0,,-6628833484.0,290268582666.0,296897416150.0
Phải thu các dịch vụ công ty chủng khoán cung cấpkhó đồi,Phải thu các dịch vụ công ty chủng khoán cung cấpkhó đồi,Phải thu các dịch vụ công ty chủng khoán cung cấpkhó đồi,11.232.959.417,10.987.959.417,120.000.000,-,11.107.959.417,10.992.959.417,11232959417.0,10987959417.0,120000000.0,,11107959417.0,10992959417.0
- Công ty Cổ phần bệnh viện Hữu Nghị Đa KhoaNghệ An,- Công ty Cổ phần bệnh viện Hữu Nghị Đa KhoaNghệ An,- Công ty Cổ phần bệnh viện Hữu Nghị Đa KhoaNghệ An,10.000.000,5.000.000,-,-,5.000.000,10.000.000,10000000.0,5000000.0,,,5000000.0,10000000.0
- Công ty cổ phần tập đoàn Dabaco Việt Nam(DBC),- Công ty cổ phần tập đoàn Dabaco Việt Nam(DBC),- Công ty cổ phần tập đoàn Dabaco Việt Nam(DBC),240.000.000,-,120.000.000,-,120.000.000,-,240000000.0,,120000000.0,,120000000.0,
- Phải thu glao dịch ký quỹ quá hạn - khách hàngcá nhân,- Phải thu glao dịch ký quỹ quá hạn - khách hàngcá nhân,- Phải thu glao dịch ký quỹ quá hạn - khách hàngcá nhân,10.982.959.417,10.982.959.417,-,-,10.982.959.417,10.982.959.417,10982959417.0,10982959417.0,,,10982959417.0,10982959417.0
Phải thu khác khó đồi,Phải thu khác khó đồi,Phải thu khác khó đồi,-,388.517.477,-,(388.517.477),-,388.517.477,,388517477.0,,-388517477.0,,388517477.0
- Tiến bán tài sản,- Tiến bán tài sản,- Tiến bán tài sản,-,309.521.422,-,(309.521.422),-,309.521.422,,309521422.0,,-309521422.0,,309521422.0
- Phải thu khác,- Phải thu khác,- Phải thu khác,-,78.996.055,-,(78.996.055),-,78.996.055,,78996055.0,,-78996055.0,,78996055.0
Tổng cộng,Tổng cộng,Tổng cộng,301.501.542.083,308.273.893.044,120.000.000,(7.017.350.961),301.376.542.083,308.278.893.044,301501542083.0,308273893044.0,120000000.0,-7017350961.0,301376542083.0,308278893044.0
