row_label_raw,row_label_full,col_0,col_1,"Nơi thành lập, đăng ký hoạt động",Lĩnh vực kinh doanh,Tỷ lệ sở hữu theo vốn điều lệ (%),Tỷ lệ sở hữu theo vốn điều lệ (%)_1,Tỷ lệ quyền biểu quyết (%),Tỷ lệ quyền biểu quyết (%)_1,numeric__col_1,"numeric__Nơi thành lập, đăng ký hoạt động",numeric__Lĩnh vực kinh doanh,numeric__Tỷ lệ sở hữu theo vốn điều lệ (%),numeric__Tỷ lệ sở hữu theo vốn điều lệ (%)_1,numeric__Tỷ lệ quyền biểu quyết (%),numeric__Tỷ lệ quyền biểu quyết (%)_1
,,,,"Nơi thành lập, đăng ký hoạt động",Lĩnh vực kinh doanh,Số cuối năm,Số đầu năm,Số cuối năm,Số đầu năm,,,,,,,
a),a),a),Công ty con trực tiếp,Công ty con trực tiếp,Công ty con trực tiếp,Công ty con trực tiếp,Công ty con trực tiếp,Công ty con trực tiếp,Công ty con trực tiếp,,,,,,,
1.,a) > 1.,1.,Công ty Cổ phần Thủy điện Gia Lai,Tỉnh Gia Lai,Sản xuất và phân phối điện,"62,53","62,53","62,53","62,53",,,,62.53,62.53,62.53,62.53
2.,a) > 2.,2.,Công ty Cổ phần Điện TTC Đức Huệ - Long An (i),Tỉnh Long An,Sản xuất và phân phối điện,"99,92","99,94","99,92","99,94",,,,99.92,99.94,99.92,99.94
3.,a) > 3.,3.,Công ty Cổ phần Năng lượng Điện gió Tiền Giang (ii),Tỉnh Tiền Giang,Sản xuất và phân phối điện,"54,93","54,92","54,93","54,92",,,,54.93,54.92,54.93,54.92
4.,a) > 4.,4.,Công ty Cổ phần Nhà máy Điện Mặt trời Trúc Sơn,Tỉnh Đắk Nông,Sản xuất và phân phối điện,"99,96","99,96","99,96","99,96",,,,99.96,99.96,99.96,99.96
5.,a) > 5.,5.,Công ty Cổ phần Năng lượng VPL (iii),Tỉnh Bến Tre,Sản xuất và phân phối điện,"88,84","92,39","99,98","99,97",,,,88.84,92.39,99.98,99.97
6.,a) > 6.,6.,Công ty Cổ phần Điện gió la Bang,Tỉnh Gia Lai,Sản xuất và phân phối điện,"84,72","84,72","99,53","99,53",,,,84.72,84.72,99.53,99.53
7.,a) > 7.,7.,Công ty TNHH Một thành viên Thủy điện Thượng Lộ,Tỉnh Thừa Thiên Huế,Sản xuất và phân phối điện,"100,00","100,00","100,00","100,00",,,,100.0,100.0,100.0,100.0
8.,a) > 8.,8.,Công ty Cổ phần Hợp tác Phát triển Năng lượng tái tạo Vi – Ja,Thành phố Hồ Chí Minh,Sản xuất và phân phối điện,"99,00","99,00","99,00","99,00",,,,99.0,99.0,99.0,99.0
9.,a) > 9.,9.,Công ty TNHH MTV Xây lắp và Cơ điện Gia Lai (iv),Tỉnh Gia Lai,Xây dựng các công trình thủy điện vừa và nhỏ; sản xuất bê tông và các sản phẩm từ xỉ măng và thạch cao,-,"100,00",-,"100,00",,,,,100.0,,100.0
10.,a) > 10.,10.,Công ty Cổ phần Năng lượng Tái tạo Tiền Giang (*),Tỉnh Tiền Giang,Sản xuất và phân phối điện,"99,99","99,99","99,99","99,99",,,,99.99,99.99,99.99,99.99
11.,a) > 11.,11.,Công ty TNHH Một thành viên Tư vấn và Phát triển Năng lượng Gia Lai,Tỉnh Gia Lai,Hoạt động kiến trúc và tư vấn kỹ thuật điện có liên quan,"100,00","100,00","100,00","100,00",,,,100.0,100.0,100.0,100.0
12.,a) > 12.,12.,Công ty Cổ phần Năng lượng Xanh Cà Mau (*),Tỉnh Cà Mau,"Sản xuất, truyền tải và phân phối điện","99,93","99,93","99,93","99,93",,,,99.93,99.93,99.93,99.93
13.,a) > 13.,13.,Công ty Cổ phần Năng lượng Tái tạo Tân Thành (*),Tỉnh Tiền Giang,Sản xuất và phân phối điện,"99,90","99,90","99,90","99,90",,,,99.9,99.9,99.9,99.9
14.,a) > 14.,14.,Công ty TNHH Điện Mặt trời Phong Điền (v),Tỉnh Thừa Thiên Huế,"Sản xuất, truyền tải và phân phối điện",-,"100,00",-,"100,00",,,,,100.0,,100.0
