row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2020(Triệu VND),USD,EUR,Tiền tệ khácvà vàng,Tổng cộng,numeric__USD,numeric__EUR,numeric__Tiền tệ khácvà vàng,numeric__Tổng cộng
Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,,,,
"Tiền mặt, vàng","Tài sản > Tiền mặt, vàng","Tiền mặt, vàng",125.655,328.942,538.452,993.049,125655.0,328942.0,538452.0,993049.0
Tiền gửi tại NHNNVN,Tài sản > Tiền gửi tại NHNNVN,Tiền gửi tại NHNNVN,319.068,-,-,319.068,319068.0,,,319068.0
Tiền gửi và cho vay các TCTD khác - gộp,Tài sản > Tiền gửi và cho vay các TCTD khác - gộp,Tiền gửi và cho vay các TCTD khác - gộp,6.366.808,38.371,116.390,6.521.569,6366808.0,38371.0,116390.0,6521569.0
Các công cụ tài chính phải sinh và các tài sản tài chính khác,Tài sản > Các công cụ tài chính phải sinh và các tài sản tài chính khác,Các công cụ tài chính phải sinh và các tài sản tài chính khác,487.588,-,-,487.588,487588.0,,,487588.0
Cho vay khách hàng - gộp,Tài sản > Cho vay khách hàng - gộp,Cho vay khách hàng - gộp,4.379.138,-,-,4.379.138,4379138.0,,,4379138.0
Tài sản Có khác - gộp,Tài sản > Tài sản Có khác - gộp,Tài sản Có khác - gộp,1.792.215,31.167,5.808,1.829.190,1792215.0,31167.0,5808.0,1829190.0
,,,13.470.472,398.480,660.650,14.529.602,13470472.0,398480.0,660650.0,14529602.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,
Nợ phải trả NHNNVN và Chính phủ,Nợ phải trả > Nợ phải trả NHNNVN và Chính phủ,Nợ phải trả NHNNVN và Chính phủ,20.734,-,-,20.734,20734.0,,,20734.0
Tiền gửi và vay các TCTD khác,Nợ phải trả > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,8.931.328,52.536,9.384,8.993.248,8931328.0,52536.0,9384.0,8993248.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,6.067.016,105.136,75.906,6.248.058,6067016.0,105136.0,75906.0,6248058.0
Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,Nợ phải trả > Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,-,242.063,525.459,767.522,,242063.0,525459.0,767522.0
Các khoản nợ khác,Nợ phải trả > Các khoản nợ khác,Các khoản nợ khác,250.542,1.775,17.131,269.448,250542.0,1775.0,17131.0,269448.0
,,,15.269.620,401.510,627.880,16.299.010,15269620.0,401510.0,627880.0,16299010.0
Trạng thái tiền tệ nội bằng,Nợ phải trả > Trạng thái tiền tệ nội bằng,Trạng thái tiền tệ nội bằng,(1.799.148),(3.030),32.770,(1.769.408),-1799148.0,-3030.0,32770.0,-1769408.0
