row_label_raw,row_label_full,Mức rủi ro tín dụng của các tài khoản thuộc Báo cáo tỉnh hình tài chính hợp nhất,Số cuối năm > Mức rủi ro tín dụng của các tài khoản thuộc Báo cáo tỉnh hình tài chính hợp nhất,Số đầu năm > Mức rủi ro tín dụng của các tài khoản thuộc Báo cáo tỉnh hình tài chính hợp nhất,numeric__Số cuối năm > Mức rủi ro tín dụng của các tài khoản thuộc Báo cáo tỉnh hình tài chính hợp nhất,numeric__Số đầu năm > Mức rủi ro tín dụng của các tài khoản thuộc Báo cáo tỉnh hình tài chính hợp nhất
Tiền gửi tại Ngân hàng Nhà nước,Tiền gửi tại Ngân hàng Nhà nước,Tiền gửi tại Ngân hàng Nhà nước,6.134.683,1.347.927,6134683.0,1347927.0
Tiền gửi và cho vay tại các TCTD khác,Tiền gửi và cho vay tại các TCTD khác,Tiền gửi và cho vay tại các TCTD khác,18.373.502,23.777.634,18373502.0,23777634.0
Chứng khoán kinh doanh – gộp,Chứng khoán kinh doanh – gộp,Chứng khoán kinh doanh – gộp,-,144.176,,144176.0
Cho vay khách hàng – gộp,Cho vay khách hàng – gộp,Cho vay khách hàng – gộp,51.783.052,44.702.595,51783052.0,44702595.0
Chứng khoán đầu tư – gộp,Chứng khoán đầu tư – gộp,Chứng khoán đầu tư – gộp,3.384.995,7.590.841,3384995.0,7590841.0
"Các khoản lãi, phí phải thu","Các khoản lãi, phí phải thu","Các khoản lãi, phí phải thu",1.437.931,1.097.493,1437931.0,1097493.0
Các tài sản tài chính khác – gộp,Các tài sản tài chính khác – gộp,Các tài sản tài chính khác – gộp,3.934.649,4.998.898,3934649.0,4998898.0
Cộng,Cộng,Cộng,85.048.812,83.659.564,85048812.0,83659564.0
Mức độ rủi ro tín dụng của các tài khoản ngoại bảng,Mức độ rủi ro tín dụng của các tài khoản ngoại bảng,Mức độ rủi ro tín dụng của các tài khoản ngoại bảng,Mức độ rủi ro tín dụng của các tài khoản ngoại bảng,Mức độ rủi ro tín dụng của các tài khoản ngoại bảng,,
Cam kết trong nghiệp vụ L/C – gộp,Mức độ rủi ro tín dụng của các tài khoản ngoại bảng > Cam kết trong nghiệp vụ L/C – gộp,Cam kết trong nghiệp vụ L/C – gộp,486,7.709,486.0,7709.0
Bảo lãnh khác – gộp,Mức độ rủi ro tín dụng của các tài khoản ngoại bảng > Bảo lãnh khác – gộp,Bảo lãnh khác – gộp,365.930,281.212,365930.0,281212.0
Cộng,Mức độ rủi ro tín dụng của các tài khoản ngoại bảng > Cộng,Cộng,366.416,288.921,366416.0,288921.0
