row_label_raw,row_label_full,col_0,Vốn chủ sở hữu thuộc cổ đông công ty mẹ,Vốn chủ sở hữu thuộc cổ đông công ty mẹ_1,Vốn chủ sở hữu thuộc cổ đông công ty mẹ_2,Vốn chủ sở hữu thuộc cổ đông công ty mẹ_3,Vốn chủ sở hữu thuộc cổ đông công ty mẹ_4,Đơn vị tính: VND,Đơn vị tính: VND_1,Đơn vị tính: VND_2,numeric__Vốn chủ sở hữu thuộc cổ đông công ty mẹ,numeric__Vốn chủ sở hữu thuộc cổ đông công ty mẹ_1,numeric__Vốn chủ sở hữu thuộc cổ đông công ty mẹ_2,numeric__Vốn chủ sở hữu thuộc cổ đông công ty mẹ_3,numeric__Vốn chủ sở hữu thuộc cổ đông công ty mẹ_4,numeric__Đơn vị tính: VND,numeric__Đơn vị tính: VND_1,numeric__Đơn vị tính: VND_2
,,,Vốn cổ phần đã phát hành,Thặng dư vốn cổ phần,Quyền chọn chuyển đổi trái phiếu,Quỹ đầu tư phát triển,Quỹ khác thuộc vốn chủ sở hữu,Lợi nhuận sau thuế chưa phân phối,Lợi ích cổ đông không kiểm soát,Tổng cộng,,,,,,,,
Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2023,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2023,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2023,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2023,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2023,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2023,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2023,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2023,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2023,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2023,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2023,,,,,,,,
Số đầu năm,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2023 > Số đầu năm,Số đầu năm,2.419.996.170.000,-,72.397.227.865,15.177.859.740,7.588.929.869,999.660.328.627,243.886.140.083,3.758.706.656.184,2419996170000.0,,72397227865.0,15177859740.0,7588929869.0,999660328627.0,243886140083.0,3758706656184.0
- Lợi nhuận/(lỗ) thuần trong năm,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2023 > - Lợi nhuận/(lỗ) thuần trong năm,- Lợi nhuận/(lỗ) thuần trong năm,-,-,-,-,-,496.225.033.917,(45.475.027.445),450.750.006.472,,,,,,496225033917.0,-45475027445.0,450750006472.0
- Chia cổ tức bằng tiền,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2023 > - Chia cổ tức bằng tiền,- Chia cổ tức bằng tiền,-,-,-,-,-,(241.999.617.000),-,(241.999.617.000),,,,,,-241999617000.0,,-241999617000.0
- Công ty con trích quỹ khen thưởng phúc lợi,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2023 > - Công ty con trích quỹ khen thưởng phúc lợi,- Công ty con trích quỹ khen thưởng phúc lợi,-,-,-,-,-,(37.582.418),(22.417.582),(60.000.000),,,,,,-37582418.0,-22417582.0,-60000000.0
- Công ty con chia cổ tức,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2023 > - Công ty con chia cổ tức,- Công ty con chia cổ tức,-,-,-,-,-,-,(767.577.903),(767.577.903),,,,,,,-767577903.0,-767577903.0
- Giảm khác,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2023 > - Giảm khác,- Giảm khác,-,-,-,-,-,(31.231.828.119),31.231.828.119,-,,,,,,-31231828119.0,31231828119.0,
Số cuối năm,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2023 > Số cuối năm,Số cuối năm,2.419.996.170.000,-,72.397.227.865,15.177.859.740,7.588.929.869,1.222.616.335.007,228.852.945.272,3.966.629.467.753,2419996170000.0,,72397227865.0,15177859740.0,7588929869.0,1222616335007.0,228852945272.0,3966629467753.0
Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2024,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2024,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2024,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2024,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2024,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2024,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2024,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2024,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2024,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2024,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2024,,,,,,,,
Số đầu năm,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2024 > Số đầu năm,Số đầu năm,2.419.996.170.000,-,72.397.227.865,15.177.859.740,7.588.929.869,1.222.616.335.007,228.852.945.272,3.966.629.467.753,2419996170000.0,,72397227865.0,15177859740.0,7588929869.0,1222616335007.0,228852945272.0,3966629467753.0
- Lợi nhuận/(lỗ) thuần trong năm,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2024 > - Lợi nhuận/(lỗ) thuần trong năm,- Lợi nhuận/(lỗ) thuần trong năm,-,-,-,-,-,328.474.750.222,(24.575.281.899),303.899.468.323,,,,,,328474750222.0,-24575281899.0,303899468323.0
- Góp vốn vào công ty con,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2024 > - Góp vốn vào công ty con,- Góp vốn vào công ty con,-,-,-,-,-,-,4.500.000.000,4.500.000.000,,,,,,,4500000000.0,4500000000.0
- Phát hành cổ phiếu trả cổ tức (i),Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2024 > - Phát hành cổ phiếu trả cổ tức (i),- Phát hành cổ phiếu trả cổ tức (i),483.997.680.000,-,-,-,-,(483.997.680.000),-,-,483997680000.0,,,,,-483997680000.0,,
- Phát hành cổ phiếu đề chuyển đổi trái phiếu chuyển đổi (ii),Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2024 > - Phát hành cổ phiếu đề chuyển đổi trái phiếu chuyển đổi (ii),- Phát hành cổ phiếu đề chuyển đổi trái phiếu chuyển đổi (ii),296.501.920.000,574.656.557.853,(72.397.227.865),-,-,-,-,798.761.249.988,296501920000.0,574656557853.0,-72397227865.0,,,,,798761249988.0
- Mua công ty con,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2024 > - Mua công ty con,- Mua công ty con,-,-,-,-,-,-,350.000.000,350.000.000,,,,,,,350000000.0,350000000.0
- Tăng tỷ lệ sở hữu trong công ty con,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2024 > - Tăng tỷ lệ sở hữu trong công ty con,- Tăng tỷ lệ sở hữu trong công ty con,-,-,-,-,-,(6.284.322.982),6.284.322.982,-,,,,,,-6284322982.0,6284322982.0,
Số cuối năm,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2024 > Số cuối năm,Số cuối năm,3.200.495.770.000,574.656.557.853,-,15.177.859.740,7.588.929.869,1.060.809.082.247,215.411.986.355,5.074.140.186.064,3200495770000.0,574656557853.0,,15177859740.0,7588929869.0,1060809082247.0,215411986355.0,5074140186064.0
