row_label_raw,row_label_full,"Đầu tư góp vốn vào:▪ Đơn vị khác• Công ty CP Đầu tư An Lạc, một bên liên quan",Địa chỉ > Hà Nội > Địa chỉ,Số lượng cổ phiếu > 190.159 > Số lượng cổ phiếu,% sở hữu > 7% > % sở hữu,% quyền biểu quyết > 7% > % quyền biểu quyết,31/12/2017 > Giá gốc VND > 12.000.000.000 > 1.416.755.612.823 > 1/1/2017 > Giá gốc VND,31/12/2017 > Dự phòng VND > - > (15.809.123.776) > 1/1/2017 > Dự phòng VND,31/12/2017 > Giá trị hợp lý VND > (*) > 1/1/2017 > Giá trị hợp lý VND,numeric__Địa chỉ > Hà Nội > Địa chỉ,numeric__Số lượng cổ phiếu > 190.159 > Số lượng cổ phiếu,numeric__% sở hữu > 7% > % sở hữu,numeric__% quyền biểu quyết > 7% > % quyền biểu quyết,numeric__31/12/2017 > Giá gốc VND > 12.000.000.000 > 1.416.755.612.823 > 1/1/2017 > Giá gốc VND,numeric__31/12/2017 > Dự phòng VND > - > (15.809.123.776) > 1/1/2017 > Dự phòng VND,numeric__31/12/2017 > Giá trị hợp lý VND > (*) > 1/1/2017 > Giá trị hợp lý VND
Đầu tư góp vốn vào:▪ Công ty con• Công ty CP Hà Đô 1• Công ty CP Hà Đô 23• Công ty CP Hà Đô 4• Công ty CP Đầu tư Khánh Hà• Công ty CP Hà Đô - 756 Sài Gòn• Công ty CP Cơ điện Xây dựng Thiết bị Công nghiệp Hà Đô• Công ty CP Tư vấn Hà Đô• Công ty CP Za Hưng• Công ty CP Thủy điện Sông Tranh 4• Công ty TNHH MTV Đầu tư Quốc tế Hà Đô• Công ty TNHH MTVQuản lý và Kinh doanh BĐS Hà Đô• Công ty TNHH MTV Quản lý - Vận hành - Khai thác BĐS Hà Đô,Đầu tư góp vốn vào:▪ Công ty con• Công ty CP Hà Đô 1• Công ty CP Hà Đô 23• Công ty CP Hà Đô 4• Công ty CP Đầu tư Khánh Hà• Công ty CP Hà Đô - 756 Sài Gòn• Công ty CP Cơ điện Xây dựng Thiết bị Công nghiệp Hà Đô• Công ty CP Tư vấn Hà Đô• Công ty CP Za Hưng• Công ty CP Thủy điện Sông Tranh 4• Công ty TNHH MTV Đầu tư Quốc tế Hà Đô• Công ty TNHH MTVQuản lý và Kinh doanh BĐS Hà Đô• Công ty TNHH MTV Quản lý - Vận hành - Khai thác BĐS Hà Đô,Đầu tư góp vốn vào:▪ Công ty con• Công ty CP Hà Đô 1• Công ty CP Hà Đô 23• Công ty CP Hà Đô 4• Công ty CP Đầu tư Khánh Hà• Công ty CP Hà Đô - 756 Sài Gòn• Công ty CP Cơ điện Xây dựng Thiết bị Công nghiệp Hà Đô• Công ty CP Tư vấn Hà Đô• Công ty CP Za Hưng• Công ty CP Thủy điện Sông Tranh 4• Công ty TNHH MTV Đầu tư Quốc tế Hà Đô• Công ty TNHH MTVQuản lý và Kinh doanh BĐS Hà Đô• Công ty TNHH MTV Quản lý - Vận hành - Khai thác BĐS Hà Đô,Hà Nội,1.791.135,51%,51%,15.680.240.000,-,(*),,1791135.0,0.51,0.51,15680240000.0,,
Đầu tư góp vốn vào:▪ Công ty con• Công ty CP Hà Đô 1• Công ty CP Hà Đô 23• Công ty CP Hà Đô 4• Công ty CP Đầu tư Khánh Hà• Công ty CP Hà Đô - 756 Sài Gòn• Công ty CP Cơ điện Xây dựng Thiết bị Công nghiệp Hà Đô• Công ty CP Tư vấn Hà Đô• Công ty CP Za Hưng• Công ty CP Thủy điện Sông Tranh 4• Công ty TNHH MTV Đầu tư Quốc tế Hà Đô• Công ty TNHH MTVQuản lý và Kinh doanh BĐS Hà Đô• Công ty TNHH MTV Quản lý - Vận hành - Khai thác BĐS Hà Đô,Đầu tư góp vốn vào:▪ Công ty con• Công ty CP Hà Đô 1• Công ty CP Hà Đô 23• Công ty CP Hà Đô 4• Công ty CP Đầu tư Khánh Hà• Công ty CP Hà Đô - 756 Sài Gòn• Công ty CP Cơ điện Xây dựng Thiết bị Công nghiệp Hà Đô• Công ty CP Tư vấn Hà Đô• Công ty CP Za Hưng• Công ty CP Thủy điện Sông Tranh 4• Công ty TNHH MTV Đầu tư Quốc tế Hà Đô• Công ty TNHH MTVQuản lý và Kinh doanh BĐS Hà Đô• Công ty TNHH MTV Quản lý - Vận hành - Khai thác BĐS Hà Đô,Đầu tư góp vốn vào:▪ Công ty con• Công ty CP Hà Đô 1• Công ty CP Hà Đô 23• Công ty CP Hà Đô 4• Công ty CP Đầu tư Khánh Hà• Công ty CP Hà Đô - 756 Sài Gòn• Công ty CP Cơ điện Xây dựng Thiết bị Công nghiệp Hà Đô• Công ty CP Tư vấn Hà Đô• Công ty CP Za Hưng• Công ty CP Thủy điện Sông Tranh 4• Công ty TNHH MTV Đầu tư Quốc tế Hà Đô• Công ty TNHH MTVQuản lý và Kinh doanh BĐS Hà Đô• Công ty TNHH MTV Quản lý - Vận hành - Khai thác BĐS Hà Đô,Hà Nội,2.221.510,60%,60%,22.214.900.000,-,(*),,2221510.0,0.6,0.6,22214900000.0,,
Đầu tư góp vốn vào:▪ Công ty con• Công ty CP Hà Đô 1• Công ty CP Hà Đô 23• Công ty CP Hà Đô 4• Công ty CP Đầu tư Khánh Hà• Công ty CP Hà Đô - 756 Sài Gòn• Công ty CP Cơ điện Xây dựng Thiết bị Công nghiệp Hà Đô• Công ty CP Tư vấn Hà Đô• Công ty CP Za Hưng• Công ty CP Thủy điện Sông Tranh 4• Công ty TNHH MTV Đầu tư Quốc tế Hà Đô• Công ty TNHH MTVQuản lý và Kinh doanh BĐS Hà Đô• Công ty TNHH MTV Quản lý - Vận hành - Khai thác BĐS Hà Đô,Đầu tư góp vốn vào:▪ Công ty con• Công ty CP Hà Đô 1• Công ty CP Hà Đô 23• Công ty CP Hà Đô 4• Công ty CP Đầu tư Khánh Hà• Công ty CP Hà Đô - 756 Sài Gòn• Công ty CP Cơ điện Xây dựng Thiết bị Công nghiệp Hà Đô• Công ty CP Tư vấn Hà Đô• Công ty CP Za Hưng• Công ty CP Thủy điện Sông Tranh 4• Công ty TNHH MTV Đầu tư Quốc tế Hà Đô• Công ty TNHH MTVQuản lý và Kinh doanh BĐS Hà Đô• Công ty TNHH MTV Quản lý - Vận hành - Khai thác BĐS Hà Đô,Đầu tư góp vốn vào:▪ Công ty con• Công ty CP Hà Đô 1• Công ty CP Hà Đô 23• Công ty CP Hà Đô 4• Công ty CP Đầu tư Khánh Hà• Công ty CP Hà Đô - 756 Sài Gòn• Công ty CP Cơ điện Xây dựng Thiết bị Công nghiệp Hà Đô• Công ty CP Tư vấn Hà Đô• Công ty CP Za Hưng• Công ty CP Thủy điện Sông Tranh 4• Công ty TNHH MTV Đầu tư Quốc tế Hà Đô• Công ty TNHH MTVQuản lý và Kinh doanh BĐS Hà Đô• Công ty TNHH MTV Quản lý - Vận hành - Khai thác BĐS Hà Đô,TP. Hồ Chí Minh,1.679.684,51%,51%,14.605.950.000,-,(*),,1679684.0,0.51,0.51,14605950000.0,,
Đầu tư góp vốn vào:▪ Công ty con• Công ty CP Hà Đô 1• Công ty CP Hà Đô 23• Công ty CP Hà Đô 4• Công ty CP Đầu tư Khánh Hà• Công ty CP Hà Đô - 756 Sài Gòn• Công ty CP Cơ điện Xây dựng Thiết bị Công nghiệp Hà Đô• Công ty CP Tư vấn Hà Đô• Công ty CP Za Hưng• Công ty CP Thủy điện Sông Tranh 4• Công ty TNHH MTV Đầu tư Quốc tế Hà Đô• Công ty TNHH MTVQuản lý và Kinh doanh BĐS Hà Đô• Công ty TNHH MTV Quản lý - Vận hành - Khai thác BĐS Hà Đô,Đầu tư góp vốn vào:▪ Công ty con• Công ty CP Hà Đô 1• Công ty CP Hà Đô 23• Công ty CP Hà Đô 4• Công ty CP Đầu tư Khánh Hà• Công ty CP Hà Đô - 756 Sài Gòn• Công ty CP Cơ điện Xây dựng Thiết bị Công nghiệp Hà Đô• Công ty CP Tư vấn Hà Đô• Công ty CP Za Hưng• Công ty CP Thủy điện Sông Tranh 4• Công ty TNHH MTV Đầu tư Quốc tế Hà Đô• Công ty TNHH MTVQuản lý và Kinh doanh BĐS Hà Đô• Công ty TNHH MTV Quản lý - Vận hành - Khai thác BĐS Hà Đô,Đầu tư góp vốn vào:▪ Công ty con• Công ty CP Hà Đô 1• Công ty CP Hà Đô 23• Công ty CP Hà Đô 4• Công ty CP Đầu tư Khánh Hà• Công ty CP Hà Đô - 756 Sài Gòn• Công ty CP Cơ điện Xây dựng Thiết bị Công nghiệp Hà Đô• Công ty CP Tư vấn Hà Đô• Công ty CP Za Hưng• Công ty CP Thủy điện Sông Tranh 4• Công ty TNHH MTV Đầu tư Quốc tế Hà Đô• Công ty TNHH MTVQuản lý và Kinh doanh BĐS Hà Đô• Công ty TNHH MTV Quản lý - Vận hành - Khai thác BĐS Hà Đô,Nha Trang,17.024.089,65%,65%,170.240.885.000,-,(*),,17024089.0,0.65,0.65,170240885000.0,,
Đầu tư góp vốn vào:▪ Công ty con• Công ty CP Hà Đô 1• Công ty CP Hà Đô 23• Công ty CP Hà Đô 4• Công ty CP Đầu tư Khánh Hà• Công ty CP Hà Đô - 756 Sài Gòn• Công ty CP Cơ điện Xây dựng Thiết bị Công nghiệp Hà Đô• Công ty CP Tư vấn Hà Đô• Công ty CP Za Hưng• Công ty CP Thủy điện Sông Tranh 4• Công ty TNHH MTV Đầu tư Quốc tế Hà Đô• Công ty TNHH MTVQuản lý và Kinh doanh BĐS Hà Đô• Công ty TNHH MTV Quản lý - Vận hành - Khai thác BĐS Hà Đô,Đầu tư góp vốn vào:▪ Công ty con• Công ty CP Hà Đô 1• Công ty CP Hà Đô 23• Công ty CP Hà Đô 4• Công ty CP Đầu tư Khánh Hà• Công ty CP Hà Đô - 756 Sài Gòn• Công ty CP Cơ điện Xây dựng Thiết bị Công nghiệp Hà Đô• Công ty CP Tư vấn Hà Đô• Công ty CP Za Hưng• Công ty CP Thủy điện Sông Tranh 4• Công ty TNHH MTV Đầu tư Quốc tế Hà Đô• Công ty TNHH MTVQuản lý và Kinh doanh BĐS Hà Đô• Công ty TNHH MTV Quản lý - Vận hành - Khai thác BĐS Hà Đô,Đầu tư góp vốn vào:▪ Công ty con• Công ty CP Hà Đô 1• Công ty CP Hà Đô 23• Công ty CP Hà Đô 4• Công ty CP Đầu tư Khánh Hà• Công ty CP Hà Đô - 756 Sài Gòn• Công ty CP Cơ điện Xây dựng Thiết bị Công nghiệp Hà Đô• Công ty CP Tư vấn Hà Đô• Công ty CP Za Hưng• Công ty CP Thủy điện Sông Tranh 4• Công ty TNHH MTV Đầu tư Quốc tế Hà Đô• Công ty TNHH MTVQuản lý và Kinh doanh BĐS Hà Đô• Công ty TNHH MTV Quản lý - Vận hành - Khai thác BĐS Hà Đô,TP. Hồ Chí Minh,28.350.000,"70,8%","70,8%",283.500.000.000,-,(*),,28350000.0,0.708,0.708,283500000000.0,,
Đầu tư góp vốn vào:▪ Công ty con• Công ty CP Hà Đô 1• Công ty CP Hà Đô 23• Công ty CP Hà Đô 4• Công ty CP Đầu tư Khánh Hà• Công ty CP Hà Đô - 756 Sài Gòn• Công ty CP Cơ điện Xây dựng Thiết bị Công nghiệp Hà Đô• Công ty CP Tư vấn Hà Đô• Công ty CP Za Hưng• Công ty CP Thủy điện Sông Tranh 4• Công ty TNHH MTV Đầu tư Quốc tế Hà Đô• Công ty TNHH MTVQuản lý và Kinh doanh BĐS Hà Đô• Công ty TNHH MTV Quản lý - Vận hành - Khai thác BĐS Hà Đô,Đầu tư góp vốn vào:▪ Công ty con• Công ty CP Hà Đô 1• Công ty CP Hà Đô 23• Công ty CP Hà Đô 4• Công ty CP Đầu tư Khánh Hà• Công ty CP Hà Đô - 756 Sài Gòn• Công ty CP Cơ điện Xây dựng Thiết bị Công nghiệp Hà Đô• Công ty CP Tư vấn Hà Đô• Công ty CP Za Hưng• Công ty CP Thủy điện Sông Tranh 4• Công ty TNHH MTV Đầu tư Quốc tế Hà Đô• Công ty TNHH MTVQuản lý và Kinh doanh BĐS Hà Đô• Công ty TNHH MTV Quản lý - Vận hành - Khai thác BĐS Hà Đô,Đầu tư góp vốn vào:▪ Công ty con• Công ty CP Hà Đô 1• Công ty CP Hà Đô 23• Công ty CP Hà Đô 4• Công ty CP Đầu tư Khánh Hà• Công ty CP Hà Đô - 756 Sài Gòn• Công ty CP Cơ điện Xây dựng Thiết bị Công nghiệp Hà Đô• Công ty CP Tư vấn Hà Đô• Công ty CP Za Hưng• Công ty CP Thủy điện Sông Tranh 4• Công ty TNHH MTV Đầu tư Quốc tế Hà Đô• Công ty TNHH MTVQuản lý và Kinh doanh BĐS Hà Đô• Công ty TNHH MTV Quản lý - Vận hành - Khai thác BĐS Hà Đô,Hà Nội,51.051,51%,51%,3.570.000.000,-,(*),,51051.0,0.51,0.51,3570000000.0,,
Đầu tư góp vốn vào:▪ Công ty con• Công ty CP Hà Đô 1• Công ty CP Hà Đô 23• Công ty CP Hà Đô 4• Công ty CP Đầu tư Khánh Hà• Công ty CP Hà Đô - 756 Sài Gòn• Công ty CP Cơ điện Xây dựng Thiết bị Công nghiệp Hà Đô• Công ty CP Tư vấn Hà Đô• Công ty CP Za Hưng• Công ty CP Thủy điện Sông Tranh 4• Công ty TNHH MTV Đầu tư Quốc tế Hà Đô• Công ty TNHH MTVQuản lý và Kinh doanh BĐS Hà Đô• Công ty TNHH MTV Quản lý - Vận hành - Khai thác BĐS Hà Đô,Đầu tư góp vốn vào:▪ Công ty con• Công ty CP Hà Đô 1• Công ty CP Hà Đô 23• Công ty CP Hà Đô 4• Công ty CP Đầu tư Khánh Hà• Công ty CP Hà Đô - 756 Sài Gòn• Công ty CP Cơ điện Xây dựng Thiết bị Công nghiệp Hà Đô• Công ty CP Tư vấn Hà Đô• Công ty CP Za Hưng• Công ty CP Thủy điện Sông Tranh 4• Công ty TNHH MTV Đầu tư Quốc tế Hà Đô• Công ty TNHH MTVQuản lý và Kinh doanh BĐS Hà Đô• Công ty TNHH MTV Quản lý - Vận hành - Khai thác BĐS Hà Đô,Đầu tư góp vốn vào:▪ Công ty con• Công ty CP Hà Đô 1• Công ty CP Hà Đô 23• Công ty CP Hà Đô 4• Công ty CP Đầu tư Khánh Hà• Công ty CP Hà Đô - 756 Sài Gòn• Công ty CP Cơ điện Xây dựng Thiết bị Công nghiệp Hà Đô• Công ty CP Tư vấn Hà Đô• Công ty CP Za Hưng• Công ty CP Thủy điện Sông Tranh 4• Công ty TNHH MTV Đầu tư Quốc tế Hà Đô• Công ty TNHH MTVQuản lý và Kinh doanh BĐS Hà Đô• Công ty TNHH MTV Quản lý - Vận hành - Khai thác BĐS Hà Đô,Hà Nội,102.000,51%,51%,1.020.000.000,-,(*),,102000.0,0.51,0.51,1020000000.0,,
Đầu tư góp vốn vào:▪ Công ty con• Công ty CP Hà Đô 1• Công ty CP Hà Đô 23• Công ty CP Hà Đô 4• Công ty CP Đầu tư Khánh Hà• Công ty CP Hà Đô - 756 Sài Gòn• Công ty CP Cơ điện Xây dựng Thiết bị Công nghiệp Hà Đô• Công ty CP Tư vấn Hà Đô• Công ty CP Za Hưng• Công ty CP Thủy điện Sông Tranh 4• Công ty TNHH MTV Đầu tư Quốc tế Hà Đô• Công ty TNHH MTVQuản lý và Kinh doanh BĐS Hà Đô• Công ty TNHH MTV Quản lý - Vận hành - Khai thác BĐS Hà Đô,Đầu tư góp vốn vào:▪ Công ty con• Công ty CP Hà Đô 1• Công ty CP Hà Đô 23• Công ty CP Hà Đô 4• Công ty CP Đầu tư Khánh Hà• Công ty CP Hà Đô - 756 Sài Gòn• Công ty CP Cơ điện Xây dựng Thiết bị Công nghiệp Hà Đô• Công ty CP Tư vấn Hà Đô• Công ty CP Za Hưng• Công ty CP Thủy điện Sông Tranh 4• Công ty TNHH MTV Đầu tư Quốc tế Hà Đô• Công ty TNHH MTVQuản lý và Kinh doanh BĐS Hà Đô• Công ty TNHH MTV Quản lý - Vận hành - Khai thác BĐS Hà Đô,Đầu tư góp vốn vào:▪ Công ty con• Công ty CP Hà Đô 1• Công ty CP Hà Đô 23• Công ty CP Hà Đô 4• Công ty CP Đầu tư Khánh Hà• Công ty CP Hà Đô - 756 Sài Gòn• Công ty CP Cơ điện Xây dựng Thiết bị Công nghiệp Hà Đô• Công ty CP Tư vấn Hà Đô• Công ty CP Za Hưng• Công ty CP Thủy điện Sông Tranh 4• Công ty TNHH MTV Đầu tư Quốc tế Hà Đô• Công ty TNHH MTVQuản lý và Kinh doanh BĐS Hà Đô• Công ty TNHH MTV Quản lý - Vận hành - Khai thác BĐS Hà Đô,Hà Nội,2.699.605,54%,54%,305.597.340.000,-,(*),,2699605.0,0.54,0.54,305597340000.0,,
Đầu tư góp vốn vào:▪ Công ty con• Công ty CP Hà Đô 1• Công ty CP Hà Đô 23• Công ty CP Hà Đô 4• Công ty CP Đầu tư Khánh Hà• Công ty CP Hà Đô - 756 Sài Gòn• Công ty CP Cơ điện Xây dựng Thiết bị Công nghiệp Hà Đô• Công ty CP Tư vấn Hà Đô• Công ty CP Za Hưng• Công ty CP Thủy điện Sông Tranh 4• Công ty TNHH MTV Đầu tư Quốc tế Hà Đô• Công ty TNHH MTVQuản lý và Kinh doanh BĐS Hà Đô• Công ty TNHH MTV Quản lý - Vận hành - Khai thác BĐS Hà Đô,Đầu tư góp vốn vào:▪ Công ty con• Công ty CP Hà Đô 1• Công ty CP Hà Đô 23• Công ty CP Hà Đô 4• Công ty CP Đầu tư Khánh Hà• Công ty CP Hà Đô - 756 Sài Gòn• Công ty CP Cơ điện Xây dựng Thiết bị Công nghiệp Hà Đô• Công ty CP Tư vấn Hà Đô• Công ty CP Za Hưng• Công ty CP Thủy điện Sông Tranh 4• Công ty TNHH MTV Đầu tư Quốc tế Hà Đô• Công ty TNHH MTVQuản lý và Kinh doanh BĐS Hà Đô• Công ty TNHH MTV Quản lý - Vận hành - Khai thác BĐS Hà Đô,Đầu tư góp vốn vào:▪ Công ty con• Công ty CP Hà Đô 1• Công ty CP Hà Đô 23• Công ty CP Hà Đô 4• Công ty CP Đầu tư Khánh Hà• Công ty CP Hà Đô - 756 Sài Gòn• Công ty CP Cơ điện Xây dựng Thiết bị Công nghiệp Hà Đô• Công ty CP Tư vấn Hà Đô• Công ty CP Za Hưng• Công ty CP Thủy điện Sông Tranh 4• Công ty TNHH MTV Đầu tư Quốc tế Hà Đô• Công ty TNHH MTVQuản lý và Kinh doanh BĐS Hà Đô• Công ty TNHH MTV Quản lý - Vận hành - Khai thác BĐS Hà Đô,Quảng Nam,13.500.000,50%,99%,142.345.080.000,-,(*),,13500000.0,0.5,0.99,142345080000.0,,
Đầu tư góp vốn vào:▪ Công ty con• Công ty CP Hà Đô 1• Công ty CP Hà Đô 23• Công ty CP Hà Đô 4• Công ty CP Đầu tư Khánh Hà• Công ty CP Hà Đô - 756 Sài Gòn• Công ty CP Cơ điện Xây dựng Thiết bị Công nghiệp Hà Đô• Công ty CP Tư vấn Hà Đô• Công ty CP Za Hưng• Công ty CP Thủy điện Sông Tranh 4• Công ty TNHH MTV Đầu tư Quốc tế Hà Đô• Công ty TNHH MTVQuản lý và Kinh doanh BĐS Hà Đô• Công ty TNHH MTV Quản lý - Vận hành - Khai thác BĐS Hà Đô,Đầu tư góp vốn vào:▪ Công ty con• Công ty CP Hà Đô 1• Công ty CP Hà Đô 23• Công ty CP Hà Đô 4• Công ty CP Đầu tư Khánh Hà• Công ty CP Hà Đô - 756 Sài Gòn• Công ty CP Cơ điện Xây dựng Thiết bị Công nghiệp Hà Đô• Công ty CP Tư vấn Hà Đô• Công ty CP Za Hưng• Công ty CP Thủy điện Sông Tranh 4• Công ty TNHH MTV Đầu tư Quốc tế Hà Đô• Công ty TNHH MTVQuản lý và Kinh doanh BĐS Hà Đô• Công ty TNHH MTV Quản lý - Vận hành - Khai thác BĐS Hà Đô,Đầu tư góp vốn vào:▪ Công ty con• Công ty CP Hà Đô 1• Công ty CP Hà Đô 23• Công ty CP Hà Đô 4• Công ty CP Đầu tư Khánh Hà• Công ty CP Hà Đô - 756 Sài Gòn• Công ty CP Cơ điện Xây dựng Thiết bị Công nghiệp Hà Đô• Công ty CP Tư vấn Hà Đô• Công ty CP Za Hưng• Công ty CP Thủy điện Sông Tranh 4• Công ty TNHH MTV Đầu tư Quốc tế Hà Đô• Công ty TNHH MTVQuản lý và Kinh doanh BĐS Hà Đô• Công ty TNHH MTV Quản lý - Vận hành - Khai thác BĐS Hà Đô,"Viên Chăn, Lào",,100%,100%,181.634.006.722,-,(*),,,1.0,1.0,181634006722.0,,
