row_label_raw,row_label_full,Bên liên quan,Mối quan hệ,numeric__Mối quan hệ
Công ty TNHH MTV Đầu tư và Quản lý Dự án Bình Dương,Công ty TNHH MTV Đầu tư và Quản lý Dự án Bình Dương,Công ty TNHH MTV Đầu tư và Quản lý Dự án Bình Dương,Đại diện vốn của cổ đông Nhà nước - Công ty mẹ,
Công ty Cổ phần SAM Holdings,Công ty Cổ phần SAM Holdings,Công ty Cổ phần SAM Holdings,Cổ đông lớn,
Công ty Cổ phần Đầu tư U&I,Công ty Cổ phần Đầu tư U&I,Công ty Cổ phần Đầu tư U&I,Cổ đông lớn,
Bà Trần Thị Thu Hà,Bà Trần Thị Thu Hà,Bà Trần Thị Thu Hà,Cổ đông lớn,
"KP Apparel Manufacturing Co., Ltd","KP Apparel Manufacturing Co., Ltd","KP Apparel Manufacturing Co., Ltd",Công ty con,
Công ty TNHH MTV Giấy Vĩnh Phú,Công ty TNHH MTV Giấy Vĩnh Phú,Công ty TNHH MTV Giấy Vĩnh Phú,Công ty con,
Công ty Cổ phần Thương mại Tổng hợp Thuận An,Công ty Cổ phần Thương mại Tổng hợp Thuận An,Công ty Cổ phần Thương mại Tổng hợp Thuận An,Công ty con,
Công ty TNHH MTV Quốc tế Protrade,Công ty TNHH MTV Quốc tế Protrade,Công ty TNHH MTV Quốc tế Protrade,Công ty con,
Công ty TNHH Sân Golf Palm Sông Bé,Công ty TNHH Sân Golf Palm Sông Bé,Công ty TNHH Sân Golf Palm Sông Bé,Công ty con,
Công ty Cổ phần Cao su Dầu Tiếng Việt Lào,Công ty Cổ phần Cao su Dầu Tiếng Việt Lào,Công ty Cổ phần Cao su Dầu Tiếng Việt Lào,Công ty con,
Công ty Cổ phần Phát triển Phú Mỹ,Công ty Cổ phần Phát triển Phú Mỹ,Công ty Cổ phần Phát triển Phú Mỹ,Công ty liên kết,
Công ty TNHH FrieslandCampina Việt Nam,Công ty TNHH FrieslandCampina Việt Nam,Công ty TNHH FrieslandCampina Việt Nam,Công ty liên kết,
Công ty Cổ phần Bệnh viện Đa khoa Quốc tế Hạnh Phúc,Công ty Cổ phần Bệnh viện Đa khoa Quốc tế Hạnh Phúc,Công ty Cổ phần Bệnh viện Đa khoa Quốc tế Hạnh Phúc,Công ty liên kết,
Công ty Cổ phần Hưng Vương,Công ty Cổ phần Hưng Vương,Công ty Cổ phần Hưng Vương,Công ty liên kết,
Công ty TNHH YCH-PROTRADE,Công ty TNHH YCH-PROTRADE,Công ty TNHH YCH-PROTRADE,Công ty liên kết,
Công ty Cổ phần Đầu tư và Phát triển Tân Thành,Công ty Cổ phần Đầu tư và Phát triển Tân Thành,Công ty Cổ phần Đầu tư và Phát triển Tân Thành,Công ty liên kết,
Công ty Cổ phần May mặc Bình Dương,Công ty Cổ phần May mặc Bình Dương,Công ty Cổ phần May mặc Bình Dương,Công ty liên kết,
