row_label_raw,row_label_full,col_0,Vốn góp củachủ sở hữuVND,Thặng dưvốn cổ phànVND,Chênh lệchtỷ giả hối đoái (°)VND,Quỹ đầu tưphát triển vàdự phòng tải chínhVND,Quỹ khác thuộcvốn chủ sở hữu (**)VND,Lợi nhuậnsau thuếchưa phân phốiVND,Quỹ dự trữ bắtbuộc hoạt độngbảo hiểmVND,Lợi ích cổ đôngkhông kiểm soátVND,Tổng cộngVND,numeric__Vốn góp củachủ sở hữuVND,numeric__Thặng dưvốn cổ phànVND,numeric__Chênh lệchtỷ giả hối đoái (°)VND,numeric__Quỹ đầu tưphát triển vàdự phòng tải chínhVND,numeric__Quỹ khác thuộcvốn chủ sở hữu (**)VND,numeric__Lợi nhuậnsau thuếchưa phân phốiVND,numeric__Quỹ dự trữ bắtbuộc hoạt độngbảo hiểmVND,numeric__Lợi ích cổ đôngkhông kiểm soátVND,numeric__Tổng cộngVND
Tại ngày 01/01/2024(trình bày lại),Tại ngày 01/01/2024(trình bày lại),Tại ngày 01/01/2024(trình bày lại),7.423.227.640.000,7.310.458.742.807,15.445.192.000,2.233.517.394.474,103.568.802.818,3.565.845.500.585,709.311.077.785,918.962.506.736,22.280.336.857.205,7423227640000.0,7310458742807.0,15445192000.0,2233517394474.0,103568802818.0,3565845500585.0,709311077785.0,918962506736.0,22280336857205.0
Chi trả cổ tức cho cổđồng,Chi trả cổ tức cho cổđồng,Chi trả cổ tức cho cổđồng,-,-,-,-,-,(745.069.356.247),-,-,(745.069.356.247),,,,,,-745069356247.0,,,-745069356247.0
Trích quỹ khen thưởngphúc lợi,Trích quỹ khen thưởngphúc lợi,Trích quỹ khen thưởngphúc lợi,-,-,-,-,-,(118.130.315.034),-,(3.159.197.310),(121.289.512.344),,,,,,-118130315034.0,,-3159197310.0,-121289512344.0
Của công ty mẹ (***),Của công ty mẹ (***),Của công ty mẹ (***),-,-,-,-,-,(36.187.556.080),-,-,(36.187.556.080),,,,,,-36187556080.0,,,-36187556080.0
Của các công ty con,Của các công ty con,Của các công ty con,-,-,-,-,-,(81.942.758.954),-,(3.159.197.310),(85.101.956.264),,,,,,-81942758954.0,,-3159197310.0,-85101956264.0
Trích lập quỹ đầu tư pháttriển,Trích lập quỹ đầu tư pháttriển,Trích lập quỹ đầu tư pháttriển,-,-,-,700.335.639.095,-,(700.335.639.095),-,-,-,,,,700335639095.0,,-700335639095.0,,,
Của công ty mẹ (***),Của công ty mẹ (***),Của công ty mẹ (***),-,-,-,334.829.549.816,-,(334.829.549.816),-,-,-,,,,334829549816.0,,-334829549816.0,,,
Của các công ty con,Của các công ty con,Của các công ty con,-,-,-,365.506.089.279,-,(365.506.089.279),-,-,-,,,,365506089279.0,,-365506089279.0,,,
Chi thủ lao Hội đồngthành viên và Kiểm soátviên của các Công ty con,Chi thủ lao Hội đồngthành viên và Kiểm soátviên của các Công ty con,Chi thủ lao Hội đồngthành viên và Kiểm soátviên của các Công ty con,-,-,-,-,-,(944.531.050),-,(631.839.462),(1.576.370.512),,,,,,-944531050.0,,-631839462.0,-1576370512.0
Chi trả cổ tức cho cổđồng không kiểm soát,Chi trả cổ tức cho cổđồng không kiểm soát,Chi trả cổ tức cho cổđồng không kiểm soát,-,-,-,-,-,-,-,(25.860.731.704),(25.860.731.704),,,,,,,,-25860731704.0,-25860731704.0
Lợi nhuận tăng trongnăm,Lợi nhuận tăng trongnăm,Lợi nhuận tăng trongnăm,-,-,-,-,-,2.110.496.926.600,-,83.671.676.730,2.194.168.603.330,,,,,,2110496926600.0,,83671676730.0,2194168603330.0
Trích lập các quỹ dự trữ,Trích lập các quỹ dự trữ,Trích lập các quỹ dự trữ,-,-,-,-,-,(88.621.306.851),88.621.306.851,-,-,,,,,,-88621306851.0,88621306851.0,,
Giảm khác,Giảm khác,Giảm khác,-,-,-,-,-,(16.175.189.819),-,1.352.760.014,(14.822.429.805),,,,,,-16175189819.0,,1352760014.0,-14822429805.0
Tại ngày 31/12/2024,Tại ngày 31/12/2024,Tại ngày 31/12/2024,7.423.227.640.000,7.310.458.742.807,15.445.192.000,2.933.853.033.569,103.568.802.818,4.007.066.089.089,797.932.384.636,974.335.175.004,23.565.887.059.923,7423227640000.0,7310458742807.0,15445192000.0,2933853033569.0,103568802818.0,4007066089089.0,797932384636.0,974335175004.0,23565887059923.0
