row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2024,Chưa quá hạn và không giảm giá trị,Quá hạn nhưng không giảm giá trị riêng lẻ,Bị giảm giá trị riêng lẻ (*),Đơn vị: triệu VND Tổng,numeric__Chưa quá hạn và không giảm giá trị,numeric__Quá hạn nhưng không giảm giá trị riêng lẻ,numeric__Bị giảm giá trị riêng lẻ (*),numeric__Đơn vị: triệu VND Tổng
TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,,,,
Tiền và các khoản tương đương tiền,TÀI SẢN > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,1.464.088,-,-,1.464.088,1464088.0,,,1464088.0
Phải thu hoạt động bảo hiểm gốc,TÀI SẢN > Phải thu hoạt động bảo hiểm gốc,Phải thu hoạt động bảo hiểm gốc,595.007,46.839,11.159,653.005,595007.0,46839.0,11159.0,653005.0
Phải thu tái bảo hiểm,TÀI SẢN > Phải thu tái bảo hiểm,Phải thu tái bảo hiểm,467.159,39.300,946,507.405,467159.0,39300.0,946.0,507405.0
Tài sản tái bảo hiểm,TÀI SẢN > Tài sản tái bảo hiểm,Tài sản tái bảo hiểm,3.558.134,-,-,3.558.134,3558134.0,,,3558134.0
Các khoản phải thu khác,TÀI SẢN > Các khoản phải thu khác,Các khoản phải thu khác,76.180,-,-,76.180,76180.0,,,76180.0
"- Các khoản cầm cố, ký quỹ, ký cược","TÀI SẢN > - Các khoản cầm cố, ký quỹ, ký cược","- Các khoản cầm cố, ký quỹ, ký cược",68.289,-,-,68.289,68289.0,,,68289.0
- Phải thu cổ tức,TÀI SẢN > - Phải thu cổ tức,- Phải thu cổ tức,7.891,-,-,7.891,7891.0,,,7891.0
Đầu tư nằm giữ đến ngày đáo hạn,TÀI SẢN > Đầu tư nằm giữ đến ngày đáo hạn,Đầu tư nằm giữ đến ngày đáo hạn,225.861.139,-,-,225.861.139,225861139.0,,,225861139.0
- Hợp đồng tiền gửi có kỳ hạn,TÀI SẢN > - Hợp đồng tiền gửi có kỳ hạn,- Hợp đồng tiền gửi có kỳ hạn,128.016.619,-,-,128.016.619,128016619.0,,,128016619.0
- Trái phiếu,TÀI SẢN > - Trái phiếu,- Trái phiếu,97.844.520,-,-,97.844.520,97844520.0,,,97844520.0
Chứng khoán kinh doanh,TÀI SẢN > Chứng khoán kinh doanh,Chứng khoán kinh doanh,50.097,-,-,50.097,50097.0,,,50097.0
- Trái phiếu,TÀI SẢN > - Trái phiếu,- Trái phiếu,50.097,-,-,50.097,50097.0,,,50097.0
Các khoản cho vay và tạm ứng cho khách hàng,TÀI SẢN > Các khoản cho vay và tạm ứng cho khách hàng,Các khoản cho vay và tạm ứng cho khách hàng,8.234.461,-,-,8.234.461,8234461.0,,,8234461.0
Các tài sản khác,TÀI SẢN > Các tài sản khác,Các tài sản khác,(412.826),-,392.964,(19.862),-412826.0,,392964.0,-19862.0
TỔNG CỘNG,TÀI SẢN > TỔNG CỘNG,TỔNG CỘNG,239.893.439,86.139,405.069,240.384.647,239893439.0,86139.0,405069.0,240384647.0
