row_label_raw,row_label_full,STT,Công ty con cấp 3,Hoạt động chính,Tỷ lệ lợi ích trực tiếp của công ty con cấp 2,Tỷ lệ lợi ích trực tiếp của công ty con cấp 2_1,Tỷ lệ lợi ích của Tập đoàn,Tỷ lệ lợi ích của Tập đoàn_1,numeric__Công ty con cấp 3,numeric__Hoạt động chính,numeric__Tỷ lệ lợi ích trực tiếp của công ty con cấp 2,numeric__Tỷ lệ lợi ích trực tiếp của công ty con cấp 2_1,numeric__Tỷ lệ lợi ích của Tập đoàn,numeric__Tỷ lệ lợi ích của Tập đoàn_1
STT,STT,STT,Công ty con cấp 3,Hoạt động chính,31/12/2018,1/1/2018,31/12/2018,1/1/2018,,,,,,
,,,Công ty con của Công ty CP Golden Gain Việt Nam,Công ty con của Công ty CP Golden Gain Việt Nam,Công ty con của Công ty CP Golden Gain Việt Nam,Công ty con của Công ty CP Golden Gain Việt Nam,Công ty con của Công ty CP Golden Gain Việt Nam,Công ty con của Công ty CP Golden Gain Việt Nam,,,,,,
1,STT > 1,1,Công ty CP Đầu tư và Dịch vụ Hà Nội,"Hoạt động thể thao, giải trí, tennis, cầu lông, bida, boi, thể dục thể hình, games, bất động sản.","95,27%","95,27%","95,074%","94,95%",,,0.9527,0.9527,0.95074,0.9495
2,STT > 2,2,Công ty CP Vận tải và Dịch vụ Thương mại Hà Nội,"Vận tải hàng hóa bằng ô tô, vận tải khách liên tỉnh bằng ô tô, sửa chữa máy móc, thiết bị, dịch vụ lữ hành nội địa, đại lý kinh doanh xăng đầu, dịch vụ đại lý vận tải và dịch vụ trống giữ xe ô tô, văn phòng, kho bãi và bất động sản.","99,90%","99,90%","99,698%","99,56%",,,0.9990000000000001,0.9990000000000001,0.99698,0.9956
,,,Công ty con của Công ty TNHH Thương mại Hòa Phát,Công ty con của Công ty TNHH Thương mại Hòa Phát,Công ty con của Công ty TNHH Thương mại Hòa Phát,Công ty con của Công ty TNHH Thương mại Hòa Phát,Công ty con của Công ty TNHH Thương mại Hòa Phát,Công ty con của Công ty TNHH Thương mại Hòa Phát,,,,,,
3,STT > 3,3,Công ty TNHH Chăn nuôi Hòa Phát Quảng Bình,"Chăn nuôi gia súc, gia cầm; hoạt động dịch vụ trồng trọt.","72,72%","72,72%","72,647%","72,647%",,,0.7272,0.7272,0.7264700000000001,0.7264700000000001
4,STT > 4,4,Công ty TNHH MTV Chăn nuôi An Châu (iv),"Chăn nuôi gia súc, gia cầm; hoạt động dịch vụ trồng trọt.",-,100%,-,"99,899%",,,,1.0,,0.99899
5,STT > 5,5,Công ty TNHH MTV Chăn nuôi Việt Hùng,"Chăn nuôi gia súc, gia cầm; hoạt động dịch vụ trồng trọt.",100%,100%,"99,899%","99,899%",,,1.0,1.0,0.99899,0.99899
6,STT > 6,6,Công ty TNHH MTV Chăn nuôi Đồng Phát,"Chăn nuôi gia súc, gia cầm; hoạt động dịch vụ trồng trọt.",100%,100%,"99,899%","99,899%",,,1.0,1.0,0.99899,0.99899
,,,Công ty con của Công ty CP Phát triển Chăn nuôi Hòa Phát,Công ty con của Công ty CP Phát triển Chăn nuôi Hòa Phát,Công ty con của Công ty CP Phát triển Chăn nuôi Hòa Phát,Công ty con của Công ty CP Phát triển Chăn nuôi Hòa Phát,Công ty con của Công ty CP Phát triển Chăn nuôi Hòa Phát,Công ty con của Công ty CP Phát triển Chăn nuôi Hòa Phát,,,,,,
7,STT > 7,7,Công ty TNHH Chăn nuôi Thái Thụy (trước dây là Công ty TNHH MTV Chăn nuôi Hòa Phát Thái Bình),"Chăn nuôi lợn, chăn nuôi gia cầm, chăn nuôi khác.",100%,100%,"99,974%","99,974%",,,1.0,1.0,0.9997400000000001,0.9997400000000001
8,STT > 8,8,Công ty TNHH Chăn nuôi Lạc Thủy (trước dây là Công ty TNHH MTV Chăn nuôi Hòa Phát Hòa Bình),"Chăn nuôi gia cầm, chăn nuôi khác.",100%,100%,"99,974%","99,974%",,,1.0,1.0,0.9997400000000001,0.9997400000000001
