row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2022,Trong nướcTriệu VND,Nước ngoàiTriệu VND,Tổng cộngTriệu VND,numeric__Trong nướcTriệu VND,numeric__Nước ngoàiTriệu VND,numeric__Tổng cộngTriệu VND
Tài sản,Tài sản,Tài sản,,,,,,
Tiền mặt và vàng,Tài sản > Tiền mặt và vàng,Tiền mặt và vàng,1.617.931,-,1.617.931,1617931.0,,1617931.0
Tiền gửi tại NHNNVN,Tài sản > Tiền gửi tại NHNNVN,Tiền gửi tại NHNNVN,10.062.633,-,10.062.633,10062633.0,,10062633.0
Tiền gửi và cho vay các TCTD khác,Tài sản > Tiền gửi và cho vay các TCTD khác,Tiền gửi và cho vay các TCTD khác,51.666.395,233.413,51.899.808,51666395.0,233413.0,51899808.0
Các công cụ tài chính phải sinh và các tài sảntài chính khác,Tài sản > Các công cụ tài chính phải sinh và các tài sảntài chính khác,Các công cụ tài chính phải sinh và các tài sảntài chính khác,20.958,-,20.958,20958.0,,20958.0
Cho vay khách hàng,Tài sản > Cho vay khách hàng,Cho vay khách hàng,231.944.016,-,231.944.016,231944016.0,,231944016.0
Hoạt động mua nợ,Tài sản > Hoạt động mua nợ,Hoạt động mua nợ,103.912,-,103.912,103912.0,,103912.0
Chứng khoán đầu tư,Tài sản > Chứng khoán đầu tư,Chứng khoán đầu tư,40.292.763,-,40.292.763,40292763.0,,40292763.0
Góp vốn đầu tư dài hạn,Tài sản > Góp vốn đầu tư dài hạn,Góp vốn đầu tư dài hạn,69.125,542,69.667,69125.0,542.0,69667.0
Tài sản cố định và bất động sản đầu tư,Tài sản > Tài sản cố định và bất động sản đầu tư,Tài sản cố định và bất động sản đầu tư,702.327,-,702.327,702327.0,,702327.0
Tài sản Có khác,Tài sản > Tài sản Có khác,Tài sản Có khác,9.196.500,-,9.196.500,9196500.0,,9196500.0
,,,345.676.560,233.955,345.910.515,345676560.0,233955.0,345910515.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,
Tiền gửi và vay các TCTD khác,Nợ phải trả > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,49.376.592,21.789.849,71.166.441,49376592.0,21789849.0,71166441.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,196.869.351,3.254.589,200.123.940,196869351.0,3254589.0,200123940.0
"Vốn tài trợ, ủy thác đầu tư, cho vay TCTDchịu rủi ro","Nợ phải trả > Vốn tài trợ, ủy thác đầu tư, cho vay TCTDchịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vay TCTDchịu rủi ro",8.092,-,8.092,8092.0,,8092.0
Phát hành giấy tờ có giá,Nợ phải trả > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,31.774.818,-,31.774.818,31774818.0,,31774818.0
Các khoản nợ khác,Nợ phải trả > Các khoản nợ khác,Các khoản nợ khác,7.074.592,-,7.074.592,7074592.0,,7074592.0
,,,285.103.445,25.044.438,310.147.883,285103445.0,25044438.0,310147883.0
Các cam kết ngoại bảng,Các cam kết ngoại bảng,Các cam kết ngoại bảng,,,,,,
Cam kết giao dịch hối đoái,Các cam kết ngoại bảng > Cam kết giao dịch hối đoái,Cam kết giao dịch hối đoái,144.234.405,-,144.234.405,144234405.0,,144234405.0
Cam kết trong nghiệp vụ thư tín dụng,Các cam kết ngoại bảng > Cam kết trong nghiệp vụ thư tín dụng,Cam kết trong nghiệp vụ thư tín dụng,1.319.357,-,1.319.357,1319357.0,,1319357.0
Bảo lãnh khác,Các cam kết ngoại bảng > Bảo lãnh khác,Bảo lãnh khác,7.401.007,-,7.401.007,7401007.0,,7401007.0
Các cam kết khác,Các cam kết ngoại bảng > Các cam kết khác,Các cam kết khác,26.162.084,-,26.162.084,26162084.0,,26162084.0
Lãi cho vay và phí phải thu chưa thu được,Các cam kết ngoại bảng > Lãi cho vay và phí phải thu chưa thu được,Lãi cho vay và phí phải thu chưa thu được,3.100.597,-,3.100.597,3100597.0,,3100597.0
Nợ khó đòi đã xử lý,Các cam kết ngoại bảng > Nợ khó đòi đã xử lý,Nợ khó đòi đã xử lý,12.960.000,-,12.960.000,12960000.0,,12960000.0
Tài sản và chứng từ khác,Các cam kết ngoại bảng > Tài sản và chứng từ khác,Tài sản và chứng từ khác,25.777.259,-,25.777.259,25777259.0,,25777259.0
