row_label_raw,row_label_full,STT,"Tên công ty liên kết, liên doanh",Trụ sở chính,Tỷ lệ phần sở hữu (%),Tỷ lệ quyền biểu quyết (%),Hoạt động chính,"numeric__Tên công ty liên kết, liên doanh",numeric__Trụ sở chính,numeric__Tỷ lệ phần sở hữu (%),numeric__Tỷ lệ quyền biểu quyết (%),numeric__Hoạt động chính
,,,Công ty liên doanh,Công ty liên doanh,Công ty liên doanh,Công ty liên doanh,Công ty liên doanh,,,,,
1.,1.,1.,Công ty TNHH Kính nổi Việt Nam (VFG) (*),Bắc Ninh,"35,29%","35,29%",Sản xuất và kinh doanh kính,,,0.3529,0.3529,
2.,2.,2.,Công ty SANVIG - CTCP,Cuba,"21,43%","50,00%","Sản xuất và kinh doanh sử vệ sinh, gạch ốp lát",,,0.2143,0.5,
,,,Công ty liên kết trực tiếp,Công ty liên kết trực tiếp,Công ty liên kết trực tiếp,Công ty liên kết trực tiếp,Công ty liên kết trực tiếp,,,,,
3.,3.,3.,Công ty Cổ phần Gạch ngói Từ Sơn,Bắc Ninh,"24,93%","24,93%",Sản xuất và kinh doanh gạch ngói đất sét nung,,,0.2493,0.2493,
4.,4.,4.,Công ty Cổ phần Gốm xây dựng Yên Hưng (**),Quảng Ninh,"26,00%","26,00%",Sản xuất và kinh doanh gạch ngói đất sét nung,,,0.26,0.26,
5.,5.,5.,Công ty Cổ phần Đầu tư và Xuất nhập khẩu Viglacera,Hà Nội,"25,00%","25,00%",Kinh doanh xuất nhập khẩu,,,0.25,0.25,
6.,6.,6.,Công ty Cổ phần Gạch chịu lửa Viglacera Cầu Đường,Hà Nội,"25,00%","25,00%",Sản xuất và kinh doanh gạch chịu lửa,,,0.25,0.25,
,,,Công ty liên kết gián tiếp,Công ty liên kết gián tiếp,Công ty liên kết gián tiếp,Công ty liên kết gián tiếp,Công ty liên kết gián tiếp,,,,,
7.,7.,7.,Công ty Magno GMBH,Cộng hòa Liên bang Đức,"22,87%","30,00%",Thương mại,,,0.22870000000000001,0.3,
8.,8.,8.,Công ty Cổ phần Vinafacade,Hà Nội,"18,02%","20,86%","Kinh doanh, lắp dựng kính xây dựng",,,0.1802,0.2086,
9.,9.,9.,Công ty Cổ phần Viglacera Hạ Long II,Quảng Ninh,"20,19%","40,00%",Sản xuất và kinh doanh gạch ngói,,,0.20190000000000002,0.4,
