row_label_raw,row_label_full,col_0,NGUỒN VỐN,Mã số,Thuyết minh,Số cuối năm,Số đầu năm,numeric__NGUỒN VỐN,numeric__Mã số,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Số đầu năm
C.,C.,C.,NỘ PHẢI TRẢ,300,,3.348.030.896.424,3.790.838.619.074,,300.0,,3348030896424.0,3790838619074.0
I.,I.,I.,Nợ ngắn hạn,310,,3.327.002.972.589,3.771.124.636.797,,310.0,,3327002972589.0,3771124636797.0
1.,1.,1.,Phải trả người bán ngắn hạn,311,14,1.130.188.504.916,1.230.721.486.283,,311.0,14.0,1130188504916.0,1230721486283.0
2.,2.,2.,Người mua trả tiền trước ngắn hạn,312,15,75.684.116.525,116.026.475.921,,312.0,15.0,75684116525.0,116026475921.0
3.,3.,3.,Thuế và các khoản phải nộp Nhà nước,313,16,28.191.984.961,13.084.570.827,,313.0,16.0,28191984961.0,13084570827.0
4.,4.,4.,Phải trả người lao động,314,,102.292.690.328,143.493.578.468,,314.0,,102292690328.0,143493578468.0
5.,5.,5.,Chi phí phải trả ngắn hạn,315,17,10.635.740.111,6.806.791.565,,315.0,17.0,10635740111.0,6806791565.0
6.,6.,6.,Doanh thu chưa thực hiện ngắn hạn,318,18,132.430.538.991,121.084.421.294,,318.0,18.0,132430538991.0,121084421294.0
7.,7.,7.,Phải trả ngắn hạn khác,319,19,223.151.050.239,402.124.385.993,,319.0,19.0,223151050239.0,402124385993.0
8.,8.,8.,Vay ngắn hạn,320,20,1.511.389.960.951,1.578.035.584.184,,320.0,20.0,1511389960951.0,1578035584184.0
9.,9.,9.,Dự phòng phải trả ngắn hạn,321,21,922.267.989,1.644.732.923,,321.0,21.0,922267989.0,1644732923.0
10.,10.,10.,"Quỹ khen thưởng, phúc lợi",322,,112.116.117.578,158.102.609.339,,322.0,,112116117578.0,158102609339.0
II.,II.,II.,Nợ dài hạn,330,,21.027.923.835,19.713.982.277,,330.0,,21027923835.0,19713982277.0
1.,1.,1.,Thuế thu nhập hoãn lại phải trả,341,30,276.070.093,356.387.455,,341.0,30.0,276070093.0,356387455.0
2.,2.,2.,Dự phòng phải trả dài hạn,342,21,20.751.853.742,19.357.594.822,,342.0,21.0,20751853742.0,19357594822.0
D.,D.,D.,VỐN CHỦ SỞ HỮU,400,,4.875.324.777.724,4.832.911.358.204,,400.0,,4875324777724.0,4832911358204.0
I.,I.,I.,Vốn chủ sở hữu,410,22,4.875.324.777.724,4.832.911.358.204,,410.0,22.0,4875324777724.0,4832911358204.0
1.,1.,1.,Vốn góp của chủ sở hữu,411,,3.815.899.110.000,3.815.899.110.000,,411.0,,3815899110000.0,3815899110000.0
,,,- Cổ phiếu phố thông có quyền biểu quyết,411a,,3.815.899.110.000,3.815.899.110.000,,,,3815899110000.0,3815899110000.0
2.,2.,2.,Thặng dư vốn cổ phần,412,,70.877.131.506,70.877.131.506,,412.0,,70877131506.0,70877131506.0
3.,3.,3.,Quỹ đầu tư phát triển,418,,918.345.539.128,918.345.539.128,,418.0,,918345539128.0,918345539128.0
4.,4.,4.,Lợi nhuận sau thuế chưa phân phối,421,,60.446.262.724,18.249.082.255,,421.0,,60446262724.0,18249082255.0
,,,- Lợi nhuận sau thuế chưa phân phối đến cuối năm trước,421a,,300.082.255,521.136.598,,,,300082255.0,521136598.0
,,,- Lợi nhuận sau thuế chưa phân phối năm nay,421b,,60.146.180.469,17.727.945.657,,,,60146180469.0,17727945657.0
5.,5.,5.,Lợi ích cổ đông không kiểm soát,429,,9.756.734.366,9.540.495.315,,429.0,,9756734366.0,9540495315.0
,,,TỔNG CÔNG NGUỒN VỐN (440=300+400),440,,8.223.355.674.148,8.623.749.977.278,,440.0,,8223355674148.0,8623749977278.0
