row_label_raw,row_label_full,STT,Tên,Địa chỉ,Ngành nghề chính,Tỷ lệ quyền biểu quyết,Tỷ lệ vốn góp trực tiếp,Tỷ lệ lợi ích,numeric__Tên,numeric__Địa chỉ,numeric__Ngành nghề chính,numeric__Tỷ lệ quyền biểu quyết,numeric__Tỷ lệ vốn góp trực tiếp,numeric__Tỷ lệ lợi ích
1.,1.,1.,Công ty Cổ phần Sonadezi An Bình,"Số 113-116 Lô C2, Đường 9, Khu dân cư An Bình, TP. Biên Hòa, Tĩnh Đồng Nai","Đầu tư xây dựng, kinh doanh bất động sản, cho thuê Khu công nghiệp, xây dựng công trình","60,44%","37,95%","49,46%",,,,0.6043999999999999,0.3795,0.4946
2.,2.,2.,Công ty Cổ phần Dịch vụ Sonadezi,"Tầng 8, Tòa nhà Sonadezi, Số 1, Đường 1, KCN Biên Hòa 1, P. An Bình, TP. Biên Hòa, Tĩnh Đồng Nai","Xử lý nước thải, chất thải nguy hại và không nguy hại","49,00%","20,00%","36,77%",,,,0.49,0.2,0.3677
3.,3.,3.,Công ty Cổ phần Sonadezi Châu Đức,"Tầng 9, Tòa nhà Sonadezi, Số 1, Đường 1, KCN Biên Hòa 1, P. An Bình, TP. Biên Hòa, Tĩnh Đồng Nai","Đầu tư hạ tầng khu công nghiệp, cụm công nghiệp, khu dân cư","59,12%","46,84%","53,30%",,,,0.5912,0.46840000000000004,0.5329999999999999
1.6. Các công ty liên kết quan trọng được phản ánh trong báo cáo tài chính hợp nhất theo phương pháp vốn chủ sở hữu,1.6. Các công ty liên kết quan trọng được phản ánh trong báo cáo tài chính hợp nhất theo phương pháp vốn chủ sở hữu,1.6. Các công ty liên kết quan trọng được phản ánh trong báo cáo tài chính hợp nhất theo phương pháp vốn chủ sở hữu,1.6. Các công ty liên kết quan trọng được phản ánh trong báo cáo tài chính hợp nhất theo phương pháp vốn chủ sở hữu,1.6. Các công ty liên kết quan trọng được phản ánh trong báo cáo tài chính hợp nhất theo phương pháp vốn chủ sở hữu,1.6. Các công ty liên kết quan trọng được phản ánh trong báo cáo tài chính hợp nhất theo phương pháp vốn chủ sở hữu,1.6. Các công ty liên kết quan trọng được phản ánh trong báo cáo tài chính hợp nhất theo phương pháp vốn chủ sở hữu,1.6. Các công ty liên kết quan trọng được phản ánh trong báo cáo tài chính hợp nhất theo phương pháp vốn chủ sở hữu,1.6. Các công ty liên kết quan trọng được phản ánh trong báo cáo tài chính hợp nhất theo phương pháp vốn chủ sở hữu,,,,,,
Các Công ty liên kết trực tiếp:,Các Công ty liên kết trực tiếp:,Các Công ty liên kết trực tiếp:,Các Công ty liên kết trực tiếp:,Các Công ty liên kết trực tiếp:,Các Công ty liên kết trực tiếp:,Các Công ty liên kết trực tiếp:,Các Công ty liên kết trực tiếp:,Các Công ty liên kết trực tiếp:,,,,,,
STT,STT,STT,Tên,Địa chỉ,Ngành nghề chính,Tỷ lệ quyền biểu quyết,Tỷ lệ vốn góp,Tỷ lệ lợi ích,,,,,,
1.,STT > 1.,1.,Công ty Cổ phần Xây dựng Đồng Nai,"9 Huỳnh Văn Nghệ, P. Bửu Long, TP. Biên Hòa, Tĩnh Đồng Nai",Xây dựng công trình,"40,00%","40,00%","40,00%",,,,0.4,0.4,0.4
2.,STT > 2.,2.,Công ty Cổ phần Sơn Đồng Nai,"Đường 7, KCN Biên Hòa 1, P. An Bình, TP. Biên Hòa, Tĩnh Đồng Nai","Sản xuất kinh doanh sản phẩm về sơn, keo","30,00%","30,00%","30,00%",,,,0.3,0.3,0.3
3.,STT > 3.,3.,Công ty Cổ phần Xây dựng Dân dụng Công nghiệp Số 1- Đồng Nai,"15 Đồng Khởi, P. Tân Tiến, TP. Biên Hòa, Tĩnh Đồng Nai",Xây dựng công trình và sản xuất gạch ngói,"20,00%","20,00%","20,00%",,,,0.2,0.2,0.2
4.,STT > 4.,4.,Trường Cao đẳng Công nghệ và Quản trị Sonadezi,"Số 1, Đường 6A, KCN Biên Hòa 2, TP. Biên Hòa, Tĩnh Đồng Nai",Giáo dục - Đào tạo - Dịch vụ,"40,00%","40,00%","40,00%",,,,0.4,0.4,0.4
