row_label_raw,row_label_full,Chỉ tiêu,Dịch vụ > VND,Bán hàng > VND,Khác > VND,Tổng cộng > VND,numeric__Dịch vụ > VND,numeric__Bán hàng > VND,numeric__Khác > VND,numeric__Tổng cộng > VND
KẾT QUẢ KINH DOANH,KẾT QUẢ KINH DOANH,KẾT QUẢ KINH DOANH,KẾT QUẢ KINH DOANH,KẾT QUẢ KINH DOANH,KẾT QUẢ KINH DOANH,KẾT QUẢ KINH DOANH,,,,
Doanh thu thuần từ bán hàng và cung cấp dịch vụ ra bên ngoài,KẾT QUẢ KINH DOANH > Doanh thu thuần từ bán hàng và cung cấp dịch vụ ra bên ngoài,Doanh thu thuần từ bán hàng và cung cấp dịch vụ ra bên ngoài,12.368.658.080.389,1.404.403.177.442,57.153.762.224,13.830.215.020.055,12368658080389.0,1404403177442.0,57153762224.0,13830215020055.0
Tổng Doanh thu thuần từ bán hàng và cung cấp dịch vụ ra bên ngoài,KẾT QUẢ KINH DOANH > Tổng Doanh thu thuần từ bán hàng và cung cấp dịch vụ ra bên ngoài,Tổng Doanh thu thuần từ bán hàng và cung cấp dịch vụ ra bên ngoài,12.368.658.080.389,1.404.403.177.442,57.153.762.224,13.830.215.020.055,12368658080389.0,1404403177442.0,57153762224.0,13830215020055.0
Chỉ phí bộ phận,Chỉ phí bộ phận,Chỉ phí bộ phận,,,,,,,,
- Giá vốn hàng bán,Chỉ phí bộ phận > - Giá vốn hàng bán,- Giá vốn hàng bán,7.232.030.448.030,934.280.644.267,16.033.474.084,8.182.344.566.381,7232030448030.0,934280644267.0,16033474084.0,8182344566381.0
- Chi phí bán hàng,Chỉ phí bộ phận > - Chi phí bán hàng,- Chi phí bán hàng,-,293.254.169.925,-,293.254.169.925,,293254169925.0,,293254169925.0
Kết quả kinh doanh theo bộ phận,Chỉ phí bộ phận > Kết quả kinh doanh theo bộ phận,Kết quả kinh doanh theo bộ phận,5.136.627.632.359,176.868.363.250,41.120.288.140,5.354.616.283.749,5136627632359.0,176868363250.0,41120288140.0,5354616283749.0
Các chỉ phí không phân bổ theo bộ phận,Các chỉ phí không phân bổ theo bộ phận,Các chỉ phí không phân bổ theo bộ phận,Các chỉ phí không phân bổ theo bộ phận,Các chỉ phí không phân bổ theo bộ phận,Các chỉ phí không phân bổ theo bộ phận,Các chỉ phí không phân bổ theo bộ phận,,,,
Chỉ phí quản lý doanh nghiệp,Các chỉ phí không phân bổ theo bộ phận > Chỉ phí quản lý doanh nghiệp,Chỉ phí quản lý doanh nghiệp,,,,808.621.588.698,,,,808621588698.0
Doanh thu hoạt động tài chính,Các chỉ phí không phân bổ theo bộ phận > Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,,,,1.121.661.214.511,,,,1121661214511.0
Chi phí tài chính,Các chỉ phí không phân bổ theo bộ phận > Chi phí tài chính,Chi phí tài chính,,,,606.234.236.094,,,,606234236094.0
Thu nhập khác,Các chỉ phí không phân bổ theo bộ phận > Thu nhập khác,Thu nhập khác,,,,27.520.800.657,,,,27520800657.0
Chi phí khác,Các chỉ phí không phân bổ theo bộ phận > Chi phí khác,Chi phí khác,,,,2.391.829.786,,,,2391829786.0
"Lãi trong công ty liên doanh, liên kết","Các chỉ phí không phân bổ theo bộ phận > Lãi trong công ty liên doanh, liên kết","Lãi trong công ty liên doanh, liên kết",,,,256.923.198.656,,,,256923198656.0
Chi phí thuế thu nhập doanh nghiệp hiện hành,Các chỉ phí không phân bổ theo bộ phận > Chi phí thuế thu nhập doanh nghiệp hiện hành,Chi phí thuế thu nhập doanh nghiệp hiện hành,,,,1.051.976.137.429,,,,1051976137429.0
Chi phí thuế thu nhập doanh nghiệp hoãn lại,Các chỉ phí không phân bổ theo bộ phận > Chi phí thuế thu nhập doanh nghiệp hoãn lại,Chi phí thuế thu nhập doanh nghiệp hoãn lại,,,,169.777.526.995,,,,169777526995.0
Lợi nhuận sau thuế thu nhập doanh nghiệp,Các chỉ phí không phân bổ theo bộ phận > Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,,,,4.121.720.178.571,,,,4121720178571.0
Tài sản không phân bổ theo bộ phận,Các chỉ phí không phân bổ theo bộ phận > Tài sản không phân bổ theo bộ phận,Tài sản không phân bổ theo bộ phận,,,,49.162.925.380.362,,,,49162925380362.0
Nợ phải trả không phân bổ theo bộ phận,Các chỉ phí không phân bổ theo bộ phận > Nợ phải trả không phân bổ theo bộ phận,Nợ phải trả không phân bổ theo bộ phận,,,,21.778.430.131.363,,,,21778430131363.0
