row_label_raw,row_label_full,Bên liên quan,Mối quan hệ,Nội dung nghiệp vụ,Số cuối năm,Số đầu năm,numeric__Mối quan hệ,numeric__Nội dung nghiệp vụ,numeric__Số cuối năm,numeric__Số đầu năm
Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,,,,
BIDICI,Phải trả ngắn hạn khác > BIDICI,BIDICI,Công ty liên kết,Mượn tiền,1.096.250.000.000,-,,,1096250000000.0,
KCN Phát Đạt,Phải trả ngắn hạn khác > KCN Phát Đạt,KCN Phát Đạt,Công ty con Tổng,Mượn tiền Đặt cọc,461.200.000.000,-,,,461200000000.0,
Ông Bùi Quang Anh Vũ,Phải trả ngắn hạn khác > Ông Bùi Quang Anh Vũ,Ông Bùi Quang Anh Vũ,Giám đốc,mua sản phẩm,800.000.000,-,,,800000000.0,
Bà Trần Thị Hường,Phải trả ngắn hạn khác > Bà Trần Thị Hường,Bà Trần Thị Hường,Phó Chủ tịch HDQT,Đặt cọc mua sản phẩm,800.000.000,-,,,800000000.0,
Ông Lê Quang Phúc,Phải trả ngắn hạn khác > Ông Lê Quang Phúc,Ông Lê Quang Phúc,Thành viên HDQT,Đặt cọc mua sản phẩm,800.000.000,-,,,800000000.0,
Ông Lê Minh Dũng,Phải trả ngắn hạn khác > Ông Lê Minh Dũng,Ông Lê Minh Dũng,Thành viên độc lập HDQT,Đặt cọc mua sản phẩm,800.000.000,-,,,800000000.0,
Ông Nguyễn Thanh Thảo,Phải trả ngắn hạn khác > Ông Nguyễn Thanh Thảo,Ông Nguyễn Thanh Thảo,Phó Tổng Giám đốc,Đặt cọc mua sản phẩm,800.000.000,-,,,800000000.0,
Ông Trần Trọng Gia Vinh,Phải trả ngắn hạn khác > Ông Trần Trọng Gia Vinh,Ông Trần Trọng Gia Vinh,Thành viên độc lập HDQT,Đặt cọc mua sản phẩm,400.000.000,-,,,400000000.0,
Ông Nguyễn Văn Đạt,Phải trả ngắn hạn khác > Ông Nguyễn Văn Đạt,Ông Nguyễn Văn Đạt,Chủ tịch,Mượn tiền,108.150.229,-,,,108150229.0,
