row_label_raw,row_label_full,col_0,Vốn cổ phần VND,Thăng dư vốn cổ phần VND,Vốn khác VND,Cổ phiếu quỹ VND,Chính lệch đánh giá lại tài sản (i) VND,Chính lệch tỷ giá hối đoai VND,Quỹ đầu tư phát triển VND,Quỹ khác thuộc vốn chủ sở hữu VND,Lợi nhuận sau thuế chưa phân phối VND,Lợi ích cổ đông không kiểm soát VND,Tổng cộng VND,numeric__Vốn cổ phần VND,numeric__Thăng dư vốn cổ phần VND,numeric__Vốn khác VND,numeric__Cổ phiếu quỹ VND,numeric__Chính lệch đánh giá lại tài sản (i) VND,numeric__Chính lệch tỷ giá hối đoai VND,numeric__Quỹ đầu tư phát triển VND,numeric__Quỹ khác thuộc vốn chủ sở hữu VND,numeric__Lợi nhuận sau thuế chưa phân phối VND,numeric__Lợi ích cổ đông không kiểm soát VND,numeric__Tổng cộng VND
Các biển động khác về vốn chủ sở hữu,Các biển động khác về vốn chủ sở hữu,Các biển động khác về vốn chủ sở hữu,-,-,(1.888.128.501),-,-,-,(2.849.941.552),(303.129.567),(8.459.500.695),2.784.616.163,(10.716.084.152),,,-1888128501.0,,,,-2849941552.0,-303129567.0,-8459500695.0,2784616163.0,-10716084152.0
Số dư tại ngày 1/1/2021,Số dư tại ngày 1/1/2021,Số dư tại ngày 1/1/2021,12.938.780.810.000,4.988.376.126.792,1.100.577.568.826,(750.648.460.000),(1.294.725.514.734),11.897.784.906,1.296.851.347.862,111.216.212.958,2.760.573.038.032,2.963.503.552.139,24.126.402.466.781,12938780810000.0,4988376126792.0,1100577568826.0,-750648460000.0,-1294725514734.0,11897784906.0,1296851347862.0,111216212958.0,2760573038032.0,2963503552139.0,24126402466781.0
Phát hành cổ phiếu ở công ty con,Phát hành cổ phiếu ở công ty con,Phát hành cổ phiếu ở công ty con,-,-,-,-,-,-,-,-,-,37.345.057.000,37.345.057.000,,,,,,,,,,37345057000.0,37345057000.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,-,-,-,2.838.904.272.857,284.829.906.866,3.123.734.179.723,,,,,,,,,2838904272857.0,284829906866.0,3123734179723.0
Cổ tức (Thuyết minh 26),Cổ tức (Thuyết minh 26),Cổ tức (Thuyết minh 26),-,-,-,-,-,-,-,-,(1.522.575.882.000),(115.025.911.921),(1.637.601.793.921),,,,,,,,,-1522575882000.0,-115025911921.0,-1637601793921.0
Phân bổ vào các quỹ,Phân bổ vào các quỹ,Phân bổ vào các quỹ,-,-,-,-,-,-,331.118.682.341,24.742.587,(331.143.424.928),-,-,,,,,,,331118682341.0,24742587.0,-331143424928.0,,
"Phân bổ vào quỹ khên thưởng, phúc lợi","Phân bổ vào quỹ khên thưởng, phúc lợi","Phân bổ vào quỹ khên thưởng, phúc lợi",-,-,-,-,-,-,-,-,(251.934.699.874),(44.141.412.978),(296.076.112.852),,,,,,,,,-251934699874.0,-44141412978.0,-296076112852.0
Chênh lệch ty giá hồi đoai phát sinh do việc quy đổi các hoạt động ở nước ngoài,Chênh lệch ty giá hồi đoai phát sinh do việc quy đổi các hoạt động ở nước ngoài,Chênh lệch ty giá hồi đoai phát sinh do việc quy đổi các hoạt động ở nước ngoài,-,-,-,-,-,8.616.384.354,(846.254.425),(2.481.728.965),-,-,5.288.400.964,,,,,,8616384354.0,-846254425.0,-2481728965.0,,,5288400964.0
Bán cổ phiếu quỹ,Bán cổ phiếu quỹ,Bán cổ phiếu quỹ,-,2.370.683.190.625,1.715.367.806,517.790.000.000,-,-,-,-,-,13.296.199.215,2.903.484.757.646,,2370683190625.0,1715367806.0,517790000000.0,,,,,,13296199215.0,2903484757646.0
Công ty liên kết trích quỹ từ lợi nhuận chưa phân phối,Công ty liên kết trích quỹ từ lợi nhuận chưa phân phối,Công ty liên kết trích quỹ từ lợi nhuận chưa phân phối,-,-,-,-,-,-,10.361.118.432,10.598.145.339,(20.959.263.771),-,-,,,,,,,10361118432.0,10598145339.0,-20959263771.0,,
Các biển động khác về vốn chủ sở hữu,Các biển động khác về vốn chủ sở hữu,Các biển động khác về vốn chủ sở hữu,-,-,-,-,-,-,-,(118.215.897),717.518.380,(2.984.685.765),(2.385.383.282),,,,,,,,-118215897.0,717518380.0,-2984685765.0,-2385383282.0
Số dư tại ngày 31/12/2021,Số dư tại ngày 31/12/2021,Số dư tại ngày 31/12/2021,12.938.780.810.000,7.359.059.317.417,1.102.292.936.632,(232.858.460.000),(1.294.725.514.734),20.514.169.260,1.637.484.894.210,119.239.156.022,3.473.581.558.696,3.136.822.704.556,28.260.191.572.059,12938780810000.0,7359059317417.0,1102292936632.0,-232858460000.0,-1294725514734.0,20514169260.0,1637484894210.0,119239156022.0,3473581558696.0,3136822704556.0,28260191572059.0
