row_label_raw,row_label_full,STT,Tên công ty,Địa chỉ,Hoạt động chính,31/12/2021,31/12/2021_1,1/1/2021,1/1/2021_1,numeric__Tên công ty,numeric__Địa chỉ,numeric__Hoạt động chính,numeric__31/12/2021,numeric__31/12/2021_1,numeric__1/1/2021,numeric__1/1/2021_1
STT,STT,STT,Tên công ty,Địa chỉ,Hoạt động chính,Tỷ lệ biểu quyết,Tỷ lệ sở hữu,Tỷ lệ biểu quyết,Tỷ lệ sở hữu,,,,,,,
1,STT > 1,1,Tổng Công ty Vận tải thủy Petrolimex,Hà Nội,Vận tải xăng dầu,100%,100%,100%,100%,,,,1.0,1.0,1.0,1.0
,,,Công ty TNHH Liên doanh Kho Ngoại quan,,,,,,,,,,,,,
2,STT > 2,2,Xăng dầu Vân Phong,Khánh Hòa,"Lưu trữ, mua bán xăng tại cửa khấu",85%,85%,85%,85%,,,,0.85,0.85,0.85,0.85
3,STT > 3,3,Tổng Công ty Hóa dầu Petrolimex – CTCP,Hà Nội,Kinh doanh các sản phẩm từ hóa dầu,79%,79%,79%,79%,,,,0.79,0.79,0.79,0.79
4,STT > 4,4,Tổng Công ty Dịch vụ Xăng dầu Petrolimex,Hà Nội,Vận tải xăng dầu,100%,100%,100%,100%,,,,1.0,1.0,1.0,1.0
5,STT > 5,5,Tổng Công ty Gas Petrolimex – CTCP,Hà Nội,Mua bán sản phẩm gas,52%,52%,52%,52%,,,,0.52,0.52,0.52,0.52
6,STT > 6,6,Công ty TNHH MTV Petrolimex Singapore,Singapore,Kinh doanh xăng dầu,100%,100%,100%,100%,,,,1.0,1.0,1.0,1.0
,,,,,Cung cấp nhiên liệu bay cho các hăng hàng không,59%,59%,59%,59%,,,,0.59,0.59,0.59,0.59
7,STT > 7,7,Công ty Cổ phần Nhiên liệu bay Petrolimex,Hà Nội,Kinh doanh xăng dầu,100%,100%,100%,100%,,,,1.0,1.0,1.0,1.0
8,STT > 8,8,Công ty TNHH MTV Petrolimex Lào,Lào,Kinh doanh xăng dầu,51%,51%,51%,51%,,,,0.51,0.51,0.51,0.51
9,STT > 9,9,Công ty TNHH Xăng dầu Kiên Giang,Kiên Giang,Kinh doanh dịch vụ vận tải,89%,58%,89%,58%,,,,0.89,0.58,0.89,0.58
10,STT > 10,10,Công ty Cổ phần Vận tải Hóa dầu VP,Hải Phòng,"Sản xuất, kinh doanh nước đá, hải sản dông lạnh",92%,92%,92%,92%,,,,0.92,0.92,0.92,0.92
11,STT > 11,11,Công ty TNHH Thương mại Dịch vụ Hải Châu,TP. Hồ Chí Minh,"Sản xuất, kinh doanh nước đá, hải sản dông lạnh",63%,63%,63%,63%,,,,0.63,0.63,0.63,0.63
12,STT > 12,12,Công ty Thương mại Dịch vụ Cái Bè,Tiền Giang,"Kinh doanh xây lắp, vận tải, bất động sản, công nghệ thông tin, thương mại và dịch vụ xăng dầu",100%,100%,100%,100%,,,,1.0,1.0,1.0,1.0
