row_label_raw,row_label_full,col_0,Ngày 31 tháng 12năm 2015,Đơn vị tính: VNDNgày 31 tháng 12năm 2014,numeric__Ngày 31 tháng 12năm 2015,numeric__Đơn vị tính: VNDNgày 31 tháng 12năm 2014
"Dự án nhà làm việc, khách sạn cao tầng (*)","Dự án nhà làm việc, khách sạn cao tầng (*)","Dự án nhà làm việc, khách sạn cao tầng (*)",53.520.139.579,49.570.399.578,53520139579.0,49570399578.0
Dự án trung tâm thương mại Đền Đô (**),Dự án trung tâm thương mại Đền Đô (**),Dự án trung tâm thương mại Đền Đô (**),41.367.865.599,615.503.962,41367865599.0,615503962.0
Dự án lợn giống Dabaco Hải Phòng,Dự án lợn giống Dabaco Hải Phòng,Dự án lợn giống Dabaco Hải Phòng,25.454.545.000,-,25454545000.0,
Dự án khu xử lý môi trường tập trung Khắc Niệm,Dự án khu xử lý môi trường tập trung Khắc Niệm,Dự án khu xử lý môi trường tập trung Khắc Niệm,20.621.601.681,7.325.522.754,20621601681.0,7325522754.0
Dự án đường Bách Môn - Lạc Vệ,Dự án đường Bách Môn - Lạc Vệ,Dự án đường Bách Môn - Lạc Vệ,16.046.360.705,7.128.883.433,16046360705.0,7128883433.0
Dự án cảng Dabaco,Dự án cảng Dabaco,Dự án cảng Dabaco,17.930.722.727,1.065.352.727,17930722727.0,1065352727.0
Dự án hệ thống chuống trại gà Dabaco Phú Thọ,Dự án hệ thống chuống trại gà Dabaco Phú Thọ,Dự án hệ thống chuống trại gà Dabaco Phú Thọ,15.474.341.705,8.083.165.090,15474341705.0,8083165090.0
Dự án giống lợn Dabaco Hà Nam,Dự án giống lợn Dabaco Hà Nam,Dự án giống lợn Dabaco Hà Nam,6.101.394.727,-,6101394727.0,
Dự án siêu thị Thuận Thành,Dự án siêu thị Thuận Thành,Dự án siêu thị Thuận Thành,8.838.078.202,8.759.937.500,8838078202.0,8759937500.0
Dự án nhà máy sân xuất con giống công nghệ cao,Dự án nhà máy sân xuất con giống công nghệ cao,Dự án nhà máy sân xuất con giống công nghệ cao,7.804.228.001,-,7804228001.0,
Dự án mở rộng văn phòng Công ty,Dự án mở rộng văn phòng Công ty,Dự án mở rộng văn phòng Công ty,6.811.456.800,6.000.000.000,6811456800.0,6000000000.0
Dự án hệ thống chuống trại gà Yên Thế,Dự án hệ thống chuống trại gà Yên Thế,Dự án hệ thống chuống trại gà Yên Thế,6.898.511.790,5.054.179.455,6898511790.0,5054179455.0
Dự án kho nguyên liệu Hạp Lĩnh,Dự án kho nguyên liệu Hạp Lĩnh,Dự án kho nguyên liệu Hạp Lĩnh,-,18.391.456.726,,18391456726.0
Dự án bệnh viện Dabaco,Dự án bệnh viện Dabaco,Dự án bệnh viện Dabaco,-,14.612.491.687,,14612491687.0
Dự án trung tâm thương mại Dabaco Gia Bình,Dự án trung tâm thương mại Dabaco Gia Bình,Dự án trung tâm thương mại Dabaco Gia Bình,-,11.091.164.726,,11091164726.0
Dự án xí nghiệp gà hậu bị siêu trứng,Dự án xí nghiệp gà hậu bị siêu trứng,Dự án xí nghiệp gà hậu bị siêu trứng,-,6.004.052.727,,6004052727.0
Các dự án khác,Các dự án khác,Các dự án khác,263.631.798,1.652.811.798,263631798.0,1652811798.0
TỔNG CỔNG,TỔNG CỔNG,TỔNG CỔNG,227.132.878.314,145.354.922.163,227132878314.0,145354922163.0
