row_label_raw,row_label_full,14. Tài sản có khác,14. Tài sản có khác_1,14. Tài sản có khác_2,numeric__14. Tài sản có khác_1,numeric__14. Tài sản có khác_2
,,,31/12/2021,31/12/2020,,
1. Chi phí xây dựng cơ bản dở dang,1. Chi phí xây dựng cơ bản dở dang,1. Chi phí xây dựng cơ bản dở dang,6.750,7.681,6750.0,7681.0
2. Mua sắm tài sản cố định,2. Mua sắm tài sản cố định,2. Mua sắm tài sản cố định,12.371,7.258,12371.0,7258.0
3. Các khoản phải thu,3. Các khoản phải thu,3. Các khoản phải thu,105.159,95.357,105159.0,95357.0
4. Tài sản có khác,4. Tài sản có khác,4. Tài sản có khác,5.251,54.417,5251.0,54417.0
Cộng,Cộng,Cộng,129.531,164.713,129531.0,164713.0
14.1 Chi phí xây dựng cơ bản dở dang,14.1 Chi phí xây dựng cơ bản dở dang,14.1 Chi phí xây dựng cơ bản dở dang,31/12/2021,31/12/2020,,
Trong đó:,Trong đó:,Trong đó:,,,,
- Những công trình lớn,Trong đó: > - Những công trình lớn,- Những công trình lớn,6.750,7.681,6750.0,7681.0
Xây dựng mới chi nhánh Hà Nội,Trong đó: > Xây dựng mới chi nhánh Hà Nội,Xây dựng mới chi nhánh Hà Nội,823,823,823.0,823.0
Xây dựng mới chi nhánh Đống Đa,Trong đó: > Xây dựng mới chi nhánh Đống Đa,Xây dựng mới chi nhánh Đống Đa,-,1.774,,1774.0
Đất 50 Nguyễn Tất Thành Daklak,Trong đó: > Đất 50 Nguyễn Tất Thành Daklak,Đất 50 Nguyễn Tất Thành Daklak,4.142,4.142,4142.0,4142.0
Sửa chữa nhà 2C Phó Đức Chính,Trong đó: > Sửa chữa nhà 2C Phó Đức Chính,Sửa chữa nhà 2C Phó Đức Chính,885,-,885.0,
Khác,Trong đó: > Khác,Khác,900,942,900.0,942.0
Cộng,Trong đó: > Cộng,Cộng,6.750,7.681,6750.0,7681.0
14.2 Mua sắm tài sản cố định,14.2 Mua sắm tài sản cố định,14.2 Mua sắm tài sản cố định,31/12/2021,31/12/2020,,
Trong đó:,Trong đó:,Trong đó:,,,,
36 máy ATM,Trong đó: > 36 máy ATM,36 máy ATM,476,2.564,476.0,2564.0
Năng cấp phần mềm Oracle và Module Trade Finance,Trong đó: > Năng cấp phần mềm Oracle và Module Trade Finance,Năng cấp phần mềm Oracle và Module Trade Finance,4.345,-,4345.0,
Phần mềm thanh toán liên ngân hàng,Trong đó: > Phần mềm thanh toán liên ngân hàng,Phần mềm thanh toán liên ngân hàng,-,204,,204.0
Phần mềm hệ thống quản lý văn bản điện tử,Trong đó: > Phần mềm hệ thống quản lý văn bản điện tử,Phần mềm hệ thống quản lý văn bản điện tử,538,538,538.0,538.0
Phần mềm phòng chống rửa tiền,Trong đó: > Phần mềm phòng chống rửa tiền,Phần mềm phòng chống rửa tiền,2.971,3.035,2971.0,3035.0
Phần mềm hóa đơn điện tử,Trong đó: > Phần mềm hóa đơn điện tử,Phần mềm hóa đơn điện tử,286,-,286.0,
Năng cấp hệ thống SAN,Trong đó: > Năng cấp hệ thống SAN,Năng cấp hệ thống SAN,2.838,-,2838.0,
Khác,Trong đó: > Khác,Khác,917,917,917.0,917.0
Cộng,Trong đó: > Cộng,Cộng,12.371,7.258,12371.0,7258.0
14.3 Các khoản phải thu,14.3 Các khoản phải thu,14.3 Các khoản phải thu,31/12/2021,31/12/2020,,
- Các khoản phải thu nội bộ,14.3 Các khoản phải thu > - Các khoản phải thu nội bộ,- Các khoản phải thu nội bộ,10.089,28.176,10089.0,28176.0
"Tham ô, thiếu mất tiền, tài sản thiếu chờ xử lý (*)","14.3 Các khoản phải thu > Tham ô, thiếu mất tiền, tài sản thiếu chờ xử lý (*)","Tham ô, thiếu mất tiền, tài sản thiếu chờ xử lý (*)",-,18.139,,18139.0
Tạm ứng nghiệp vụ,14.3 Các khoản phải thu > Tạm ứng nghiệp vụ,Tạm ứng nghiệp vụ,6.849,5.009,6849.0,5009.0
Các khoản phải thu khác,14.3 Các khoản phải thu > Các khoản phải thu khác,Các khoản phải thu khác,3.240,5.028,3240.0,5028.0
- Các khoản phải thu bên ngoài,14.3 Các khoản phải thu > - Các khoản phải thu bên ngoài,- Các khoản phải thu bên ngoài,95.070,67.181,95070.0,67181.0
Khoản khác chờ Nhà nước thanh toàn (**),14.3 Các khoản phải thu > Khoản khác chờ Nhà nước thanh toàn (**),Khoản khác chờ Nhà nước thanh toàn (**),4.664,4.664,4664.0,4664.0
"Tham ô, thiếu mất tiền, tài sản thiếu chờ xử lý (*)","14.3 Các khoản phải thu > Tham ô, thiếu mất tiền, tài sản thiếu chờ xử lý (*)","Tham ô, thiếu mất tiền, tài sản thiếu chờ xử lý (*)",14.489,-,14489.0,
Các khoản khác,14.3 Các khoản phải thu > Các khoản khác,Các khoản khác,75.917,62.517,75917.0,62517.0
Cộng,14.3 Các khoản phải thu > Cộng,Cộng,105.159,95.357,105159.0,95357.0
