row_label_raw,row_label_full,col_0,"Nhà cửa, vật kiến trúc","Máy móc, thiết bị","Phương tiện vận tải,truyền dẫn","Thiết bị, dụng cụ quản lý",Cộng,"numeric__Nhà cửa, vật kiến trúc","numeric__Máy móc, thiết bị","numeric__Phương tiện vận tải,truyền dẫn","numeric__Thiết bị, dụng cụ quản lý",numeric__Cộng
,,,VND,VND,VND,VND,VND,,,,,
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,11.466.978.282,134.290.000,4.391.510.991,1.612.733.389,17.605.512.662,11466978282.0,134290000.0,4391510991.0,1612733389.0,17605512662.0
"- Thanh lý, nhượng bán","Nguyên giá > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",-,-,(688.567.627),-,(688.567.627),,,-688567627.0,,-688567627.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,11.466.978.282,134.290.000,3.702.943.364,1.612.733.389,16.916.945.035,11466978282.0,134290000.0,3702943364.0,1612733389.0,16916945035.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,11.466.978.282,134.290.000,1.581.034.318,1.463.966.322,14.646.268.922,11466978282.0,134290000.0,1581034318.0,1463966322.0,14646268922.0
- Khấu hao trong năm,Giá trị hao mòn lũy kế > - Khấu hao trong năm,- Khấu hao trong năm,-,-,370.294.344,64.863.636,435.157.980,,,370294344.0,64863636.0,435157980.0
"- Thanh lý, nhượng bán","Giá trị hao mòn lũy kế > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",-,-,(688.567.627),-,(688.567.627),,,-688567627.0,,-688567627.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,11.466.978.282,134.290.000,1.262.761.035,1.528.829.958,14.392.859.275,11466978282.0,134290000.0,1262761035.0,1528829958.0,14392859275.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Tại ngày đầu năm,Giá trị còn lại > Tại ngày đầu năm,Tại ngày đầu năm,-,-,2.810.476.673,148.767.067,2.959.243.740,,,2810476673.0,148767067.0,2959243740.0
Tại ngày cuối năm,Giá trị còn lại > Tại ngày cuối năm,Tại ngày cuối năm,-,-,2.440.182.329,83.903.431,2.524.085.760,,,2440182329.0,83903431.0,2524085760.0
