row_label_raw,row_label_full,col_0,col_1,"Nơi thành lập, đăng ký hoạt động",Lĩnh vực kinh doanh,Tỷ lệ sở hữu trên vốn thực góp (%),Tỷ lệ sở hữu trên vốn thực góp (%)_1,Tỷ lệ sở hữu trên vốn điều lệ đăng ký (%),Tỷ lệ sở hữu trên vốn điều lệ đăng ký (%)_1,numeric__col_1,"numeric__Nơi thành lập, đăng ký hoạt động",numeric__Lĩnh vực kinh doanh,numeric__Tỷ lệ sở hữu trên vốn thực góp (%),numeric__Tỷ lệ sở hữu trên vốn thực góp (%)_1,numeric__Tỷ lệ sở hữu trên vốn điều lệ đăng ký (%),numeric__Tỷ lệ sở hữu trên vốn điều lệ đăng ký (%)_1
,,,,"Nơi thành lập, đăng ký hoạt động",Lĩnh vực kinh doanh,Số cuối năm,Số đầu năm,Số cuối năm,Số đầu năm,,,,,,,
a),a),a),Công ty con đang hoạt động,Công ty con đang hoạt động,Công ty con đang hoạt động,Công ty con đang hoạt động,Công ty con đang hoạt động,Công ty con đang hoạt động,Công ty con đang hoạt động,,,,,,,
,,,1. Công ty Cổ phần Thủy điện Gia Lai,Tỉnh Gia Lai,Sản xuất và phân phối điện,"62,53","62,53","62,53","62,53",,,,62.53,62.53,62.53,62.53
,,,2. Công ty TNHH Một thành viên Thủy điện Thương Lộ,Tỉnh Thừa Thiên Huế,Sản xuất và phân phối điện,"100,00","100,00","100,00","100,00",,,,100.0,100.0,100.0,100.0
,,,3. Công ty TNHH Một thành viên Xây lắp và Cơ điện Gia Lai,Tỉnh Gia Lai,Xây dựng các công trình thủy điện vừa và nhỏ; sản xuất bê tông và các sản phẩm từ xỉ măng và thạch cao,"100,00","100,00","100,00","100,00",,,,100.0,100.0,100.0,100.0
,,,4. Công ty Cổ phần Điện TTC Tây Sơn – Bình Định (i),Tỉnh Bình Định,Sản xuất và phân phối điện,-,"100,00",-,"51,00",,,,,100.0,,51.0
,,,5. Công ty Cổ phần Điện Mặt trời TTC Tây Sơn - Bình Định (i),Tỉnh Bình Định,Sản xuất và phân phối điện,-,"100,00",-,"51,00",,,,,100.0,,51.0
,,,6. Công ty Cổ phần Điện TTC Đức Huệ - Long An (ii),Tỉnh Long An,Sản xuất và phân phối điện,"99,94","99,95","99,94","99,95",,,,99.94,99.95,99.94,99.95
,,,7. Công ty Cổ phần Điện Mặt trời TTC Đức Huệ -Long An (ii),Tỉnh Long An,Sản xuất và phân phối điện,-,"99,96",-,"99,96",,,,,99.96,,99.96
,,,8. Công ty TNHH Một thành viên Tư vấn và Phát triển Năng lượng Gia Lai,Tỉnh Gia Lai,Hoạt động kiến trúc và tư vấn kỹ thuật điện có liên quan,"100,00","100,00","100,00","100,00",,,,100.0,100.0,100.0,100.0
,,,9. Công ty Cổ phần Nhà máy Điện Mặt trời Trúc Sơn,Tỉnh Đắk Nông,Sản xuất và phân phối điện,"99,96","99,96","99,96","99,96",,,,99.96,99.96,99.96,99.96
,,,10. Công ty Cổ phần Năng lượng VPL (iii),Tỉnh Bến Tre,Sản xuất và phân phối điện,"92,39","86,57","92,39","86,57",,,,92.39,86.57,92.39,86.57
