row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcTriệu đồng",Máy mócthiết bịTriệu đồng,Phương tiệnvận tảiTriệu đồng,Thiết bị dụng cụquản lýTriệu đồng,KhácTriệu đồng,Tổng cộngTriệu đồng,"numeric__Nhà cửa,vật kiến trúcTriệu đồng",numeric__Máy mócthiết bịTriệu đồng,numeric__Phương tiệnvận tảiTriệu đồng,numeric__Thiết bị dụng cụquản lýTriệu đồng,numeric__KhácTriệu đồng,numeric__Tổng cộngTriệu đồng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Số đầu năm,Nguyên giá > Số đầu năm,Số đầu năm,492.896,458.380,178.267,23.226,7.959,1.160.728,492896.0,458380.0,178267.0,23226.0,7959.0,1160728.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,18.005,51.156,11.110,4.496,2.029,86.796,18005.0,51156.0,11110.0,4496.0,2029.0,86796.0
"Thanh lý, nhượng bán","Nguyên giá > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(423),(1.086),(3.098),(566),(247),(5.420),-423.0,-1086.0,-3098.0,-566.0,-247.0,-5420.0
Số cuối năm,Nguyên giá > Số cuối năm,Số cuối năm,510.478,508.450,186.279,27.156,9.741,1.242.104,510478.0,508450.0,186279.0,27156.0,9741.0,1242104.0
Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,,,,,,
Số đầu năm,Giá trị khấu hao lũy kế > Số đầu năm,Số đầu năm,109.109,350.194,127.391,17.517,5.010,609.221,109109.0,350194.0,127391.0,17517.0,5010.0,609221.0
Khấu hao trong năm,Giá trị khấu hao lũy kế > Khấu hao trong năm,Khấu hao trong năm,10.635,30.455,9.195,3.392,989,54.666,10635.0,30455.0,9195.0,3392.0,989.0,54666.0
"Thanh lý, nhượng bán","Giá trị khấu hao lũy kế > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(243),(1.086),(3.045),(566),(179),(5.119),-243.0,-1086.0,-3045.0,-566.0,-179.0,-5119.0
Số cuối năm,Giá trị khấu hao lũy kế > Số cuối năm,Số cuối năm,119.501,379.563,133.541,20.343,5.820,658.768,119501.0,379563.0,133541.0,20343.0,5820.0,658768.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Số đầu năm,Giá trị còn lại > Số đầu năm,Số đầu năm,383.787,108.186,50.876,5.709,2.949,551.507,383787.0,108186.0,50876.0,5709.0,2949.0,551507.0
Số cuối năm,Giá trị còn lại > Số cuối năm,Số cuối năm,390.977,128.887,52.738,6.813,3.921,583.336,390977.0,128887.0,52738.0,6813.0,3921.0,583336.0
