row_label_raw,row_label_full,col_0,Quá hạnTriệu đồng,Không chịu lãiTriệu đồng,Dưới 1 thángTriệu đồng,Từ 1 - 3 thángTriệu đồng,Từ 3 - 6 thángTriệu đồng,Từ 6 - 12 thángTriệu đồng,Từ 1 - 5 nămTriệu đồng,Trên 5 nămTriệu đồng,Tổng cộngTriệu đồng,numeric__Quá hạnTriệu đồng,numeric__Không chịu lãiTriệu đồng,numeric__Dưới 1 thángTriệu đồng,numeric__Từ 1 - 3 thángTriệu đồng,numeric__Từ 3 - 6 thángTriệu đồng,numeric__Từ 6 - 12 thángTriệu đồng,numeric__Từ 1 - 5 nămTriệu đồng,numeric__Trên 5 nămTriệu đồng,numeric__Tổng cộngTriệu đồng
Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,,,,,,,,,
Tiền mặt,Tài sản > Tiền mặt,Tiền mặt,-,480.517,-,-,-,-,-,-,480.517,,480517.0,,,,,,,480517.0
Tiền gửi tại NHNN Việt Nam,Tài sản > Tiền gửi tại NHNN Việt Nam,Tiền gửi tại NHNN Việt Nam,-,-,2.705.647,-,-,-,-,-,2.705.647,,,2705647.0,,,,,,2705647.0
Tiền gửi tại và cho vay các TCTD khác,Tài sản > Tiền gửi tại và cho vay các TCTD khác,Tiền gửi tại và cho vay các TCTD khác,-,-,20.405.942,-,-,-,-,-,20.405.942,,,20405942.0,,,,,,20405942.0
Các công cụ tài chính phải sinh và các tài sản tài chính khác,Tài sản > Các công cụ tài chính phải sinh và các tài sản tài chính khác,Các công cụ tài chính phải sinh và các tài sản tài chính khác,-,440.445,-,-,-,-,-,-,440.445,,440445.0,,,,,,,440445.0
Cho vay khách hàng - gộp,Tài sản > Cho vay khách hàng - gộp,Cho vay khách hàng - gộp,4.024.444,-,-,77.986.208,-,-,-,-,82.010.652,4024444.0,,,77986208.0,,,,,82010652.0
Hoạt động mua nợ - gộp,Tài sản > Hoạt động mua nợ - gộp,Hoạt động mua nợ - gộp,-,-,-,1.050.000,-,-,-,-,1.050.000,,,,1050000.0,,,,,1050000.0
Chứng khoán đầu tư - gộp,Tài sản > Chứng khoán đầu tư - gộp,Chứng khoán đầu tư - gộp,-,2.400,-,-,653.330,150.000,6.439.281,10.234.585,17.479.596,,2400.0,,,653330.0,150000.0,6439281.0,10234585.0,17479596.0
"Góp vốn, đầu tư dài hạn - gộp","Tài sản > Góp vốn, đầu tư dài hạn - gộp","Góp vốn, đầu tư dài hạn - gộp",-,376.936,-,-,-,-,-,-,376.936,,376936.0,,,,,,,376936.0
Tài sản cố định,Tài sản > Tài sản cố định,Tài sản cố định,-,1.074.384,-,-,-,-,-,-,1.074.384,,1074384.0,,,,,,,1074384.0
Tài sản Có khác - gộp,Tài sản > Tài sản Có khác - gộp,Tài sản Có khác - gộp,193.635,5.086.201,-,-,-,-,-,-,5.279.836,193635.0,5086201.0,,,,,,,5279836.0
Tổng tài sản,Tài sản > Tổng tài sản,Tổng tài sản,4.218.079,7.460.883,23.111.589,79.036.208,653.330,150.000,6.439.281,10.234.585,131.303.955,4218079.0,7460883.0,23111589.0,79036208.0,653330.0,150000.0,6439281.0,10234585.0,131303955.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,,
Tiền gửi và vay các TCTD khác,Nợ phải trả > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,-,-,19.791.999,1.086.945,1.058.677,95.095,148.566,-,22.181.282,,,19791999.0,1086945.0,1058677.0,95095.0,148566.0,,22181282.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,-,22.354.484,12.730.720,21.098.080,21.518.709,6.422.808,12.143,84.136.944,,,22354484.0,12730720.0,21098080.0,21518709.0,6422808.0,12143.0,84136944.0
"Vốn tài trợ, uỷ thác đầu tư, cho vay TCTD chịu rủi ro","Nợ phải trả > Vốn tài trợ, uỷ thác đầu tư, cho vay TCTD chịu rủi ro","Vốn tài trợ, uỷ thác đầu tư, cho vay TCTD chịu rủi ro",-,-,92,607,157.411,5.436,51.210,-,214.756,,,92.0,607.0,157411.0,5436.0,51210.0,,214756.0
Phát hành giấy tờ có giá,Nợ phải trả > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,-,-,-,-,-,1.000.000,6.700.000,-,7.700.000,,,,,,1000000.0,6700000.0,,7700000.0
Các khoản nợ khác,Nợ phải trả > Các khoản nợ khác,Các khoản nợ khác,-,2.853.456,-,-,-,-,-,-,2.853.456,,2853456.0,,,,,,,2853456.0
Tổng nợ phải trả,Nợ phải trả > Tổng nợ phải trả,Tổng nợ phải trả,-,2.853.456,42.146.575,13.818.272,22.314.168,22.619.240,13.322.584,12.143,117.086.438,,2853456.0,42146575.0,13818272.0,22314168.0,22619240.0,13322584.0,12143.0,117086438.0
Mức chênh nhạy cảm với lãi suất nội bảng,Nợ phải trả > Mức chênh nhạy cảm với lãi suất nội bảng,Mức chênh nhạy cảm với lãi suất nội bảng,4.218.079,4.607.427,(19.034.986),65.217.936,(21.660.838),(22.469.240),(6.883.303),10.222.442,14.217.517,4218079.0,4607427.0,-19034986.0,65217936.0,-21660838.0,-22469240.0,-6883303.0,10222442.0,14217517.0
Các cam kết ngoại bảng,Nợ phải trả > Các cam kết ngoại bảng,Các cam kết ngoại bảng,-,-,-,-,157.031,-,-,-,157.031,,,,,157031.0,,,,157031.0
"Mức chênh nhạy cảm với lãi suất nội, ngoại bảng","Nợ phải trả > Mức chênh nhạy cảm với lãi suất nội, ngoại bảng","Mức chênh nhạy cảm với lãi suất nội, ngoại bảng",4.218.079,4.607.427,(19.034.986),65.217.936,(21.817.869),(22.469.240),(6.883.303),10.222.442,14.060.486,4218079.0,4607427.0,-19034986.0,65217936.0,-21817869.0,-22469240.0,-6883303.0,10222442.0,14060486.0
