row_label_raw,row_label_full,col_0,2021 > Giá trị VND,2021 > Dự phòng VND,2020 > Giá trị VND,2020 > Dự phòng VND,numeric__2021 > Giá trị VND,numeric__2021 > Dự phòng VND,numeric__2020 > Giá trị VND,numeric__2020 > Dự phòng VND
Bên thứ ba,Bên thứ ba,Bên thứ ba,,,,,,,,
Phải thu thuế nhà thầu đối với lãi vay các khoản vay nước ngoài (i),Bên thứ ba > Phải thu thuế nhà thầu đối với lãi vay các khoản vay nước ngoài (i),Phải thu thuế nhà thầu đối với lãi vay các khoản vay nước ngoài (i),43.228.523.461,(37.461.292.602),42.851.089.549,-,43228523461.0,-37461292602.0,42851089549.0,
Lãi tiền gửi có kỳ hạn,Bên thứ ba > Lãi tiền gửi có kỳ hạn,Lãi tiền gửi có kỳ hạn,34.651.095.889,-,18.537.852.055,-,34651095889.0,,18537852055.0,
Phải thu tiền chiết khấu hàng mua,Bên thứ ba > Phải thu tiền chiết khấu hàng mua,Phải thu tiền chiết khấu hàng mua,13.048.564.000,-,13.439.746.830,-,13048564000.0,,13439746830.0,
Tạm ứng cán bộ công nhân viên,Bên thứ ba > Tạm ứng cán bộ công nhân viên,Tạm ứng cán bộ công nhân viên,1.637.232.000,-,2.505.620.800,-,1637232000.0,,2505620800.0,
"Ký cược, ký quỹ","Bên thứ ba > Ký cược, ký quỹ","Ký cược, ký quỹ",115.000.000,-,335.000.000,-,115000000.0,,335000000.0,
Khác,Bên thứ ba > Khác,Khác,1.607.235.178,-,2.184.323.359,-,1607235178.0,,2184323359.0,
Bên liên quan (Thuyết minh 38(b)),Bên liên quan (Thuyết minh 38(b)),Bên liên quan (Thuyết minh 38(b)),,-,,-,,,,
Tập đoàn Dầu khí Việt Nam (ii),Bên liên quan (Thuyết minh 38(b)) > Tập đoàn Dầu khí Việt Nam (ii),Tập đoàn Dầu khí Việt Nam (ii),-,-,77.424.489.813,-,,,77424489813.0,
,,,94.287.650.528,(37.461.292.602),157.278.122.406,-,94287650528.0,-37461292602.0,157278122406.0,
