row_label_raw,row_label_full,col_0,Năm nayVND,Năm trướcVND,numeric__Năm nayVND,numeric__Năm trướcVND
Thu nhập từ hoạt động khác,Thu nhập từ hoạt động khác,Thu nhập từ hoạt động khác,1.021.970.746.505,1.499.944.064.869,1021970746505.0,1499944064869.0
Thu nhập từ thanh lý tài sản khác,Thu nhập từ thanh lý tài sản khác,Thu nhập từ thanh lý tài sản khác,691.041.307.198,1.247.528.900.573,691041307198.0,1247528900573.0
Thu từ nợ đã xử lý rủi ro,Thu từ nợ đã xử lý rủi ro,Thu từ nợ đã xử lý rủi ro,211.356.985.356,86.690.315.928,211356985356.0,86690315928.0
Thu nhập từ thanh lý tài sản cố định,Thu nhập từ thanh lý tài sản cố định,Thu nhập từ thanh lý tài sản cố định,45.664.732.665,311.713.634,45664732665.0,311713634.0
Thu từ hoạt động kinh doanh khác,Thu từ hoạt động kinh doanh khác,Thu từ hoạt động kinh doanh khác,1.892.837.401,20.529.868.619,1892837401.0,20529868619.0
Thu khác,Thu khác,Thu khác,72.014.883.885,144.883.266.115,72014883885.0,144883266115.0
Chi phí hoạt động khác,Chi phí hoạt động khác,Chi phí hoạt động khác,(615.320.201.422),(1.246.552.733.976),-615320201422.0,-1246552733976.0
Chi về thanh lý tài sản khác,Chi về thanh lý tài sản khác,Chi về thanh lý tài sản khác,(513.863.279.752),(1.093.165.746.132),-513863279752.0,-1093165746132.0
Chi phí từ thanh lý tài sản,Chi phí từ thanh lý tài sản,Chi phí từ thanh lý tài sản,(12.722.531.785),(1.196.848.633),-12722531785.0,-1196848633.0
Chi về hoạt động kinh doanh khác,Chi về hoạt động kinh doanh khác,Chi về hoạt động kinh doanh khác,(10.413.647.668),(21.672.047.038),-10413647668.0,-21672047038.0
Chi khác,Chi khác,Chi khác,(78.320.742.217),(130.518.092.173),-78320742217.0,-130518092173.0
,,,406.650.545.083,253.391.330.893,406650545083.0,253391330893.0
