row_label_raw,row_label_full,col_0,Giá trị ghi số > Kinh doanh VND,Giá trị ghi số > Cho vay và phải thu VND,Giá trị ghi số > Sản sàng để bán VND,Giá trị ghi số > Tài sản/(Công nợ) khác hạch toán theo giá trị phân bổ VND,Giá trị ghi số > Tổng cộng giá trị ghi số VND,Giá trị ghi số > Giá trị hợp lý,numeric__Giá trị ghi số > Kinh doanh VND,numeric__Giá trị ghi số > Cho vay và phải thu VND,numeric__Giá trị ghi số > Sản sàng để bán VND,numeric__Giá trị ghi số > Tài sản/(Công nợ) khác hạch toán theo giá trị phân bổ VND,numeric__Giá trị ghi số > Tổng cộng giá trị ghi số VND,numeric__Giá trị ghi số > Giá trị hợp lý
Các tài sản tài chính,Các tài sản tài chính,Các tài sản tài chính,Các tài sản tài chính,Các tài sản tài chính,Các tài sản tài chính,Các tài sản tài chính,Các tài sản tài chính,Các tài sản tài chính,,,,,,
"Tiền mặt, vàng bạc, đã quý","Các tài sản tài chính > Tiền mặt, vàng bạc, đã quý","Tiền mặt, vàng bạc, đã quý",-,-,-,787.773.771.826,787.773.771.826,787.773.771.826,,,,787773771826.0,787773771826.0,787773771826.0
Tiền gửi tại NHNN,Các tài sản tài chính > Tiền gửi tại NHNN,Tiền gửi tại NHNN,-,-,-,2.377.473.012.237,2.377.473.012.237,2.377.473.012.237,,,,2377473012237.0,2377473012237.0,2377473012237.0
Tiền gửi tại và cho vay các TCTD khác,Các tài sản tài chính > Tiền gửi tại và cho vay các TCTD khác,Tiền gửi tại và cho vay các TCTD khác,-,203.648.500.000,-,38.922.550.757.631,39.126.199.257.631,(*),,203648500000.0,,38922550757631.0,39126199257631.0,
Cho vay khách hàng - gộp,Các tài sản tài chính > Cho vay khách hàng - gộp,Cho vay khách hàng - gộp,-,170.844.469.638.663,-,-,170.844.469.638.663,(*),,170844469638663.0,,,170844469638663.0,
Hoạt động mua nợ - gộp,Các tài sản tài chính > Hoạt động mua nợ - gộp,Hoạt động mua nợ - gộp,-,5.079.222.324.368,-,-,5.079.222.324.368,(*),,5079222324368.0,,,5079222324368.0,
Chứng khoán sẵn sàng để bán - gộp,Các tài sản tài chính > Chứng khoán sẵn sàng để bán - gộp,Chứng khoán sẵn sàng để bán - gộp,-,-,52.635.610.527.457,-,52.635.610.527.457,(*),,,52635610527457.0,,52635610527457.0,
"Gộp vốn, đầu tư dài hạn","Các tài sản tài chính > Gộp vốn, đầu tư dài hạn","Gộp vốn, đầu tư dài hạn",-,-,-,25.000.000.000,25.000.000.000,(*),,,,25000000000.0,25000000000.0,
Tài sản tài chính khác - gộp,Các tài sản tài chính > Tài sản tài chính khác - gộp,Tài sản tài chính khác - gộp,-,7.992.696.339.848,-,-,7.992.696.339.848,(*),,7992696339848.0,,,7992696339848.0,
,,,-,184.120.036.802.879,52.635.610.527.457,42.112.797.541.694,278.868.444.872.030,,,184120036802879.0,52635610527457.0,42112797541694.0,278868444872030.0,
Các công nợ tài chính,Các công nợ tài chính,Các công nợ tài chính,Các công nợ tài chính,Các công nợ tài chính,Các công nợ tài chính,Các công nợ tài chính,Các công nợ tài chính,Các công nợ tài chính,,,,,,
Các khoản nợ Chính phủ và NHNN,Các công nợ tài chính > Các khoản nợ Chính phủ và NHNN,Các khoản nợ Chính phủ và NHNN,-,-,-,3.469.535.552.139,3.469.535.552.139,(*),,,,3469535552139.0,3469535552139.0,
"Tiền gửi và vay các tổ chức tài chính, các TCTD khác","Các công nợ tài chính > Tiền gửi và vay các tổ chức tài chính, các TCTD khác","Tiền gửi và vay các tổ chức tài chính, các TCTD khác",-,-,-,45.008.281.205.498,45.008.281.205.498,(*),,,,45008281205498.0,45008281205498.0,
Tiền gửi của khách hàng,Các công nợ tài chính > Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,-,-,142.482.818.601.895,142.482.818.601.895,(*),,,,142482818601895.0,142482818601895.0,
"Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Các công nợ tài chính > Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro",-,-,-,5.942.083.509.395,5.942.083.509.395,(*),,,,5942083509395.0,5942083509395.0,
Phát hành giấy tờ cổ giá,Các công nợ tài chính > Phát hành giấy tờ cổ giá,Phát hành giấy tờ cổ giá,-,-,-,44.010.712.500.000,44.010.712.500.000,(*),,,,44010712500000.0,44010712500000.0,
Các công cụ tài chính phải sinh và nợ tài chính khác,Các công nợ tài chính > Các công cụ tài chính phải sinh và nợ tài chính khác,Các công cụ tài chính phải sinh và nợ tài chính khác,-,-,-,356.262.657.844,356.262.657.844,,,,,356262657844.0,356262657844.0,
Các khoản nợ tài chính khác,Các công nợ tài chính > Các khoản nợ tài chính khác,Các khoản nợ tài chính khác,-,-,-,7.795.690.743.914,7.795.690.743.914,(*),,,,7795690743914.0,7795690743914.0,
,,,-,-,-,249.065.384.770.685,249.065.384.770.685,,,,,249065384770685.0,249065384770685.0,
