row_label_raw,row_label_full,col_0,Ending balanceVND,Beginning balanceVND,numeric__Ending balanceVND,numeric__Beginning balanceVND
Demand deposits,Demand deposits,Demand deposits,"20,503,263,277,269","15,030,214,815,709",,
- In VND,- In VND,- In VND,"19,722,336,795,882","14,520,054,496,585",,
- In foreign currencies,- In foreign currencies,- In foreign currencies,"780,926,481,387","510,160,319,124",,
Term deposits,Term deposits,Term deposits,"40,167,911,626,520","42,288,684,275,056",,
- In VND,- In VND,- In VND,"40,066,703,905,620","42,269,277,475,056",,
- In foreign currencies,- In foreign currencies,- In foreign currencies,"101,207,720,900","19,406,800,000",,
Demand saving deposits,Demand saving deposits,Demand saving deposits,"17,220,757,145","13,667,765,026",,
- In VND,- In VND,- In VND,"3,349,777,677","3,102,733,344",,
- In foreign currencies,- In foreign currencies,- In foreign currencies,"13,870,979,468","10,565,031,682",,
Term saving deposits,Term saving deposits,Term saving deposits,"81,103,678,377,792","68,290,820,992,134",,
- In VND,- In VND,- In VND,"80,716,126,103,537","68,016,605,515,678",,
- In foreign currencies,- In foreign currencies,- In foreign currencies,"387,552,274,255","274,215,476,456",,
Deposits for specific purposes,Deposits for specific purposes,Deposits for specific purposes,"276,256,373,743","36,305,175,860",,
- In VND,- In VND,- In VND,"10,748,156,585","62,419,761",,
- In foreign currencies,- In foreign currencies,- In foreign currencies,"265,508,217,158","36,242,756,099",,
Margin deposits,Margin deposits,Margin deposits,"414,488,189,426","308,794,452,844",,
- In VND,- In VND,- In VND,"413,402,104,357","308,218,192,176",,
- In foreign currencies,- In foreign currencies,- In foreign currencies,"1,086,085,069","576,260,668",,
,,,"142,482,818,601,895","125,968,487,476,629",,
