row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2024,Quá hạn,Không chịu lãi,Dưới 1 tháng,Từ 1 thángđến 3 tháng,Từ trên 3 thángđến 6 tháng,Từ trên 6 thángđến 12 tháng,Từ trên 1 nămđến 5 năm,Trên 5 năm,Tổng cộng,numeric__Quá hạn,numeric__Không chịu lãi,numeric__Dưới 1 tháng,numeric__Từ 1 thángđến 3 tháng,numeric__Từ trên 3 thángđến 6 tháng,numeric__Từ trên 6 thángđến 12 tháng,numeric__Từ trên 1 nămđến 5 năm,numeric__Trên 5 năm,numeric__Tổng cộng
Tải sản,Tải sản,Tải sản,,,,,,,,,,,,,,,,,,
"Tiền mặt, vàng bạc, đá quỹ","Tải sản > Tiền mặt, vàng bạc, đá quỹ","Tiền mặt, vàng bạc, đá quỹ",-,11.147.549,-,-,-,-,-,-,11.147.549,,11147549.0,,,,,,,11147549.0
Tiền gửi tại NHNN,Tải sản > Tiền gửi tại NHNN,Tiền gửi tại NHNN,-,34.431.657,-,-,-,-,-,-,34.431.657,,34431657.0,,,,,,,34431657.0
Tiền gửi và cho vay các TCTD khác (*),Tải sản > Tiền gửi và cho vay các TCTD khác (*),Tiền gửi và cho vay các TCTD khác (*),-,-,322.223.021,28.393.617,25.357.398,2.508.849,-,-,378.482.885,,,322223021.0,28393617.0,25357398.0,2508849.0,,,378482885.0
Chủng khoản kinh doanh (*),Tải sản > Chủng khoản kinh doanh (*),Chủng khoản kinh doanh (*),-,-,2.990.652,-,-,-,-,-,2.990.692,,,2990652.0,,,,,,2990692.0
Cho vay khách hàng (*),Tải sản > Cho vay khách hàng (*),Cho vay khách hàng (*),44.210.043,109.001,415.474.633,476.381.755,539.978.782,159.066.568,65.062.990,1.652.942,1.721.954.714,44210043.0,109001.0,415474633.0,476381755.0,539978782.0,159066568.0,65062990.0,1652942.0,1721954714.0
Chủng khoản đầu tư (*),Tải sản > Chủng khoản đầu tư (*),Chủng khoản đầu tư (*),601.791,3.952.134,6.054.884,21.105.707,30.601.219,59.216.669,29.072.686,64.588.238,215.193.338,601791.0,3952134.0,6054884.0,21105707.0,30601219.0,59216669.0,29072686.0,64588238.0,215193338.0
"Gớp vốn, đầu tư dài hạn (*)","Tải sản > Gớp vốn, đầu tư dài hạn (*)","Gớp vốn, đầu tư dài hạn (*)",-,3.941.135,-,-,-,-,-,-,3.941.135,,3941135.0,,,,,,,3941135.0
TSCĐ,Tải sản > TSCĐ,TSCĐ,-,10.002.157,-,-,-,-,-,-,10.002.157,,10002157.0,,,,,,,10002157.0
Tải sản Có khác (*),Tải sản > Tải sản Có khác (*),Tải sản Có khác (*),106.441,43.520.847,608.943,391.650,131.050,40.533,-,-,44.799.464,106441.0,43520847.0,608943.0,391650.0,131050.0,40533.0,,,44799464.0
Tổng tài sản,Tải sản > Tổng tài sản,Tổng tài sản,44.918.275,107.104.480,747.352.183,526.272.729,596.066.449,220.832.619,114.155.676,66.241.180,2.422.943.591,44918275.0,107104480.0,747352183.0,526272729.0,596066449.0,220832619.0,114155676.0,66241180.0,2422943591.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,,,,,,,,,,,
Các khoản nợ Chính phủ và NHNN,Nợ phải trả > Các khoản nợ Chính phủ và NHNN,Các khoản nợ Chính phủ và NHNN,-,-,96.401.051,57.395.000,104.547,383.506,-,-,154.284.104,,,96401051.0,57395000.0,104547.0,383506.0,,,154284104.0
Tiền gửi và vay các TCTD khác,Nợ phải trả > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,-,-,270.708.862,2.635.678,2.757.955,38.740,-,-,276.141.255,,,270708862.0,2635678.0,2757955.0,38740.0,,,276141255.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,-,719.533.838,323.821.302,245.477.673,262.118.899,55.224.356,140.617,1.606.316.685,,,719533838.0,323821302.0,245477673.0,262118899.0,55224356.0,140617.0,1606316685.0
Các công cụ tài chính phải sinh và các khoản nợtài chính khác,Nợ phải trả > Các công cụ tài chính phải sinh và các khoản nợtài chính khác,Các công cụ tài chính phải sinh và các khoản nợtài chính khác,-,-,390.841,-,-,-,-,-,390.841,,,390841.0,,,,,,390841.0
"Vốn tài trợ, ủy thác đầu tư, cho vay mã TCTDchiu rủi ro","Nợ phải trả > Vốn tài trợ, ủy thác đầu tư, cho vay mã TCTDchiu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vay mã TCTDchiu rủi ro",-,-,-,1.618.725,561.225,-,-,-,2.179.950,,,,1618725.0,561225.0,,,,2179950.0
Phát hành giấy tờ có giá,Nợ phải trả > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,-,-,1.132.230,4.624.620,27.996.530,104.979.510,4.350.200,8.595.000,151.678.090,,,1132230.0,4624620.0,27996530.0,104979510.0,4350200.0,8595000.0,151678090.0
Các khoản nợ khác,Nợ phải trả > Các khoản nợ khác,Các khoản nợ khác,-,45.892.099,-,-,-,-,-,-,45.892.099,,45892099.0,,,,,,,45892099.0
Tổng nợ phải trả,Nợ phải trả > Tổng nợ phải trả,Tổng nợ phải trả,-,45.892.099,1.088.166.842,390.095.325,276.897.930,367.520.655,59.574.556,8.735.617,2.236.883.024,,45892099.0,1088166842.0,390095325.0,276897930.0,367520655.0,59574556.0,8735617.0,2236883024.0
Mức chênh nhạy cảm với lãi suất nội bảng,Nợ phải trả > Mức chênh nhạy cảm với lãi suất nội bảng,Mức chênh nhạy cảm với lãi suất nội bảng,44.918.275,61.212.381,(340.814.659),136.177.404,319.168.519,(146.688.036),54.581.120,57.505.563,186.060.567,44918275.0,61212381.0,-340814659.0,136177404.0,319168519.0,-146688036.0,54581120.0,57505563.0,186060567.0
