row_label_raw,row_label_full,Bên liên quan khác,Mối quan hệ,numeric__Mối quan hệ
Trường Đại học Quốc tế Miền Đông,Trường Đại học Quốc tế Miền Đông,Trường Đại học Quốc tế Miền Đông,Công ty cùng Tập đoàn,
Công ty TNHH MTV Tư vấn Đầu tư Xây dựng Việt,Công ty TNHH MTV Tư vấn Đầu tư Xây dựng Việt,Công ty TNHH MTV Tư vấn Đầu tư Xây dựng Việt,Công ty cùng Tập đoàn,
Công ty Liên doanh TNHH Khu Công nghiệp Việt Nam - Singapore,Công ty Liên doanh TNHH Khu Công nghiệp Việt Nam - Singapore,Công ty Liên doanh TNHH Khu Công nghiệp Việt Nam - Singapore,Công ty liên kết với Công ty mẹ,
Công ty Cổ phần Setia - Becamex,Công ty Cổ phần Setia - Becamex,Công ty Cổ phần Setia - Becamex,Công ty liên kết với Công ty mẹ,
Công ty Cổ phần Phát triển Công nghiệp và Đô thị Việt Nam - Singapore,Công ty Cổ phần Phát triển Công nghiệp và Đô thị Việt Nam - Singapore,Công ty Cổ phần Phát triển Công nghiệp và Đô thị Việt Nam - Singapore,Công ty liên kết với Công ty mẹ,
Công ty Cổ phần Bảo hiểm Hùng Vương,Công ty Cổ phần Bảo hiểm Hùng Vương,Công ty Cổ phần Bảo hiểm Hùng Vương,Công ty liên kết với Công ty mẹ,
Công ty Cổ phần Dược phẩm Savi,Công ty Cổ phần Dược phẩm Savi,Công ty Cổ phần Dược phẩm Savi,Công ty liên kết với Công ty mẹ,
Công ty Cổ phần Công nghệ & Truyền thông Việt Nam,Công ty Cổ phần Công nghệ & Truyền thông Việt Nam,Công ty Cổ phần Công nghệ & Truyền thông Việt Nam,Công ty liên kết với Công ty mẹ,
Công ty TNHH Becamex Tokyu,Công ty TNHH Becamex Tokyu,Công ty TNHH Becamex Tokyu,Công ty liên kết với Công ty mẹ,
Công ty Cổ phần Phát triển Giáo dục Miền Đông,Công ty Cổ phần Phát triển Giáo dục Miền Đông,Công ty Cổ phần Phát triển Giáo dục Miền Đông,Công ty liên kết với Công ty mẹ,
Công ty Cổ phần Nước & Môi trường Bình Dương,Công ty Cổ phần Nước & Môi trường Bình Dương,Công ty Cổ phần Nước & Môi trường Bình Dương,Công ty liên kết với Công ty mẹ,
Công ty Cổ phần Phát triển & Công nghệ,Công ty Cổ phần Phát triển & Công nghệ,Công ty Cổ phần Phát triển & Công nghệ,Công ty liên kết với Công ty mẹ,
Công ty Cổ phần Phát triển Hạ tầng Kỹ thuật Becamex - Bình Phước,Công ty Cổ phần Phát triển Hạ tầng Kỹ thuật Becamex - Bình Phước,Công ty Cổ phần Phát triển Hạ tầng Kỹ thuật Becamex - Bình Phước,Công ty liên kết với Công ty mẹ,
Công ty Cổ phần Phát triển Công nghiệp BW,Công ty Cổ phần Phát triển Công nghiệp BW,Công ty Cổ phần Phát triển Công nghiệp BW,Công ty liên kết với Công ty mẹ,
