row_label_raw,row_label_full,Stt,Tên công ty con,Nơi thành lập và hoạt động,Tỷ lệ lợi ích,Tỷ lệ quyền biểu quyết,Hoạt động kinh doanh chính,numeric__Tên công ty con,numeric__Nơi thành lập và hoạt động,numeric__Tỷ lệ lợi ích,numeric__Tỷ lệ quyền biểu quyết,numeric__Hoạt động kinh doanh chính
34,34,34,Công ty Cổ phần Cao su Hàng Gòn,"Xã Hàng Gòn, thị xã Long khách, tỉnh Đồng Nai","50,00%","50,00%","Thu mua, sản xuất sơ chế mù cao su; Bán buôn các sản phẩm sơ chế mù cao su thiên nhiên; Kinh doanh XNK sản phẩm cao su, vật tư hoá chất sản xuất cao su",,,0.5,0.5,
35,35,35,Công ty Cổ phần Quasa Geruco,"D21, Trung tâm Thương Mại Đông Nam Á, Thị trấn Lao Bảo, Huyện Hướng Hóa, Tỉnh Quảng Trị","99,00%","100,00%","Trồng, chăm sóc, khai thác và chế biến cao su và rừng nguyên liệu",,,0.99,1.0,
36,36,36,Công ty Cổ phần TM Dịch vụ & Du lịch Cao su,"Đại lộ Hoà Bình, phường Trần Phú, thành phố Móng Cái, tỉnh Quảng Ninh","96,52%","100,00%","Kinh doanh xuất nhập khẩu cao su và các loại nông, lâm, thuy hải sản; thực hiện các dự án xây dựng khách sạn và khu du lịch; kinh doanh dịch vụ lữ hành quốc tế và nội địa",,,0.9652,1.0,
37,37,37,Công ty Cổ phần Khu công nghiệp Nam Tân Uyên,"Phường Khánh Bình, thị xã Tân Uyên, tỉnh Bình Dương","42,30%","53,27%","Kinh doanh bất động sản, quyền sử dụng đất thuộc chủ sở hữu, chủ sử dụng hoặc đi thuê",,,0.423,0.5327000000000001,
38,38,38,Công ty Cổ phần Chế biến Gỗ Thuận An,"Đại lộ Bình Dương, xã Thuận Giao, thị xã Thuận An, tỉnh Bình Dương","59,69%","59,69%","Sản xuất sản phẩm khác từ gỗ; sản xuất sản phẩm từ .tre, nứa, rom, rạ và vật liệu tết bên; Mua bán mù cao su",,,0.5969,0.5969,
39,39,39,Công ty Cổ phần Gỗ Dầu Tiếng,"Khu phố 3, thị trấn Dầu Tiếng, huyện Dầu Tiếng, tỉnh Bình Dương","61,00%","61,00%","Khai thác, chế biến gỗ, sản xuất các mặt hàng : tủ, bàn ghế, giường ngủ, mặt hàng gia dụng, các sản phẩm trang trí nội thất",,,0.61,0.61,
40,40,40,Công ty Cổ phần Du lịch Thương mại Khách sạn Hưng Yên,"Số nhà 611, đường Phan Đình Phùng, phường Duy Tân, thành phố Kon Tum, tỉnh Kon Tum","98,41%","98,41%","Du lịch, dịch vụ, đào tạo, sát hạch lái xe",,,0.9841,0.9841,
41,41,41,Công ty Cổ phần Cơ khí Cao Su,"Số 12, Đường HT25, Khu phố 2, Phường Hiệp Thành, Quận 12, TP. Hồ Chí Minh","92,05%","92,05%","Chuyên sản xuất, chế tạo máy sơ chế mù cao su",,,0.9205,0.9205,
42,42,42,Công ty Cổ phần Cao su Đồng Phú,"Xã Thuận Phú, huyện Đồng Phú, tỉnh Bình Phước","55,81%","55,81%","Trồng trọt, chế biến nông sản, lâm sản; Chăn nuôi gia súc, gia cầm; Công nghiệp hóa chất phân bón và cao su",,,0.5581,0.5581,
43,43,43,Công ty Cổ phần Cao su Tây Ninh,"Quốc lộ 22B, xã Hiệp Thạnh, huyện Gò Dầu, tỉnh Tây Ninh","60,00%","60,00%","Trồng, chăm sóc, khai thác, chế biến và tiêu thụ cao su thiên nhiên",,,0.6,0.6,
44,44,44,Công ty Cổ phần Cao su Sơn La,"Tổ 11, Phường Chiềng Lẻ, TP Sơn La, Tỉnh Sơn La","99,37%","100,00%","Trồng, chăm sóc, khai thác và chế biến mù cao su",,,0.9937,1.0,
45,45,45,Công ty Cổ phần Cao Su Điện Biên,"Đội 19, xã Thanh Hưng, huyện Điện Biên, tỉnh Điện Biên","100,00%","100,00%","Trồng cây cao su và sơ chế mù Cao su; Dịch vụ hỗ trợ trồng mới cây Cao su; Trồng rừng, chế biến gỗ, chăn nuôi gia súc; Đại lý mua bán, phân phối cây giống, phân bón, các sản phẩm Cao su",,,1.0,1.0,
