row_label_raw,row_label_full,Ngày 31 tháng 12 năm 2018,Quá hạn > Ngày 31 tháng 12 năm 2018,Không chịu lãi suất > Ngày 31 tháng 12 năm 2018,Dưới 1 tháng > Ngày 31 tháng 12 năm 2018,Từ 1 đến 3 tháng > Ngày 31 tháng 12 năm 2018,Từ trên 3 đến 6 tháng > Ngày 31 tháng 12 năm 2018,Từ trên 6 đến 12 tháng > Ngày 31 tháng 12 năm 2018,Từ trên 1 đến 5 năm > Ngày 31 tháng 12 năm 2018,Trên 5 năm > Ngày 31 tháng 12 năm 2018,Tổng cộng > Ngày 31 tháng 12 năm 2018,numeric__Quá hạn > Ngày 31 tháng 12 năm 2018,numeric__Không chịu lãi suất > Ngày 31 tháng 12 năm 2018,numeric__Dưới 1 tháng > Ngày 31 tháng 12 năm 2018,numeric__Từ 1 đến 3 tháng > Ngày 31 tháng 12 năm 2018,numeric__Từ trên 3 đến 6 tháng > Ngày 31 tháng 12 năm 2018,numeric__Từ trên 6 đến 12 tháng > Ngày 31 tháng 12 năm 2018,numeric__Từ trên 1 đến 5 năm > Ngày 31 tháng 12 năm 2018,numeric__Trên 5 năm > Ngày 31 tháng 12 năm 2018,numeric__Tổng cộng > Ngày 31 tháng 12 năm 2018
Tài sản,Tài sản,Tài sản,,,,,,,,,,,,,,,,,,
"Tiền mặt, vàng bạc, đá quỹ","Tài sản > Tiền mặt, vàng bạc, đá quỹ","Tiền mặt, vàng bạc, đá quỹ",-,6.129.164,-,-,-,-,-,-,6.129.164,,6129164.0,,,,,,,6129164.0
Tiền gửi tại Ngân hàng Nhà nước,Tài sản > Tiền gửi tại Ngân hàng Nhà nước,Tiền gửi tại Ngân hàng Nhà nước,-,10.683.536,-,-,-,-,-,-,10.683.536,,10683536.0,,,,,,,10683536.0
Tiền gửi tại và cho vay các TCTD khác (i),Tài sản > Tiền gửi tại và cho vay các TCTD khác (i),Tiền gửi tại và cho vay các TCTD khác (i),400.000,-,5.764.806,9.818.310,3.214.924,-,-,61.000,19.259.040,400000.0,,5764806.0,9818310.0,3214924.0,,,61000.0,19259040.0
Chứng khoán kinh doanh (i),Tài sản > Chứng khoán kinh doanh (i),Chứng khoán kinh doanh (i),-,899.577,-,-,-,-,-,-,899.577,,899577.0,,,,,,,899577.0
Cho vay khách hàng (i),Tài sản > Cho vay khách hàng (i),Cho vay khách hàng (i),2.020.715,-,1.636.706,215.024.035,5.799.580,2.635.864,560.649,81.573,227.759.122,2020715.0,,1636706.0,215024035.0,5799580.0,2635864.0,560649.0,81573.0,227759122.0
Chứng khoán đầu tư (i),Tài sản > Chứng khoán đầu tư (i),Chứng khoán đầu tư (i),-,708.161,-,-,-,-,30.078.129,23.009.996,53.796.286,,708161.0,,,,,30078129.0,23009996.0,53796286.0
"Góp vốn, đầu tư dài hạn (i)","Tài sản > Góp vốn, đầu tư dài hạn (i)","Góp vốn, đầu tư dài hạn (i)",-,2.301.127,-,-,-,-,-,-,2.301.127,,2301127.0,,,,,,,2301127.0
Tài sản cố định,Tài sản > Tài sản cố định,Tài sản cố định,-,3.162.339,-,-,-,-,-,-,3.162.339,,3162339.0,,,,,,,3162339.0
Tài sản Có khác (i),Tài sản > Tài sản Có khác (i),Tài sản Có khác (i),250.549,7.229.419,-,-,-,1.417.788,-,-,8.897.756,250549.0,7229419.0,,,,1417788.0,,,8897756.0
Tổng tài sản,Tài sản > Tổng tài sản,Tổng tài sản,2.671.264,31.113.323,7.401.512,224.842.345,9.014.504,4.053.652,30.638.778,23.152.569,332.887.947,2671264.0,31113323.0,7401512.0,224842345.0,9014504.0,4053652.0,30638778.0,23152569.0,332887947.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,,
Các khoản nợ Chính phủ và Ngân hàng Nhà nước,Nợ phải trả > Các khoản nợ Chính phủ và Ngân hàng Nhà nước,Các khoản nợ Chính phủ và Ngân hàng Nhà nước,-,-,3.074.100,-,-,-,-,-,3.074.100,,,3074100.0,,,,,,3074100.0
Tiền gửi và vay các TCTD khác,Nợ phải trả > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,-,-,3.541.576,15.681.841,1.296.730,232.000,-,-,20.752.147,,,3541576.0,15681841.0,1296730.0,232000.0,,,20752147.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,-,51.135.080,102.234.995,49.873.342,14.323.407,52.906.159,-,270.472.983,,,51135080.0,102234995.0,49873342.0,14323407.0,52906159.0,,270472983.0
Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,Nợ phải trả > Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,-,38.198,-,-,-,-,-,-,38.198,,38198.0,,,,,,,38198.0
"Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Nợ phải trả > Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro",-,-,-,130.890,-,-,-,29.203,160.093,,,,130890.0,,,,29203.0,160093.0
Phát hành giấy tờ có giá,Nợ phải trả > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,-,-,-,-,-,3.054.000,2.195.801,2.167.117,7.416.918,,,,,,3054000.0,2195801.0,2167117.0,7416918.0
Các khoản nợ khác,Nợ phải trả > Các khoản nợ khác,Các khoản nợ khác,-,5.972.537,-,-,-,-,-,-,5.972.537,,5972537.0,,,,,,,5972537.0
Tổng nợ phải trả,Nợ phải trả > Tổng nợ phải trả,Tổng nợ phải trả,-,6.010.735,57.750.756,118.047.726,51.170.072,17.609.407,55.101.960,2.196.320,307.886.976,,6010735.0,57750756.0,118047726.0,51170072.0,17609407.0,55101960.0,2196320.0,307886976.0
Mức chênh nhạy cảm với lãi suất - nội bảng,Nợ phải trả > Mức chênh nhạy cảm với lãi suất - nội bảng,Mức chênh nhạy cảm với lãi suất - nội bảng,2.671.264,25.102.588,(50.349.244),106.794.619,(42.155.568),(13.555.755),(24.463.182),20.956.249,25.000.971,2671264.0,25102588.0,-50349244.0,106794619.0,-42155568.0,-13555755.0,-24463182.0,20956249.0,25000971.0
Mức chênh nhạy cảm với lãi suất - ngoại bảng,Nợ phải trả > Mức chênh nhạy cảm với lãi suất - ngoại bảng,Mức chênh nhạy cảm với lãi suất - ngoại bảng,-,(9.392.780),-,-,-,-,-,-,(9.392.780),,-9392780.0,,,,,,,-9392780.0
Tổng mức chênh nhạy cảm với lãi suất,Nợ phải trả > Tổng mức chênh nhạy cảm với lãi suất,Tổng mức chênh nhạy cảm với lãi suất,2.671.264,15.709.808,(50.349.244),106.794.619,(42.155.568),(13.555.755),(24.463.182),20.956.249,15.608.191,2671264.0,15709808.0,-50349244.0,106794619.0,-42155568.0,-13555755.0,-24463182.0,20956249.0,15608191.0
