row_label_raw,row_label_full,col_0,Vốn góp của chủ sở hữu,Thặng dư vốn cổ phần,Cổ phiếu quỹ,Quỹ đầu tư phát triển,Lợi nhuận sau thuế chưa phân phối,Tổng cộng,numeric__Vốn góp của chủ sở hữu,numeric__Thặng dư vốn cổ phần,numeric__Cổ phiếu quỹ,numeric__Quỹ đầu tư phát triển,numeric__Lợi nhuận sau thuế chưa phân phối,numeric__Tổng cộng
,,,VND,VND,VND,VND,VND,VND,,,,,,
Số dư đầu năm trước,Số dư đầu năm trước,Số dư đầu năm trước,3.914.000.000.000,21.179.913.858,(2.296.824.120),3.444.814.857.841,6.401.044.719.955,13.778.742.667.534,3914000000000.0,21179913858.0,-2296824120.0,3444814857841.0,6401044719955.0,13778742667534.0
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,-,-,568.738.080.745,568.738.080.745,,,,,568738080745.0,568738080745.0
Trích Quỹ Đầu tư phát triển,Trích Quỹ Đầu tư phát triển,Trích Quỹ Đầu tư phát triển,-,-,-,1.102.139.517.511,(1.102.139.517.511),-,,,,1102139517511.0,-1102139517511.0,
"Trích Quỹ khen thưởng, phúc lợi","Trích Quỹ khen thưởng, phúc lợi","Trích Quỹ khen thưởng, phúc lợi",-,-,-,-,(233.071.000.000),(233.071.000.000),,,,,-233071000000.0,-233071000000.0
Trả cổ tức bằng tiên,Trả cổ tức bằng tiên,Trả cổ tức bằng tiên,-,-,-,-,(2.739.339.820.000),(2.739.339.820.000),,,,,-2739339820000.0,-2739339820000.0
Giảm khác,Giảm khác,Giảm khác,-,-,-,-,(603.101.816),(603.101.816),,,,,-603101816.0,-603101816.0
Số dư đầu năm nay,Số dư đầu năm nay,Số dư đầu năm nay,3.914.000.000.000,21.179.913.858,(2.296.824.120),4.546.954.375.352,2.894.629.361.373,11.374.466.826.463,3914000000000.0,21179913858.0,-2296824120.0,4546954375352.0,2894629361373.0,11374466826463.0
Số dư đầu năm nay,Số dư đầu năm nay,Số dư đầu năm nay,3.914.000.000.000,21.179.913.858,(2.296.824.120),4.546.954.375.352,2.894.629.361.373,11.374.466.826.463,3914000000000.0,21179913858.0,-2296824120.0,4546954375352.0,2894629361373.0,11374466826463.0
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,-,-,517.610.210.712,517.610.210.712,,,,,517610210712.0,517610210712.0
"Trích Quỹ khen thưởng, phúc lợi (i)","Trích Quỹ khen thưởng, phúc lợi (i)","Trích Quỹ khen thưởng, phúc lợi (i)",-,-,-,-,(112.959.000.000),(112.959.000.000),,,,,-112959000000.0,-112959000000.0
Trả cổ tức bằng tiên (ii),Trả cổ tức bằng tiên (ii),Trả cổ tức bằng tiên (ii),-,-,-,-,(782.668.520.000),(782.668.520.000),,,,,-782668520000.0,-782668520000.0
Số dư cuối năm nay,Số dư cuối năm nay,Số dư cuối năm nay,3.914.000.000.000,21.179.913.858,(2.296.824.120),4.546.954.375.352,2.516.612.052.085,10.996.449.517.175,3914000000000.0,21179913858.0,-2296824120.0,4546954375352.0,2516612052085.0,10996449517175.0
