row_label_raw,row_label_full,col_0,Số cuối năm,VND Số đầu năm,numeric__Số cuối năm,numeric__VND Số đầu năm
Ngắn hạn,Ngắn hạn,Ngắn hạn,68.229.602.269,19.867.036.426,68229602269.0,19867036426.0
Tiền chỉ hỗ trợ người lao động nghĩ việc do di dòi Trạm nghiền Thủ Đức,Tiền chỉ hỗ trợ người lao động nghĩ việc do di dòi Trạm nghiền Thủ Đức,Tiền chỉ hỗ trợ người lao động nghĩ việc do di dòi Trạm nghiền Thủ Đức,27.544.997.000,-,27544997000.0,
Phải thu bồi thường từ công ty bảo hiểm,Phải thu bồi thường từ công ty bảo hiểm,Phải thu bồi thường từ công ty bảo hiểm,14.826.360.179,4.457.563.000,14826360179.0,4457563000.0
Cho bên liên quan mượn nguyên vật liệu (Thuyết minh số 29),Cho bên liên quan mượn nguyên vật liệu (Thuyết minh số 29),Cho bên liên quan mượn nguyên vật liệu (Thuyết minh số 29),14.037.745.400,-,14037745400.0,
Thuế GTGT chưa kê khai khấu trừ,Thuế GTGT chưa kê khai khấu trừ,Thuế GTGT chưa kê khai khấu trừ,-,9.679.963.052,,9679963052.0
Phải thu khác,Phải thu khác,Phải thu khác,11.820.499.690,5.729.510.374,11820499690.0,5729510374.0
Dài hạn,Dài hạn,Dài hạn,11.049.895.574,11.818.942.773,11049895574.0,11818942773.0
"Ký quỹ, ký cược","Ký quỹ, ký cược","Ký quỹ, ký cược",11.049.895.574,11.818.942.773,11049895574.0,11818942773.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,79.279.497.843,31.685.979.199,79279497843.0,31685979199.0
Dự phòng phải thu ngắn hạn khác khó đòi,Dự phòng phải thu ngắn hạn khác khó đòi,Dự phòng phải thu ngắn hạn khác khó đòi,(1.023.695.896),-,-1023695896.0,
GIÁ TRỊ THUẢN,GIÁ TRỊ THUẢN,GIÁ TRỊ THUẢN,78.255.801.947,31.685.979.199,78255801947.0,31685979199.0
