row_label_raw,row_label_full,col_0,Năm 2020VND,numeric__Năm 2020VND
Thù lao của thành viên Hội đồng Quản trị,Thù lao của thành viên Hội đồng Quản trị,Thù lao của thành viên Hội đồng Quản trị,Thù lao của thành viên Hội đồng Quản trị,
Ông Kenji Yoneda,Thù lao của thành viên Hội đồng Quản trị > Ông Kenji Yoneda,Ông Kenji Yoneda,228.000.000,228000000.0
Ông Teruo Shimmen,Thù lao của thành viên Hội đồng Quản trị > Ông Teruo Shimmen,Ông Teruo Shimmen,228.000.000,228000000.0
Ông Nguyễn Đình An,Thù lao của thành viên Hội đồng Quản trị > Ông Nguyễn Đình An,Ông Nguyễn Đình An,114.000.000,114000000.0
Bà Thân Hiền Anh,Thù lao của thành viên Hội đồng Quản trị > Bà Thân Hiền Anh,Bà Thân Hiền Anh,228.000.000,228000000.0
Ông Đỗ Trường Minh,Thù lao của thành viên Hội đồng Quản trị > Ông Đỗ Trường Minh,Ông Đỗ Trường Minh,228.000.000,228000000.0
Bà Trần Thị Diệu Hằng,Thù lao của thành viên Hội đồng Quản trị > Bà Trần Thị Diệu Hằng,Bà Trần Thị Diệu Hằng,228.000.000,228000000.0
Ông Nguyễn Minh Hoàng,Thù lao của thành viên Hội đồng Quản trị > Ông Nguyễn Minh Hoàng,Ông Nguyễn Minh Hoàng,32.413.793,32413793.0
Ông Nguyễn Xuân Việt,Thù lao của thành viên Hội đồng Quản trị > Ông Nguyễn Xuân Việt,Ông Nguyễn Xuân Việt,228.000.000,228000000.0
Tiền lương của Tổng Giám đốc và Người quản lý khác,Tiền lương của Tổng Giám đốc và Người quản lý khác,Tiền lương của Tổng Giám đốc và Người quản lý khác,Tiền lương của Tổng Giám đốc và Người quản lý khác,
Ông Đào Đình Thi,Tiền lương của Tổng Giám đốc và Người quản lý khác > Ông Đào Đình Thi,Ông Đào Đình Thi,1.188.203.387,1188203387.0
Ông Đỗ Trường Minh,Tiền lương của Tổng Giám đốc và Người quản lý khác > Ông Đỗ Trường Minh,Ông Đỗ Trường Minh,1.037.109.208,1037109208.0
Ông Ông Tiến Hùng,Tiền lương của Tổng Giám đốc và Người quản lý khác > Ông Ông Tiến Hùng,Ông Ông Tiến Hùng,778.413.905,778413905.0
Ông Nguyễn Xuân Hòa,Tiền lương của Tổng Giám đốc và Người quản lý khác > Ông Nguyễn Xuân Hòa,Ông Nguyễn Xuân Hòa,939.102.524,939102524.0
