row_label_raw,row_label_full,Năm trước: > Số đầu năm > - Lợi nhuận trong năm,Vốn cổ phần đã phát hành > Năm trước: > 1.047.639.110.000 > -,Thặng dư vốn cổ phần > Năm trước: > 418.432.992.221 > -,Quỹ đầu tư phát triển > Năm trước: > 1.497.737.922.639 > -,Lợi nhuận sau thuế chưa phân phối > Năm trước: > 1.243.150.165.828 > 829.557.934.446,Đơn vị tính: VND Tổng cộng > Năm trước: > 4.206.960.190.688 > 829.557.934.446,numeric__Vốn cổ phần đã phát hành > Năm trước: > 1.047.639.110.000 > -,numeric__Thặng dư vốn cổ phần > Năm trước: > 418.432.992.221 > -,numeric__Quỹ đầu tư phát triển > Năm trước: > 1.497.737.922.639 > -,numeric__Lợi nhuận sau thuế chưa phân phối > Năm trước: > 1.243.150.165.828 > 829.557.934.446,numeric__Đơn vị tính: VND Tổng cộng > Năm trước: > 4.206.960.190.688 > 829.557.934.446
- Chia cổ tức bằng cổ phiếu,- Chia cổ tức bằng cổ phiếu,- Chia cổ tức bằng cổ phiếu,104.755.190.000,-,-,(104.763.911.000),(8.721.000),104755190000.0,,,-104763911000.0,-8721000.0
- Trích lập quỹ đầu tư phát triển,- Trích lập quỹ đầu tư phát triển,- Trích lập quỹ đầu tư phát triển,-,-,1.021.917.830.828,(1.021.917.830.828),-,,,1021917830828.0,-1021917830828.0,
- Thù lao Hội đồng quản trị và Bankiểm soát,- Thù lao Hội đồng quản trị và Bankiểm soát,- Thù lao Hội đồng quản trị và Bankiểm soát,-,-,-,(6.561.000.000),(6.561.000.000),,,,-6561000000.0,-6561000000.0
"- Trích lập quỹ khen thưởng, phúc lợi","- Trích lập quỹ khen thưởng, phúc lợi","- Trích lập quỹ khen thưởng, phúc lợi",-,-,-,(113.546.424.000),(113.546.424.000),,,,-113546424000.0,-113546424000.0
- Chia cổ tức bằng tiền,- Chia cổ tức bằng tiền,- Chia cổ tức bằng tiền,-,-,-,(230.478.860.000),(230.478.860.000),,,,-230478860000.0,-230478860000.0
Số cuối năm,Số cuối năm,Số cuối năm,1.152.394.300.000,418.432.992.221,2.519.655.753.467,595.440.074.446,4.685.923.120.134,1152394300000.0,418432992221.0,2519655753467.0,595440074446.0,4685923120134.0
Năm nay:,Năm nay:,Năm nay:,Năm nay:,Năm nay:,Năm nay:,Năm nay:,Năm nay:,,,,,
Số đầu năm,Năm nay: > Số đầu năm,Số đầu năm,1.152.394.300.000,418.432.992.221,2.519.655.753.467,595.440.074.446,4.685.923.120.134,1152394300000.0,418432992221.0,2519655753467.0,595440074446.0,4685923120134.0
- Lợi nhuận trong năm,Năm nay: > - Lợi nhuận trong năm,- Lợi nhuận trong năm,-,-,-,5.194.587.097,5.194.587.097,,,,5194587097.0,5194587097.0
- Tăng vốn (*),Năm nay: > - Tăng vốn (*),- Tăng vốn (*),1.152.394.300.000,-,(1.152.394.300.000),-,-,1152394300000.0,,-1152394300000.0,,
- Chia cổ tức bằng cổ phiếu (**),Năm nay: > - Chia cổ tức bằng cổ phiếu (**),- Chia cổ tức bằng cổ phiếu (**),115.229.990.000,-,-,(115.239.430.000),(9.440.000),115229990000.0,,,-115239430000.0,-9440000.0
- Trích lập quỹ đầu tư phát triển (**),Năm nay: > - Trích lập quỹ đầu tư phát triển (**),- Trích lập quỹ đầu tư phát triển (**),-,-,427.415.437.040,(427.415.437.040),-,,,427415437040.0,-427415437040.0,
"- Trích lập quỹ khen thưởng, phúc lợi (**)","Năm nay: > - Trích lập quỹ khen thưởng, phúc lợi (**)","- Trích lập quỹ khen thưởng, phúc lợi (**)",-,-,-,(47.490.604.000),(47.490.604.000),,,,-47490604000.0,-47490604000.0
- Thù lao Hội đồng quản trị và Bankiểm soát (**),Năm nay: > - Thù lao Hội đồng quản trị và Bankiểm soát (**),- Thù lao Hội đồng quản trị và Bankiểm soát (**),-,-,-,(2.390.000.000),(2.390.000.000),,,,-2390000000.0,-2390000000.0
Số cuối năm,Năm nay: > Số cuối năm,Số cuối năm,2.420.018.590.000,418.432.992.221,1.794.676.890.507,8.099.190.503,4.641.227.663.231,2420018590000.0,418432992221.0,1794676890507.0,8099190503.0,4641227663231.0
