row_label_raw,row_label_full,col_0,Quyền sử dụng đất,Phần mềm máy tính,Cộng,numeric__Quyền sử dụng đất,numeric__Phần mềm máy tính,numeric__Cộng
,,,VND,VND,VND,,,
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,11.109.585.388,8.595.555.482,19.705.140.870,11109585388.0,8595555482.0,19705140870.0
- Mua trong năm,Nguyên giá > - Mua trong năm,- Mua trong năm,-,885.000.000,885.000.000,,885000000.0,885000000.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,11.109.585.388,9.480.555.482,20.590.140.870,11109585388.0,9480555482.0,20590140870.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,-,5.386.937.134,5.386.937.134,,5386937134.0,5386937134.0
- Khấu hao trong năm,Giá trị hao mòn lũy kế > - Khấu hao trong năm,- Khấu hao trong năm,-,2.118.480.332,2.118.480.332,,2118480332.0,2118480332.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,-,7.505.417.466,7.505.417.466,,7505417466.0,7505417466.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,
Tại ngày đầu năm,Giá trị còn lại > Tại ngày đầu năm,Tại ngày đầu năm,11.109.585.388,3.208.618.348,14.318.203.736,11109585388.0,3208618348.0,14318203736.0
Tại ngày cuối năm,Giá trị còn lại > Tại ngày cuối năm,Tại ngày cuối năm,11.109.585.388,1.975.138.016,13.084.723.404,11109585388.0,1975138016.0,13084723404.0
